Latitude,Longitude
42.84858,10.976287
42.849896,10.982152
42.851058,10.984875
42.85145,10.985457
42.85296,10.985976
42.854035,10.98772
42.855167,10.987936
42.856073,10.987633
42.855932,10.990209
42.856772,10.990896
42.857818,10.99218
42.85861,10.992427
42.861264,10.9943
42.862142,10.995552
42.862141,10.995799
42.861505,10.996923
42.861544,10.99807
42.862077,11.00091
42.861275,11.003958
42.860492,11.005774
42.861452,11.007127
42.862427,11.008044
42.862728,11.009159
42.863891,11.011942
42.86431,11.03699
42.864529,11.041284
42.87601,11.037744
42.879944,11.036815
42.890077,11.036707
42.890616,11.036421
42.896076,11.031107
42.896284,11.031694
42.896609,11.031958
42.898564,11.032293
42.899272,11.032634
42.901484,11.034703
42.901985,11.034726
42.903021,11.034224
42.903208,11.035077
42.903278,11.037643
42.902822,11.039139
42.909864,11.040798
42.913237,11.045303
42.913826,11.045655
42.915783,11.049099
42.928173,11.066583
42.928534,11.0652
42.934883,11.067525
42.933838,11.064001
42.93664,11.063301
42.936799,11.063321
42.938599,11.065389
42.940286,11.066064
42.944509,11.07343
42.94345,11.088987
42.944977,11.089602
42.945672,11.090628
42.946394,11.091056
42.948079,11.094571
42.950568,11.104752
42.951282,11.105985
42.951918,11.109636
42.950565,11.109497
42.950243,11.125133
42.950458,11.126631
42.948544,11.13207
42.948046,11.132692
42.947513,11.134957
42.952256,11.138821
42.955598,11.142794
42.957042,11.144887
42.957479,11.145812
42.958327,11.148157
42.95817,11.149427
42.958956,11.149956
42.957779,11.150474
42.956716,11.15038
42.956201,11.15069
42.954417,11.154889
42.953259,11.156191
42.953291,11.156686
42.952873,11.157368
42.952392,11.157342
42.951718,11.158136
42.951686,11.159208
42.948091,11.164569
42.945659,11.166106
42.943743,11.166818
42.940188,11.170185
42.939843,11.172961
42.940424,11.174266
42.944592,11.179716
42.953106,11.186748
42.95262,11.187993
42.952681,11.190411
42.952433,11.19232
42.952401,11.197682
42.951895,11.200707
42.951654,11.20093
42.951129,11.200984
42.949984,11.201538
42.947942,11.201222
42.947526,11.201335
42.946118,11.202527
42.945741,11.202341
42.94493,11.20138
42.94493,11.20241
42.94498,11.20316
42.9476,11.20479
42.94882,11.20627
42.94929,11.20708
42.95081,11.20754
42.95244,11.20743
42.95313,11.20775
42.95365,11.20897
42.95418,11.2111
42.95508,11.21232
42.95511,11.21335
42.95438,11.21535
42.95435,11.21775
42.95393,11.21942
42.9538,11.21977
42.95268,11.22095
42.95227,11.22253
42.95236,11.22391
42.9527,11.2253
42.95307,11.22629
42.95401,11.22794
42.95498,11.23492
42.95465,11.2358
42.95427,11.23777
42.95367,11.23891
42.954255,11.239772
42.952555,11.24253
42.95018,11.24459
42.948391,11.249649
42.946717,11.252575
42.944588,11.257135
42.940147,11.260752
42.939288,11.262637
42.937313,11.264308
42.936751,11.266454
42.936437,11.266913
42.936143,11.26696
42.93578,11.266616
42.935203,11.266953
42.933786,11.268138
42.93364,11.268621
42.933703,11.269121
42.93215,11.270298
42.93193,11.270202
42.931691,11.270349
42.933669,11.274943
42.933965,11.275291
42.933767,11.275891
42.934921,11.278207
42.934949,11.278515
42.935691,11.27942
42.935984,11.281618
42.936289,11.282499
42.936689,11.283012
42.937659,11.281873
42.939168,11.284161
42.939432,11.285373
42.940677,11.288923
42.940989,11.292403
42.942506,11.294939
42.94287,11.297021
42.943852,11.298336
42.944195,11.29919
42.944921,11.299289
42.94689,11.302459
42.950814,11.305666
42.953659,11.310961
42.953745,11.311751
42.953425,11.31702
42.95314,11.319143
42.953255,11.321189
42.954334,11.324386
42.956074,11.326938
42.955768,11.327233
42.955809,11.32814
42.954818,11.329318
42.954591,11.329393
42.953413,11.328857
42.953047,11.329042
42.954129,11.330888
42.956114,11.333189
42.956387,11.333908
42.956844,11.33415
42.958275,11.335539
42.963363,11.338924
42.96263,11.340613
42.962035,11.341213
42.961768,11.341239
42.961249,11.340829
42.960325,11.341034
42.959793,11.340728
42.95892,11.340583
42.958496,11.340637
42.957822,11.341007
42.957459,11.3426
42.956384,11.343319
42.9556,11.342938
42.955457,11.343223
42.955568,11.343872
42.955019,11.344515
42.954468,11.3448
42.953777,11.34653
42.953117,11.34665
42.952953,11.34649
42.953317,11.346199
42.953505,11.34576
42.953851,11.351716
42.954067,11.351935
42.954247,11.353244
42.95464,11.353662
42.955009,11.353844
42.958307,11.352343
42.963552,11.350358
42.963944,11.350444
42.964046,11.352557
42.963638,11.355218
42.963277,11.356162
42.96323,11.356763
42.962138,11.359499
42.96162,11.361762
42.961284,11.36242
42.961602,11.362743
42.961643,11.36314
42.96143,11.366958
42.96174,11.369109
42.961071,11.373403
42.960036,11.376791
42.960179,11.378758
42.959815,11.381615
42.960021,11.383316
42.959663,11.38436
42.958609,11.385664
42.958409,11.385621
42.958165,11.385022
42.957886,11.384984
42.957876,11.385114
42.957408,11.384919
42.957346,11.38505
42.957909,11.389563
42.957369,11.396097
42.955826,11.400037
42.955025,11.400729
42.952983,11.403315
42.951978,11.404034
42.951986,11.404624
42.95124,11.406244
42.949559,11.413804
42.951513,11.414264
42.953539,11.413508
42.953915,11.413699
42.954734,11.414831
42.954978,11.414898
42.953267,11.423396
42.95268,11.424724
42.952736,11.425
42.954147,11.425191
42.955007,11.425879
42.955519,11.426049
42.957259,11.425535
42.964084,11.425722
42.965069,11.425913
42.96589,11.426678
42.966467,11.428655
42.966359,11.429917
42.966582,11.431657
42.966412,11.434325
42.967359,11.435991
42.967572,11.437182
42.967441,11.441153
42.967227,11.441764
42.966902,11.444801
42.967178,11.444987
42.967725,11.444945
42.967973,11.44543
42.968612,11.445642
42.968893,11.446481
42.969422,11.446938
42.969628,11.447819
42.970869,11.449085
42.972533,11.450179
42.973037,11.450234
42.973157,11.451285
42.973454,11.451327
42.973742,11.450599
42.974016,11.450368
42.974464,11.45061
42.975067,11.450659
42.977108,11.451582
42.979268,11.453022
42.980893,11.456064
42.982157,11.457668
42.98539,11.458414
42.986398,11.458247
42.987281,11.458342
