Latitude,Longitude
43.391952,10.748119
43.391652,10.747806
43.391505,10.747147
43.392183,10.745299
43.391319,10.743694
43.389394,10.742459
43.388967,10.741022
43.388615,10.740879
43.388395,10.740409
43.387496,10.739385
43.386938,10.739069
43.386023,10.739181
43.385223,10.738943
43.384873,10.738114
43.384788,10.737462
43.384928,10.73628
43.385249,10.735532
43.385827,10.734865
43.386036,10.734102
43.385923,10.732258
43.385604,10.731361
43.385382,10.729997
43.385612,10.72929
43.385312,10.728231
43.385621,10.7267
43.385889,10.726116
43.385824,10.725944
43.385041,10.725411
43.384363,10.723415
43.382917,10.722739
43.382673,10.722521
43.382302,10.721639
43.381565,10.721417
43.380035,10.721765
43.378875,10.721234
43.378366,10.72152
43.377525,10.720253
43.377425,10.719082
43.378128,10.717788
43.379126,10.716623
43.379743,10.716402
43.380517,10.715648
43.380461,10.714905
43.380698,10.714064
43.380285,10.713148
43.379722,10.712677
43.37957,10.711609
43.379683,10.711526
43.380142,10.711894
43.380905,10.711599
43.38142,10.710381
43.381385,10.709741
43.381787,10.70947
43.38156,10.707613
43.380682,10.706929
43.379907,10.706677
43.379184,10.706119
43.379043,10.705517
43.379417,10.704907
43.379444,10.704473
43.379125,10.703965
43.378617,10.701139
43.377814,10.700427
43.37789,10.699489
43.377688,10.699022
43.37731,10.698662
43.376814,10.698849
43.376256,10.697955
43.375282,10.697566
43.374867,10.697233
43.374485,10.695981
43.374239,10.695704
43.374081,10.696339
43.373236,10.696564
43.372631,10.697271
43.372294,10.697178
43.372107,10.696846
43.372174,10.695808
43.371637,10.695039
43.37199,10.694289
43.372168,10.692953
43.371924,10.693023
43.371287,10.694098
43.371185,10.693275
43.37066,10.692252
43.369321,10.690995
43.368559,10.689771
43.367155,10.688519
43.366177,10.688257
43.365789,10.687955
43.364654,10.686429
43.363172,10.68521
43.362523,10.684069
43.361311,10.683492
43.361027,10.683
43.359411,10.68303
43.359081,10.682859
43.356693,10.67931
43.355784,10.678867
43.354425,10.678632
43.353901,10.678375
43.353062,10.678556
43.353047,10.678209
43.353633,10.677195
43.353562,10.677017
43.35237,10.677849
43.350161,10.678942
43.349137,10.680255
43.346778,10.681316
43.34609,10.682305
43.343884,10.683044
43.341556,10.679721
43.335927,10.675377
43.33208,10.671473
43.33093,10.67134
43.32953,10.672306
43.329337,10.670355
43.32919,10.670189
43.328857,10.670509
43.328441,10.670624
43.324541,10.669881
43.322894,10.669869
43.322554,10.671733
43.32158,10.672242
43.321861,10.680586
43.319526,10.680867
43.319182,10.680729
43.314284,10.681061
43.313972,10.683491
43.314461,10.685579
43.31399,10.68771
43.314497,10.689294
43.314536,10.690152
43.314024,10.692666
43.313487,10.694072
43.313937,10.695139
43.313085,10.696942
43.313185,10.697223
43.313799,10.697021
43.314021,10.697202
43.31404,10.698754
43.313704,10.700841
43.314147,10.701883
43.313199,10.704499
43.312694,10.706592
43.310552,10.71243
43.310441,10.713185
43.309855,10.713876
43.309339,10.714164
43.308652,10.715308
43.30854,10.715819
43.307904,10.716578
43.307142,10.719441
43.306974,10.719344
43.306897,10.717962
43.307122,10.717692
43.307189,10.717233
43.306768,10.716243
43.306699,10.717175
43.306263,10.717505
43.306007,10.718252
43.305398,10.718628
43.30549,10.719539
43.30524,10.720565
43.304468,10.720795
43.30381,10.722017
43.303521,10.723639
43.302938,10.722459
43.302303,10.722248
43.301973,10.722469
43.301592,10.72338
43.300887,10.723693
43.300491,10.725786
43.300203,10.725722
43.299722,10.725077
43.299113,10.725076
43.298203,10.724509
43.296745,10.725025
43.296379,10.725564
43.296543,10.726182
43.296342,10.727157
43.295658,10.726659
43.295358,10.726893
43.295867,10.727869
43.295341,10.728894
43.294744,10.729448
43.294688,10.729788
43.294028,10.727227
43.294283,10.727487
43.294162,10.727236
43.293986,10.727279
43.29454,10.729563
43.293527,10.729965
43.293325,10.730253
43.292949,10.731406
43.293166,10.73201
43.293117,10.732843
43.292377,10.733018
43.292208,10.734053
43.291726,10.734969
43.291338,10.734159
43.290759,10.734003
43.290559,10.733518
43.290273,10.73332
43.289818,10.733352
43.289161,10.734215
43.28924,10.735554
43.290179,10.735997
43.290345,10.736358
43.290306,10.73686
43.28954,10.737923
43.288421,10.73878
43.288063,10.739659
43.287704,10.739344
43.287437,10.739456
43.286925,10.740402
43.285915,10.743253
43.285859,10.743957
43.285543,10.743406
43.284847,10.742973
43.284443,10.743074
43.283498,10.742551
43.282927,10.742936
43.28301,10.743541
43.283718,10.745089
43.283366,10.746339
43.283755,10.746911
43.283651,10.747079
43.283271,10.747115
43.28307,10.747574
43.2825,10.748039
43.282322,10.748462
43.282367,10.748985
43.281829,10.749292
43.281576,10.750047
43.281793,10.750739
43.281595,10.751961
43.280652,10.752198
43.2799,10.752583
43.279528,10.754368
43.279107,10.755028
43.279156,10.755769
43.278934,10.756459
43.278751,10.756478
43.278412,10.755786
43.278162,10.755607
43.277535,10.75664
43.276325,10.757081
43.276078,10.757651
43.275929,10.75876
43.275687,10.758831
43.275224,10.758579
43.274853,10.758976
43.274426,10.758913
43.273677,10.759215
43.27292,10.760064
43.27226,10.760039
43.271904,10.760219
43.27155,10.761223
43.270943,10.761269
43.270779,10.761024
43.270749,10.759356
43.27096,10.75832
43.270755,10.757207
43.270461,10.756895
43.269756,10.756803
43.269253,10.756465
43.268369,10.755506
43.268166,10.755064
43.267944,10.754984
43.26732,10.755471
43.266273,10.754855
43.265101,10.755088
43.264094,10.7548
43.26382,10.754426
43.263583,10.753578
43.262597,10.753173
43.262282,10.75329
43.262,10.752963
43.261835,10.752952
43.261022,10.75363
43.260671,10.754085
43.260128,10.754055
43.259511,10.753406
43.259683,10.752341
43.259501,10.752031
43.258911,10.751968
43.257785,10.752401
43.257434,10.752162
43.256889,10.75167
43.256227,10.750424
43.255933,10.750375
43.255613,10.749848
43.255114,10.749972
43.254338,10.749834
43.253803,10.749217
43.253698,10.748449
43.253202,10.748038
43.252937,10.747199
43.252203,10.747094
43.251778,10.746317
43.251603,10.746318
43.25066,10.748209
43.250129,10.748635
43.249438,10.748787
43.248427,10.748184
43.248665,10.750441
43.248493,10.751414
43.24851,10.752991
43.248197,10.754304
43.247762,10.755176
43.247084,10.755879
43.247221,10.756599
43.246296,10.756889
43.245883,10.757321
43.245598,10.758432
43.245037,10.759148
43.24478,10.760261
43.244178,10.760437
43.242643,10.759538
43.241697,10.760243
43.241291,10.759032
43.241129,10.758931
43.241182,10.760559
43.24152,10.761308
43.241157,10.761923
43.241136,10.762556
43.240791,10.763088
43.240118,10.763647
43.240775,10.764604
43.240995,10.765709
43.240661,10.768305
43.240612,10.76843
43.240125,10.768157
43.239352,10.768034
43.237968,10.768066
43.237823,10.768228
43.237696,10.769516
43.236916,10.770231
43.236951,10.770721
43.237222,10.770966
43.237176,10.771745
43.236428,10.771831
43.236169,10.772079
43.234813,10.776127
43.234592,10.776151
43.233558,10.775183
43.232645,10.775134
43.232241,10.774918
43.231768,10.774495
43.231168,10.773585
43.230413,10.773081
43.228764,10.773116
43.228389,10.774282
43.227993,10.774731
43.227416,10.775021
43.227127,10.775853
43.226127,10.777133
43.225574,10.776853
43.224339,10.777473
43.224343,10.776889
43.22377,10.776701
43.223332,10.777048
43.222212,10.777397
43.221886,10.778658
43.220549,10.781082
43.220705,10.782166
43.220166,10.784291
43.220173,10.785344
43.219668,10.787045
43.218275,10.78927
43.217822,10.789912
43.217101,10.79027
43.21644,10.791232
43.216288,10.792014
43.215681,10.792852
43.215413,10.792976
43.214262,10.792882
43.214012,10.793081
43.213347,10.794175
43.212969,10.796037
43.21245,10.796482
43.211208,10.796593
43.211185,10.797224
43.210499,10.796833
43.208743,10.796532
43.207903,10.795321
43.206777,10.795186
43.205429,10.794525
43.204963,10.794623
43.204024,10.794309
43.203663,10.793654
43.201797,10.792598
43.198804,10.789993
43.198412,10.789156
43.198115,10.787005
43.19782,10.786176
43.19624,10.784216
43.194324,10.780979
43.194191,10.779856
43.194265,10.779253
43.194675,10.778288
43.194715,10.777474
43.194351,10.775811
43.193813,10.774855
43.193351,10.773551
43.192938,10.771357
43.192774,10.771097
43.192019,10.770743
43.189979,10.767339
43.189975,10.766851
43.190753,10.764011
43.19083,10.763123
43.191143,10.76264
43.191325,10.761902
43.192257,10.761124
43.192368,10.760364
43.192808,10.759296
43.192756,10.758292
43.192962,10.757662
43.192785,10.755356
43.19207,10.754866
43.191944,10.754435
43.192526,10.752851
43.192632,10.751812
43.193171,10.751544
43.19349,10.750759
43.192544,10.749356
43.192599,10.747837
43.192798,10.747646
43.193655,10.747735
43.193973,10.747363
43.194443,10.745848
43.194522,10.744677
43.19491,10.74422
43.195385,10.743046
43.19538,10.741421
43.19511,10.740264
43.195351,10.740229
43.195885,10.740543
43.196964,10.74041
43.197412,10.739605
43.197885,10.739315
43.198372,10.73852
43.198879,10.738102
43.198757,10.73785
43.196877,10.737813
43.196553,10.736987
43.195307,10.736414
43.19486,10.7353
43.194877,10.734364
43.194083,10.733612
43.193283,10.736458
43.192487,10.736773
43.191855,10.738115
43.190697,10.738337
43.190097,10.738767
43.188915,10.740979
43.187846,10.742214
43.187537,10.742333
43.18725,10.742067
43.186871,10.741117
43.186077,10.740718
43.185756,10.740365
43.185619,10.739853
43.185699,10.739022
43.185178,10.736811
43.184623,10.735891
43.183995,10.735831
43.183591,10.736664
43.183282,10.736859
43.182067,10.736306
43.181351,10.736363
43.181047,10.736748
43.180465,10.738625
43.18021,10.739006
43.179857,10.738821
43.179364,10.737729
43.178758,10.736997
43.177799,10.736487
43.176954,10.737654
43.176673,10.737768
43.175995,10.737541
43.175483,10.738285
43.174712,10.738339
43.174386,10.739179
43.17402,10.739344
43.173476,10.738587
43.172927,10.738133
43.172565,10.737508
43.171947,10.737109
43.171446,10.735446
43.170468,10.733926
43.170145,10.733904
43.169261,10.735185
43.168914,10.735267
