Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
42.848580,10.976287,57.000000,2024-11-06 00:33:44+00:00,0.000000,0.000000,0.000000
42.848575,10.976472,57.300000,2024-11-06 00:33:49+00:00,0.015132,0.015132,0.300000
42.848629,10.976739,58.100000,2024-11-06 00:33:56+00:00,0.022634,0.037767,0.800000
42.848763,10.977038,58.600000,2024-11-06 00:34:04+00:00,0.028617,0.066383,0.500000
42.848903,10.977271,58.600000,2024-11-06 00:34:11+00:00,0.024589,0.090972,0.000000
42.848937,10.977498,58.400000,2024-11-06 00:34:17+00:00,0.018936,0.109908,0.000000
42.848903,10.977805,57.400000,2024-11-06 00:34:24+00:00,0.025377,0.135285,0.000000
42.848968,10.978157,55.900000,2024-11-06 00:34:33+00:00,0.029665,0.164950,0.000000
42.849094,10.978475,54.500000,2024-11-06 00:34:41+00:00,0.029523,0.194472,0.000000
42.849194,10.978864,53.300000,2024-11-06 00:34:50+00:00,0.033682,0.228154,0.000000
42.849258,10.979229,52.200000,2024-11-06 00:34:59+00:00,0.030671,0.258825,0.000000
42.849404,10.979705,50.400000,2024-11-06 00:35:11+00:00,0.042153,0.300978,0.000000
42.849714,10.980908,48.000000,2024-11-06 00:35:42+00:00,0.104189,0.405167,0.000000
42.849771,10.981195,47.600000,2024-11-06 00:35:50+00:00,0.024299,0.429466,0.000000
42.849822,10.981698,46.400000,2024-11-06 00:36:02+00:00,0.041503,0.470969,0.000000
42.849896,10.982152,45.500000,2024-11-06 00:36:13+00:00,0.038009,0.508978,0.000000
42.850305,10.983222,45.500000,2024-11-06 00:36:41+00:00,0.098558,0.607537,0.000000
42.850896,10.984415,46.600000,2024-11-06 00:37:16+00:00,0.117556,0.725093,1.100000
42.851058,10.984875,46.000000,2024-11-06 00:37:29+00:00,0.041684,0.766777,0.000000
42.851227,10.985068,45.900000,2024-11-06 00:37:38+00:00,0.024522,0.791299,0.000000
42.851450,10.985457,45.500000,2024-11-06 00:37:53+00:00,0.040307,0.831606,0.000000
42.851576,10.985577,45.100000,2024-11-06 00:38:00+00:00,0.017092,0.848698,0.000000
42.851954,10.985700,44.500000,2024-11-06 00:38:18+00:00,0.043179,0.891877,0.000000
42.852822,10.985900,45.400000,2024-11-06 00:38:59+00:00,0.097802,0.989679,0.900000
42.852960,10.985976,45.900000,2024-11-06 00:39:05+00:00,0.016541,1.006220,0.500000
42.853168,10.986275,46.600000,2024-11-06 00:39:17+00:00,0.033633,1.039853,0.700000
42.853426,10.986738,47.000000,2024-11-06 00:39:32+00:00,0.047472,1.087324,0.400000
42.853934,10.987614,42.100000,2024-11-06 00:40:01+00:00,0.091166,1.178490,0.000000
42.854035,10.987720,41.300000,2024-11-06 00:40:05+00:00,0.014176,1.192666,0.000000
42.854461,10.987825,41.700000,2024-11-06 00:40:16+00:00,0.048096,1.240762,0.400000
42.854827,10.987929,42.100000,2024-11-06 00:40:28+00:00,0.041538,1.282300,0.400000
42.855167,10.987936,43.100000,2024-11-06 00:40:41+00:00,0.037775,1.320075,1.000000
42.855423,10.987884,44.000000,2024-11-06 00:40:51+00:00,0.028755,1.348830,0.900000
42.856073,10.987633,47.100000,2024-11-06 00:41:15+00:00,0.075066,1.423896,3.100000
42.855859,10.989888,47.500000,2024-11-06 00:41:54+00:00,0.185831,1.609727,0.400000
42.855862,10.990066,47.400000,2024-11-06 00:41:57+00:00,0.014552,1.624279,0.000000
42.855932,10.990209,47.200000,2024-11-06 00:41:59+00:00,0.014038,1.638317,0.000000
42.855985,10.990274,47.000000,2024-11-06 00:42:01+00:00,0.007930,1.646247,0.000000
42.856772,10.990896,43.100000,2024-11-06 00:42:17+00:00,0.101133,1.747380,0.000000
42.856950,10.991103,41.900000,2024-11-06 00:42:20+00:00,0.026024,1.773404,0.000000
42.857188,10.991519,39.400000,2024-11-06 00:42:26+00:00,0.043070,1.816474,0.000000
42.857343,10.991719,37.600000,2024-11-06 00:42:29+00:00,0.023742,1.840216,0.000000
42.857818,10.992180,32.100000,2024-11-06 00:42:38+00:00,0.064838,1.905054,0.000000
42.858074,10.992311,29.700000,2024-11-06 00:42:42+00:00,0.030388,1.935442,0.000000
42.858445,10.992353,27.300000,2024-11-06 00:42:48+00:00,0.041357,1.976799,0.000000
42.858610,10.992427,26.500000,2024-11-06 00:42:50+00:00,0.019302,1.996101,0.000000
42.860072,10.993395,26.000000,2024-11-06 00:43:20+00:00,0.180657,2.176757,0.000000
42.861264,10.994300,28.300000,2024-11-06 00:43:53+00:00,0.151674,2.328431,2.300000
42.862082,10.995394,27.000000,2024-11-06 00:44:15+00:00,0.127480,2.455911,0.000000
42.862142,10.995552,26.800000,2024-11-06 00:44:18+00:00,0.014531,2.470442,0.000000
42.862156,10.995654,26.700000,2024-11-06 00:44:19+00:00,0.008480,2.478922,0.000000
42.862141,10.995799,26.400000,2024-11-06 00:44:21+00:00,0.011966,2.490888,0.000000
42.862080,10.995929,26.100000,2024-11-06 00:44:23+00:00,0.012601,2.503489,0.000000
42.861563,10.996655,24.200000,2024-11-06 00:44:36+00:00,0.082576,2.586065,0.000000
42.861505,10.996923,23.500000,2024-11-06 00:44:40+00:00,0.022830,2.608896,0.000000
42.861544,10.998070,20.900000,2024-11-06 00:44:55+00:00,0.093837,2.702733,0.000000
42.862034,11.000340,16.100000,2024-11-06 00:45:25+00:00,0.193334,2.896066,0.000000
42.862090,11.000736,15.400000,2024-11-06 00:45:30+00:00,0.032955,2.929021,0.000000
42.862077,11.000910,15.100000,2024-11-06 00:45:33+00:00,0.014293,2.943314,0.000000
42.861821,11.002220,13.600000,2024-11-06 00:45:51+00:00,0.110770,3.054085,0.000000
42.861275,11.003958,12.800000,2024-11-06 00:46:19+00:00,0.154445,3.208530,0.000000
42.861249,11.004019,12.700000,2024-11-06 00:46:20+00:00,0.005761,3.214291,0.000000
42.861200,11.004129,12.600000,2024-11-06 00:46:22+00:00,0.010509,3.224801,0.000000
42.861142,11.004269,12.500000,2024-11-06 00:46:24+00:00,0.013131,3.237931,0.000000
42.860958,11.004863,11.100000,2024-11-06 00:46:33+00:00,0.052672,3.290604,0.000000
42.860858,11.005053,10.800000,2024-11-06 00:46:37+00:00,0.019092,3.309696,0.000000
42.860575,11.005479,10.300000,2024-11-06 00:46:45+00:00,0.046909,3.356605,0.000000
42.860501,11.005652,10.400000,2024-11-06 00:46:48+00:00,0.016355,3.372960,0.100000
42.860492,11.005774,10.500000,2024-11-06 00:46:50+00:00,0.010020,3.382980,0.100000
42.860542,11.005883,10.100000,2024-11-06 00:46:51+00:00,0.010498,3.393478,0.000000
42.861452,11.007127,8.100000,2024-11-06 00:47:18+00:00,0.143372,3.536850,0.000000
42.862427,11.008044,7.100000,2024-11-06 00:47:43+00:00,0.131711,3.668560,0.000000
42.862523,11.008288,7.000000,2024-11-06 00:47:47+00:00,0.022613,3.691173,0.000000
42.862728,11.009159,6.300000,2024-11-06 00:48:02+00:00,0.074735,3.765908,0.000000
42.863443,11.010869,5.700000,2024-11-06 00:48:33+00:00,0.160740,3.926648,0.000000
42.863891,11.011942,7.200000,2024-11-06 00:48:53+00:00,0.100826,4.027474,1.500000
