Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.391952,10.748119,396.500000,2024-11-06 23:32:02+00:00,0.000000,0.000000,0.000000
43.391652,10.747806,398.400000,2024-11-06 23:32:12+00:00,0.041881,0.041881,1.900000
43.391548,10.747560,399.100000,2024-11-06 23:32:19+00:00,0.023038,0.064919,0.700000
43.391530,10.747497,399.100000,2024-11-06 23:32:20+00:00,0.005482,0.070401,0.000000
43.391502,10.747311,399.100000,2024-11-06 23:32:24+00:00,0.015388,0.085789,0.000000
43.391505,10.747147,399.200000,2024-11-06 23:32:27+00:00,0.013292,0.099081,0.100000
43.391572,10.746687,399.200000,2024-11-06 23:32:36+00:00,0.038006,0.137086,0.000000
43.391657,10.746483,399.100000,2024-11-06 23:32:42+00:00,0.019036,0.156122,0.000000
43.392096,10.745786,399.900000,2024-11-06 23:33:16+00:00,0.074618,0.230740,0.800000
43.392149,10.745660,400.100000,2024-11-06 23:33:22+00:00,0.011785,0.242525,0.200000
43.392197,10.745454,401.000000,2024-11-06 23:33:30+00:00,0.017521,0.260047,0.900000
43.392183,10.745299,401.700000,2024-11-06 23:33:36+00:00,0.012654,0.272701,0.700000
43.392062,10.745090,403.000000,2024-11-06 23:33:46+00:00,0.021621,0.294322,1.300000
43.391669,10.744419,409.000000,2024-11-06 23:34:14+00:00,0.069728,0.364049,6.000000
43.391649,10.744381,409.100000,2024-11-06 23:34:15+00:00,0.003797,0.367846,0.100000
43.391414,10.743849,408.600000,2024-11-06 23:34:29+00:00,0.050394,0.418240,0.000000
43.391319,10.743694,408.200000,2024-11-06 23:34:32+00:00,0.016405,0.434645,0.000000
43.391179,10.743536,407.600000,2024-11-06 23:34:35+00:00,0.020145,0.454790,0.000000
43.391100,10.743483,407.300000,2024-11-06 23:34:37+00:00,0.009771,0.464561,0.000000
43.390791,10.743407,405.600000,2024-11-06 23:34:42+00:00,0.034878,0.499438,0.000000
43.390525,10.743263,403.300000,2024-11-06 23:34:47+00:00,0.031772,0.531211,0.000000
43.389542,10.742588,398.600000,2024-11-06 23:35:06+00:00,0.122140,0.653351,0.000000
43.389394,10.742459,398.300000,2024-11-06 23:35:10+00:00,0.019484,0.672835,0.000000
43.389324,10.742253,398.200000,2024-11-06 23:35:15+00:00,0.018414,0.691249,0.000000
43.389194,10.741600,398.600000,2024-11-06 23:35:31+00:00,0.054845,0.746094,0.400000
43.389063,10.741195,399.100000,2024-11-06 23:35:43+00:00,0.035898,0.781991,0.500000
43.388967,10.741022,399.400000,2024-11-06 23:35:50+00:00,0.017614,0.799605,0.300000
43.388892,10.740936,399.600000,2024-11-06 23:35:55+00:00,0.010862,0.810467,0.200000
43.388717,10.740875,400.400000,2024-11-06 23:36:03+00:00,0.020061,0.830528,0.800000
43.388674,10.740873,400.300000,2024-11-06 23:36:05+00:00,0.004780,0.835308,0.000000
43.388615,10.740879,400.100000,2024-11-06 23:36:07+00:00,0.006573,0.841881,0.000000
43.388580,10.740707,401.200000,2024-11-06 23:36:13+00:00,0.014469,0.856350,1.100000
43.388395,10.740409,403.600000,2024-11-06 23:36:26+00:00,0.031709,0.888059,2.400000
43.387697,10.739583,411.200000,2024-11-06 23:37:11+00:00,0.102435,0.990494,7.600000
43.387496,10.739385,412.600000,2024-11-06 23:37:25+00:00,0.027497,1.017990,1.400000
43.386938,10.739069,415.600000,2024-11-06 23:38:04+00:00,0.067073,1.085064,3.000000
43.386569,10.739093,416.300000,2024-11-06 23:38:29+00:00,0.041042,1.126106,0.700000
43.386023,10.739181,421.800000,2024-11-06 23:39:06+00:00,0.061078,1.187184,5.500000
43.385861,10.739163,424.000000,2024-11-06 23:39:16+00:00,0.018057,1.205242,2.200000
43.385223,10.738943,432.900000,2024-11-06 23:39:49+00:00,0.073089,1.278331,8.900000
43.385098,10.738830,434.600000,2024-11-06 23:39:54+00:00,0.016634,1.294965,1.700000
43.385055,10.738755,435.200000,2024-11-06 23:39:56+00:00,0.007730,1.302695,0.600000
43.384873,10.738114,435.800000,2024-11-06 23:40:06+00:00,0.055737,1.358433,0.600000
43.384825,10.737906,435.900000,2024-11-06 23:40:08+00:00,0.017678,1.376111,0.100000
43.384788,10.737462,434.700000,2024-11-06 23:40:14+00:00,0.036212,1.412322,0.000000
43.384807,10.736830,431.600000,2024-11-06 23:40:21+00:00,0.051255,1.463577,0.000000
43.384928,10.736280,429.200000,2024-11-06 23:40:27+00:00,0.046550,1.510127,0.000000
43.385069,10.735875,427.700000,2024-11-06 23:40:33+00:00,0.036364,1.546491,0.000000
43.385249,10.735532,426.500000,2024-11-06 23:40:38+00:00,0.034240,1.580731,0.000000
43.385676,10.735079,424.300000,2024-11-06 23:40:48+00:00,0.059982,1.640713,0.000000
43.385827,10.734865,423.500000,2024-11-06 23:40:51+00:00,0.024127,1.664841,0.000000
43.385982,10.734368,421.800000,2024-11-06 23:40:58+00:00,0.043799,1.708639,0.000000
43.386036,10.734102,421.000000,2024-11-06 23:41:02+00:00,0.022373,1.731012,0.000000
43.386030,10.734038,420.800000,2024-11-06 23:41:02+00:00,0.005229,1.736241,0.000000
43.385960,10.733359,419.100000,2024-11-06 23:41:11+00:00,0.055565,1.791806,0.000000
43.385977,10.732633,417.100000,2024-11-06 23:41:19+00:00,0.058857,1.850663,0.000000
43.385923,10.732258,415.600000,2024-11-06 23:41:24+00:00,0.030972,1.881636,0.000000
43.385774,10.731725,413.800000,2024-11-06 23:41:30+00:00,0.046252,1.927888,0.000000
43.385604,10.731361,413.000000,2024-11-06 23:41:35+00:00,0.035024,1.962912,0.000000
43.385462,10.730477,410.900000,2024-11-06 23:41:46+00:00,0.073347,2.036258,0.000000
43.385382,10.729997,409.300000,2024-11-06 23:41:52+00:00,0.039897,2.076155,0.000000
43.385401,10.729817,408.600000,2024-11-06 23:41:55+00:00,0.014737,2.090892,0.000000
43.385579,10.729454,406.900000,2024-11-06 23:42:00+00:00,0.035444,2.126336,0.000000
43.385612,10.729290,406.400000,2024-11-06 23:42:02+00:00,0.013785,2.140121,0.000000
43.385574,10.729068,406.100000,2024-11-06 23:42:05+00:00,0.018477,2.158598,0.000000
43.385373,10.728657,405.400000,2024-11-06 23:42:11+00:00,0.040097,2.198696,0.000000
43.385312,10.728231,404.600000,2024-11-06 23:42:17+00:00,0.035178,2.233873,0.000000
43.385347,10.727996,404.400000,2024-11-06 23:42:20+00:00,0.019435,2.253308,0.000000
43.385429,10.727826,404.100000,2024-11-06 23:42:23+00:00,0.016515,2.269823,0.000000
43.385531,10.727511,403.800000,2024-11-06 23:42:28+00:00,0.027927,2.297750,0.000000
43.385621,10.726700,403.100000,2024-11-06 23:42:40+00:00,0.066471,2.364221,0.000000
43.385710,10.726480,402.600000,2024-11-06 23:42:44+00:00,0.020385,2.384606,0.000000
43.385855,10.726254,402.000000,2024-11-06 23:42:48+00:00,0.024390,2.408996,0.000000
43.385889,10.726116,401.700000,2024-11-06 23:42:50+00:00,0.011803,2.420799,0.000000
43.385824,10.725944,401.100000,2024-11-06 23:42:52+00:00,0.015697,2.436496,0.000000
43.385041,10.725411,397.700000,2024-11-06 23:43:07+00:00,0.097123,2.533618,0.000000
43.384985,10.725217,396.900000,2024-11-06 23:43:09+00:00,0.016906,2.550524,0.000000
43.384954,10.724907,395.700000,2024-11-06 23:43:13+00:00,0.025354,2.575879,0.000000
43.384908,10.724779,395.100000,2024-11-06 23:43:15+00:00,0.011563,2.587441,0.000000
43.384533,10.724217,393.000000,2024-11-06 23:43:25+00:00,0.061722,2.649163,0.000000
43.384475,10.724042,392.700000,2024-11-06 23:43:28+00:00,0.015576,2.664739,0.000000
43.384454,10.723584,392.500000,2024-11-06 23:43:35+00:00,0.037185,2.701924,0.000000
43.384363,10.723415,392.500000,2024-11-06 23:43:38+00:00,0.017022,2.718946,0.000000
43.384242,10.723277,392.500000,2024-11-06 23:43:41+00:00,0.017486,2.736432,0.000000
43.383954,10.723216,392.900000,2024-11-06 23:43:46+00:00,0.032376,2.768809,0.400000
43.383818,10.723169,392.900000,2024-11-06 23:43:49+00:00,0.015582,2.784391,0.000000
