item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,7.578,276.414,,,,,,
Peak,2,5.024,232.487,,,,,,
Valid Segment,1,,,forward,16.552,17.015,462.634,21.383,
Valid Segment,1,,,forward,30.274,31.504,1229.573,14.886,
Valid Segment,1,,,forward,32.121,32.960,838.712,11.554,
Valid Segment,1,,,forward,33.053,33.477,424.684,12.074,
Valid Segment,1,,,forward,51.404,52.091,687.087,33.221,
Valid Segment,1,,,forward,52.510,52.909,399.018,12.186,
Valid Segment,1,,,forward,54.440,54.921,480.566,17.459,
Valid Segment,1,,,forward,55.977,56.647,670.715,36.581,
Valid Segment,1,,,forward,56.890,57.402,512.183,50.295,
Valid Segment,1,,,forward,61.431,64.767,3335.581,101.665,
Valid Segment,1,,,forward,75.223,79.935,4711.674,33.966,
Valid Segment,1,,,forward,82.064,80.489,1574.861,34.261,
Valid Segment,1,,,forward,76.743,78.130,1387.076,10.520,
Valid Segment,1,,,forward,83.715,84.828,1112.694,15.081,
Valid Segment,1,,,forward,86.339,89.770,3430.875,48.730,
Valid Segment,1,,,forward,91.106,93.048,1942.093,49.752,
Valid Segment,1,,,backward,5.836,5.856,19.685,10.518,
Valid Segment,1,,,backward,2.233,2.296,63.381,10.537,
Valid Segment,1,,,backward,3.189,1.860,1329.573,93.124,
Valid Segment,1,,,backward,0.585,0.606,20.596,10.271,
Valid Segment,1,,,backward,1.490,0.353,1137.430,29.009,
Valid Segment,1,,,backward,5.024,0.961,4062.972,204.953,
Valid Segment,1,,,backward,5.576,4.593,983.331,27.674,
Valid Segment,1,,,backward,3.542,3.743,201.141,14.530,
Valid Segment,1,,,backward,4.421,3.367,1054.018,47.428,
Valid Segment,1,,,backward,4.000,4.015,14.546,10.317,
Valid Segment,2,,,forward,1.192,1.490,298.565,11.345,
Valid Segment,2,,,forward,0.606,0.687,81.687,40.828,
Valid Segment,2,,,forward,1.595,2.766,1171.424,113.014,
Valid Segment,2,,,forward,1.860,2.143,282.871,43.000,
Valid Segment,2,,,forward,5.884,7.578,1693.725,34.101,
Valid Segment,2,,,forward,30.274,31.504,1229.573,14.886,
Valid Segment,2,,,forward,32.121,32.960,838.712,11.554,
Valid Segment,2,,,forward,33.053,33.477,424.684,12.074,
Valid Segment,2,,,forward,51.404,52.091,687.087,33.221,
Valid Segment,2,,,forward,52.510,52.909,399.018,12.186,
Valid Segment,2,,,forward,54.440,54.921,480.566,17.459,
Valid Segment,2,,,forward,55.977,56.647,670.715,36.581,
Valid Segment,2,,,forward,56.890,57.402,512.183,50.295,
Valid Segment,2,,,forward,61.431,64.767,3335.581,101.665,
Valid Segment,2,,,forward,75.223,79.935,4711.674,33.966,
Valid Segment,2,,,forward,82.064,80.489,1574.861,34.261,
Valid Segment,2,,,forward,76.743,78.130,1387.076,10.520,
Valid Segment,2,,,forward,83.715,84.828,1112.694,15.081,
Valid Segment,2,,,forward,86.339,89.770,3430.875,48.730,
Valid Segment,2,,,forward,91.106,93.048,1942.093,49.752,
Valid Segment,2,,,backward,5.576,4.593,983.331,27.674,
Valid Segment,2,,,backward,3.542,3.743,201.141,14.530,
Valid Segment,2,,,backward,4.421,3.367,1054.018,47.428,
Valid Segment,2,,,backward,4.000,4.015,14.546,10.317,
