item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,89.429,600.846,,,,,,
Peak,2,87.013,563.500,,,,,,
Valid Segment,1,,,forward,96.801,99.162,2360.356,32.683,
Valid Segment,1,,,forward,101.635,105.607,3971.642,195.938,Ends@TrackEnd
Valid Segment,1,,,backward,87.480,87.787,306.494,10.388,
Valid Segment,1,,,backward,86.993,87.439,445.630,22.938,
Valid Segment,1,,,backward,83.423,83.807,384.276,16.366,
Valid Segment,1,,,backward,82.445,82.881,435.672,40.816,
Valid Segment,1,,,backward,76.279,79.160,2880.959,184.134,
Valid Segment,1,,,backward,73.611,73.876,265.263,10.132,
Valid Segment,1,,,backward,72.268,72.688,419.891,15.146,
Valid Segment,1,,,backward,71.531,72.128,596.564,13.562,
Valid Segment,1,,,backward,69.660,70.955,1294.415,81.288,
Valid Segment,1,,,backward,68.281,69.291,1009.558,27.444,
Valid Segment,1,,,backward,67.654,68.197,542.892,25.244,
Valid Segment,1,,,backward,58.845,59.999,1153.678,41.832,
Valid Segment,1,,,backward,44.095,46.057,1961.913,27.779,
Valid Segment,1,,,backward,39.793,40.667,874.774,12.793,
Valid Segment,1,,,backward,38.747,39.486,739.655,21.963,
Valid Segment,1,,,backward,36.267,38.184,1917.914,17.371,
Valid Segment,1,,,backward,33.903,36.089,2186.640,127.488,
Valid Segment,1,,,backward,31.002,31.452,450.715,24.078,
Valid Segment,1,,,backward,1.624,3.691,2066.894,40.397,
Valid Segment,1,,,backward,0.038,0.509,471.211,12.278,
Valid Segment,2,,,forward,87.899,88.924,1025.217,53.034,
Valid Segment,2,,,forward,89.015,89.448,432.968,17.793,
Valid Segment,2,,,forward,101.635,105.607,3971.642,195.938,Ends@TrackEnd
Valid Segment,2,,,backward,83.423,83.807,384.276,16.366,
Valid Segment,2,,,backward,82.445,82.881,435.672,40.816,
Valid Segment,2,,,backward,76.279,79.160,2880.959,184.134,
Valid Segment,2,,,backward,73.611,73.876,265.263,10.132,
Valid Segment,2,,,backward,72.268,72.688,419.891,15.146,
Valid Segment,2,,,backward,71.531,72.128,596.564,13.562,
Valid Segment,2,,,backward,69.660,70.955,1294.415,81.288,
Valid Segment,2,,,backward,68.281,69.291,1009.558,27.444,
Valid Segment,2,,,backward,67.654,68.197,542.892,25.244,
Valid Segment,2,,,backward,58.845,59.999,1153.678,41.832,
Valid Segment,2,,,backward,44.095,46.057,1961.913,27.779,
Valid Segment,2,,,backward,39.793,40.667,874.774,12.793,
Valid Segment,2,,,backward,38.747,39.486,739.655,21.963,
Valid Segment,2,,,backward,36.267,38.184,1917.914,17.371,
Valid Segment,2,,,backward,33.903,36.089,2186.640,127.488,
Valid Segment,2,,,backward,31.002,31.452,450.715,24.078,
Valid Segment,2,,,backward,1.624,3.691,2066.894,40.397,
Valid Segment,2,,,backward,0.038,0.509,471.211,12.278,
