item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,6.399,415.517,,,,,,
Peak,2,11.593,386.293,,,,,,
Valid Segment,1,,,forward,7.986,8.792,805.785,24.936,
Valid Segment,1,,,forward,10.719,11.593,874.018,17.983,
Valid Segment,1,,,forward,12.478,12.895,417.591,12.585,
Valid Segment,1,,,forward,13.674,14.304,629.405,22.608,
Valid Segment,1,,,forward,14.426,14.986,559.829,11.064,
Valid Segment,1,,,forward,18.570,19.584,1013.728,42.151,
Valid Segment,1,,,forward,19.909,20.281,372.177,26.017,
Valid Segment,1,,,forward,21.642,22.685,1042.676,28.234,
Valid Segment,1,,,forward,25.493,25.915,422.215,16.569,
Valid Segment,1,,,forward,28.270,29.157,886.985,29.410,
Valid Segment,1,,,forward,32.460,34.242,1782.240,20.219,
Valid Segment,1,,,forward,38.163,40.607,2443.816,87.228,
Valid Segment,1,,,forward,41.656,42.857,1200.891,14.471,
Valid Segment,1,,,forward,43.962,44.756,794.463,10.821,
Valid Segment,1,,,forward,45.508,46.874,1366.006,12.015,
Valid Segment,1,,,forward,51.006,52.203,1196.515,67.935,
Valid Segment,1,,,forward,53.984,54.182,198.211,13.593,
Valid Segment,1,,,forward,61.243,62.272,1028.357,25.224,
Valid Segment,1,,,forward,62.441,63.204,763.772,44.769,
Valid Segment,1,,,forward,63.267,63.717,450.359,15.284,
Valid Segment,1,,,forward,64.068,64.714,645.888,18.424,
Valid Segment,1,,,forward,65.235,65.909,673.869,19.112,
Valid Segment,1,,,forward,66.210,66.753,542.697,19.254,
Valid Segment,1,,,forward,67.028,68.139,1111.111,53.021,
Valid Segment,1,,,forward,68.257,68.714,457.794,18.574,Ends@TrackEnd
Valid Segment,1,,,backward,1.254,4.119,2865.149,136.867,
Valid Segment,1,,,backward,0.000,1.100,1100.077,21.312,Starts@TrackBegin
Valid Segment,2,,,forward,12.478,12.895,417.591,12.585,
Valid Segment,2,,,forward,13.674,14.304,629.405,22.608,
Valid Segment,2,,,forward,14.426,14.986,559.829,11.064,
Valid Segment,2,,,forward,18.570,19.584,1013.728,42.151,
Valid Segment,2,,,forward,19.909,20.281,372.177,26.017,
Valid Segment,2,,,forward,21.642,22.685,1042.676,28.234,
Valid Segment,2,,,forward,25.493,25.915,422.215,16.569,
Valid Segment,2,,,forward,28.270,29.157,886.985,29.410,
Valid Segment,2,,,forward,32.460,34.242,1782.240,20.219,
Valid Segment,2,,,forward,38.163,40.607,2443.816,87.228,
Valid Segment,2,,,forward,41.656,42.857,1200.891,14.471,
Valid Segment,2,,,forward,43.962,44.756,794.463,10.821,
Valid Segment,2,,,forward,45.508,46.874,1366.006,12.015,
Valid Segment,2,,,forward,51.006,52.203,1196.515,67.935,
Valid Segment,2,,,forward,53.984,54.182,198.211,13.593,
Valid Segment,2,,,forward,61.243,62.272,1028.357,25.224,
Valid Segment,2,,,forward,62.441,63.204,763.772,44.769,
Valid Segment,2,,,forward,63.267,63.717,450.359,15.284,
Valid Segment,2,,,forward,64.068,64.714,645.888,18.424,
Valid Segment,2,,,forward,65.235,65.909,673.869,19.112,
Valid Segment,2,,,forward,66.210,66.753,542.697,19.254,
Valid Segment,2,,,forward,67.028,68.139,1111.111,53.021,
Valid Segment,2,,,forward,68.257,68.714,457.794,18.574,Ends@TrackEnd
Valid Segment,2,,,backward,9.767,10.690,922.770,16.736,
Valid Segment,2,,,backward,6.399,7.962,1562.714,61.702,
Valid Segment,2,,,backward,0.000,1.100,1100.077,21.312,Starts@TrackBegin
