item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,4.918,369.263,,,,,,
Peak,2,10.608,329.734,,,,,,
Valid Segment,1,,,forward,8.392,10.608,2215.783,58.465,
Valid Segment,1,,,forward,13.289,14.839,1549.598,49.754,
Valid Segment,1,,,forward,18.431,20.177,1745.856,67.858,
Valid Segment,1,,,forward,20.598,21.106,507.711,22.112,
Valid Segment,1,,,forward,23.120,23.519,398.940,22.223,
Valid Segment,1,,,forward,25.986,26.656,670.330,19.692,
Valid Segment,1,,,forward,26.670,31.449,4778.763,46.807,
Valid Segment,1,,,forward,35.452,35.697,244.950,16.505,
Valid Segment,1,,,forward,39.363,41.558,2195.287,105.056,
Valid Segment,1,,,forward,43.081,43.761,680.747,23.562,
Valid Segment,1,,,forward,44.393,44.859,465.778,18.379,
Valid Segment,1,,,forward,45.426,46.170,744.524,46.335,Ends@TrackEnd
Valid Segment,1,,,backward,3.263,3.910,646.599,10.139,
Valid Segment,2,,,forward,13.289,14.839,1549.598,49.754,
Valid Segment,2,,,forward,18.431,20.177,1745.856,67.858,
Valid Segment,2,,,forward,20.598,21.106,507.711,22.112,
Valid Segment,2,,,forward,23.120,23.519,398.940,22.223,
Valid Segment,2,,,forward,25.986,26.656,670.330,19.692,
Valid Segment,2,,,forward,26.670,31.449,4778.763,46.807,
Valid Segment,2,,,forward,35.452,35.697,244.950,16.505,
Valid Segment,2,,,forward,39.363,41.558,2195.287,105.056,
Valid Segment,2,,,forward,43.081,43.761,680.747,23.562,
Valid Segment,2,,,forward,44.393,44.859,465.778,18.379,
Valid Segment,2,,,forward,45.426,46.170,744.524,46.335,Ends@TrackEnd
Valid Segment,2,,,backward,6.707,8.214,1506.855,52.458,
Valid Segment,2,,,backward,6.083,6.688,604.679,21.024,
Valid Segment,2,,,backward,4.918,5.631,712.875,28.141,
