item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,31.550,493.272,,,,,,
Peak,2,27.644,488.899,,,,,,
Valid Segment,1,,,forward,32.980,33.684,703.981,32.024,
Valid Segment,1,,,forward,34.754,35.798,1044.323,28.645,
Valid Segment,1,,,forward,36.697,36.928,230.739,10.570,
Valid Segment,1,,,forward,37.484,38.157,673.347,13.538,
Valid Segment,1,,,forward,41.556,43.565,2009.097,23.355,
Valid Segment,1,,,forward,62.836,60.902,1934.654,13.026,
Valid Segment,1,,,forward,64.219,57.963,6255.867,38.692,
Valid Segment,1,,,forward,60.241,58.813,1427.872,10.975,
Valid Segment,1,,,forward,69.587,71.801,2214.023,50.188,
Valid Segment,1,,,backward,27.644,28.669,1024.199,48.639,
Valid Segment,1,,,backward,17.622,19.036,1413.620,23.302,
Valid Segment,1,,,backward,11.169,13.041,1872.126,21.234,
Valid Segment,1,,,backward,3.703,10.955,7252.167,334.394,
Valid Segment,1,,,backward,1.358,2.702,1343.491,43.247,
Valid Segment,1,,,backward,0.435,0.691,256.604,10.726,
Valid Segment,2,,,forward,29.001,29.300,299.291,14.985,
Valid Segment,2,,,forward,29.452,31.595,2142.470,42.552,
Valid Segment,2,,,forward,34.754,35.798,1044.323,28.645,
Valid Segment,2,,,forward,36.697,36.928,230.739,10.570,
Valid Segment,2,,,forward,37.484,38.157,673.347,13.538,
Valid Segment,2,,,forward,41.556,43.565,2009.097,23.355,
Valid Segment,2,,,forward,62.836,60.902,1934.654,13.026,
Valid Segment,2,,,forward,64.219,57.963,6255.867,38.692,
Valid Segment,2,,,forward,60.241,58.813,1427.872,10.975,
Valid Segment,2,,,forward,69.587,71.801,2214.023,50.188,
Valid Segment,2,,,backward,17.622,19.036,1413.620,23.302,
Valid Segment,2,,,backward,11.169,13.041,1872.126,21.234,
Valid Segment,2,,,backward,3.703,10.955,7252.167,334.394,
Valid Segment,2,,,backward,1.358,2.702,1343.491,43.247,
Valid Segment,2,,,backward,0.435,0.691,256.604,10.726,
