Latitude,Longitude,Street,City,PostalCode
43.318931,11.330955,Via di Città,Siena,53100
43.3188,11.330767,Via di Città,Siena,53100
43.319023,11.330409,Via di Città,Siena,53100
43.31944,11.330897,Via di Città,Siena,53100
43.32049,11.330545,Via di Città,Siena,53100
43.320973,11.330066,Via di Città,Siena,53100
43.321132,11.330452,Via di Città,Siena,53100
43.322462,11.328843,Via di Città,Siena,53100
43.323584,11.328069,Vicolo dello Sportello,Siena,53100
43.32469,11.3277,Vicolo dello Sportello,Siena,53100
43.325017,11.328043,Vicolo dello Sportello,Siena,53100
43.32618,11.327627,Vicolo dello Sportello,Siena,53100
43.326593,11.326652,Vicolo dello Sportello,Siena,53100
43.326836,11.326383,Vicolo dello Sportello,Siena,53100
43.327082,11.326358,Vicolo dello Sportello,Siena,53100
43.327718,11.325245,Piazza Guido Chigi Saracini,Siena,53100
43.329245,11.320892,Piazza Guido Chigi Saracini,Siena,53100
43.331915,11.315272,Viale Camillo Benso di Cavour,Siena,53100
43.332545,11.311697,Viale Camillo Benso di Cavour,Siena,53100
43.334366,11.309476,Via Fiorentina,Siena,53100
43.33706,11.30745,Via Fiorentina,Siena,53100
43.338321,11.306862,Via Fiorentina,Siena,53100
43.339015,11.305906,Via Fiorentina,Siena,53100
43.342813,11.305945,Via Fiorentina,Siena,53100
43.34334,11.305808,Via Fiorentina,Siena,53100
43.343523,11.305516,Via Cassia Nord,Siena,53035
43.344429,11.301081,Via Cassia Nord,Siena,53035
43.344583,11.298988,Via Cassia Nord,Monteriggioni,53035
43.344803,11.298476,Via Cassia Nord,Monteriggioni,53035
43.345493,11.294691,Via Cassia Nord,Monteriggioni,53035
43.345361,11.293305,Via Cassia Nord,Monteriggioni,53035
43.343947,11.288189,Strada Cassia Nord,Monteriggioni,53035
43.343894,11.287456,Strada Cassia Nord,Monteriggioni,53035
43.34417,11.285855,Strada Cassia Nord,Monteriggioni,53035
43.34414,11.284444,Strada Cassia Nord,Monteriggioni,53035
43.343639,11.282571,Strada Cassia Nord,Monteriggioni,53035
43.343677,11.281796,Strada Cassia Nord,Siena,53035
43.344062,11.281161,Strada Cassia Nord,Siena,53035
43.345508,11.279976,Strada Cassia Nord,Siena,53035
43.346233,11.279858,Strada Cassia Nord,Siena,53035
43.347016,11.279117,Strada Cassia Nord,Siena,53035
43.350491,11.273181,Via della Quercia,Monteriggioni,53035
43.351105,11.271346,Via della Quercia,Monteriggioni,53035
43.351438,11.271346,Via della Quercia,Monteriggioni,53035
43.35188,11.270803,Via della Quercia,Monteriggioni,53035
43.351864,11.270157,Via della Quercia,Monteriggioni,53035
43.352064,11.269717,Via della Quercia,Monteriggioni,53035
43.351919,11.268358,Via della Quercia,Monteriggioni,53035
43.352734,11.265303,Strada Cassia Nord,Siena,53035
43.35345,11.263745,Strada Cassia Nord,Siena,53035
43.354675,11.262773,Strada Cassia Nord,Siena,53035
43.356417,11.262346,Strada Cassia Nord,Siena,53035
43.357086,11.261976,Via Cassia Nord,Monteriggioni,53035
43.35921,11.25946,Via Cassia Nord,Monteriggioni,53035
43.360577,11.258765,Via Cassia Nord,Monteriggioni,53035
43.361603,11.257473,Via Cassia Nord,Monteriggioni,53035
43.362616,11.255437,Via Cassia Nord,Monteriggioni,53035
43.363984,11.255526,Via Cassia Nord,Monteriggioni,53035
43.365179,11.25445,Via Cassia Nord,Monteriggioni,53035
43.365372,11.251033,Strada dell'Uccellatoio,Monteriggioni,53035
43.36658,11.247,Strada dell'Uccellatoio,Monteriggioni,53035
43.366925,11.246556,Strada dell'Uccellatoio,Monteriggioni,53035
43.368142,11.245773,Strada dell'Uccellatoio,Monteriggioni,53035
43.369242,11.244069,Strada dell'Uccellatoio,Monteriggioni,53035
43.36979,11.24266,Strada dell'Uccellatoio,Monteriggioni,53035
43.37066,11.241233,Strada dell'Uccellatoio,Monteriggioni,53035
43.371071,11.239647,Strada di Bracciano,Monteriggioni,53035
43.372405,11.236701,Strada di Bracciano,Monteriggioni,53035
43.373801,11.235268,Strada di Bracciano,Monteriggioni,53035
43.374134,11.235048,Strada di Bracciano,Monteriggioni,53035
43.374734,11.235166,Strada di Bracciano,Monteriggioni,53035
43.375232,11.234693,Strada di Bracciano,Monteriggioni,53035
43.375609,11.234588,Strada di Bracciano,Monteriggioni,53035
43.376418,11.235252,Strada di Bracciano,Monteriggioni,53035
