Latitude,Longitude,Street,City,PostalCode
43.471398,11.039185,Via Dante,San Gimignano,53038
43.471165,11.037833,Via Dante,San Gimignano,53038
43.47117,11.034595,Via Dante,San Gimignano,53038
43.471351,11.03339,Via Dante,San Gimignano,53038
43.472078,11.032477,Via Martiri di Citerna,San Gimignano,53038
43.474401,11.031044,Via Martiri di Citerna,San Gimignano,53038
43.476199,11.02945,Via Martiri di Citerna,San Gimignano,53038
43.476744,11.029233,Via Martiri di Citerna,San Gimignano,53038
43.476595,11.02853,Via Martiri di Citerna,San Gimignano,53038
43.476971,11.025698,Via Martiri di Citerna,San Gimignano,53038
43.477959,11.022507,Strada Provinciale di Cellole,San Gimignano,53038
43.478042,11.019823,Strada Provinciale di Cellole,San Gimignano,53038
43.478745,11.018112,Strada Provinciale di Cellole,San Gimignano,53038
43.480383,11.015615,Strada Provinciale di Cellole,San Gimignano,53038
43.480482,11.013052,Strada Provinciale di Cellole,San Gimignano,53038
43.481398,11.009723,Strada Provinciale di Cellole,San Gimignano,53038
43.483047,11.006905,Strada Provinciale di Cellole,San Gimignano,53038
43.483585,11.004409,Strada Provinciale di Cellole,San Gimignano,53038
43.484941,11.001026,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.486759,10.997846,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.486901,10.996649,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.486571,10.995083,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.486652,10.993221,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.487072,10.990844,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.487955,10.987874,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.48741,10.98626,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.486213,10.984297,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.48568,10.983829,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.484731,10.983441,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.484004,10.982855,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.483915,10.982111,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.484409,10.98139,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.484492,10.980587,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.483871,10.980669,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.483462,10.98053,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.482938,10.981013,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.482658,10.981039,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.482503,10.980425,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.482076,10.980304,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.481641,10.979634,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.481523,10.97928,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.481787,10.978382,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.481524,10.976375,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.480983,10.976461,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.479846,10.975551,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.478584,10.975461,Strada Provinciale di Cellole,San Gimignano,Keine PLZ
43.477893,10.974903,Unbekannte Straße,San Gimignano,Keine PLZ
43.477245,10.975127,Unbekannte Straße,San Gimignano,Keine PLZ
43.475681,10.974963,Unbekannte Straße,San Gimignano,Keine PLZ
43.475439,10.975134,Unbekannte Straße,San Gimignano,Keine PLZ
43.474502,10.976954,Unbekannte Straße,San Gimignano,Keine PLZ
43.474283,10.977081,Unbekannte Straße,San Gimignano,Keine PLZ
43.473097,10.976655,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.472562,10.97675,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.47166,10.97652,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.471421,10.97659,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.470558,10.977431,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.470011,10.978959,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.468994,10.980318,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.46653,10.97828,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.46434,10.97742,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.463747,10.976798,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.462378,10.97601,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.46095,10.97624,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.4603,10.97614,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.459152,10.974814,Unbekannte Straße,San Gimignano,Keine PLZ
43.457913,10.973779,Unbekannte Straße,San Gimignano,Keine PLZ
43.456893,10.973923,Unbekannte Straße,San Gimignano,Keine PLZ
43.45597,10.97511,Unbekannte Straße,San Gimignano,Keine PLZ
43.455117,10.975444,Unbekannte Straße,San Gimignano,Keine PLZ
43.453824,10.976815,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.452747,10.97669,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.452379,10.976856,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.451278,10.97688,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.450703,10.97752,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.449003,10.978864,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.447864,10.979115,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.446823,10.979865,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.446415,10.980029,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.445072,10.979698,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.444722,10.979069,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.444092,10.978661,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443442,10.976943,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443652,10.975532,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443129,10.974655,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443301,10.974017,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443817,10.973165,Tagliocarr-Fatt. Vagli,San Gimignano,Keine PLZ
43.443576,10.971156,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442991,10.970835,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442602,10.969318,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442666,10.968496,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.441715,10.966362,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.441769,10.966037,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442288,10.965725,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442243,10.965253,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442641,10.964903,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442729,10.964092,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443421,10.964281,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.444096,10.963989,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443785,10.962545,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443722,10.96246,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443248,10.962757,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.4432,10.962652,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443621,10.960841,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443549,10.959822,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.443303,10.959765,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.442221,10.960314,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.441545,10.959989,Strada Provinciale del Cornocchio,San Gimignano,Keine PLZ
43.440878,10.959293,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
43.439897,10.959474,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
43.439031,10.96016,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
43.438789,10.960009,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
43.439406,10.959249,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
43.441449,10.955772,Strada Provinciale del Cornocchio,Volterra,Keine PLZ
