Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
43.029945,10.604386,Viale della Fiera,Campiglia Marittima,unknown,,,,
43.031100,10.602850,Viale della Fiera,Campiglia Marittima,unknown,,,,
43.033140,10.604630,Viale della Fiera,Campiglia Marittima,unknown,,,,
43.034070,10.604660,Viale della Fiera,Campiglia Marittima,unknown,,,,
43.034570,10.605110,Via Suveretana,Campiglia Marittima,unknown,,,,
43.034630,10.604640,Via Suveretana,Campiglia Marittima,unknown,,,,
43.035370,10.604010,Via Suveretana,Campiglia Marittima,unknown,,,,
43.035690,10.603990,Via Suveretana,Campiglia Marittima,unknown,,,,
43.036560,10.604800,Via Suveretana,Campiglia Marittima,unknown,,,,
43.037230,10.604030,Via Suveretana,Campiglia Marittima,unknown,,,,
43.037420,10.601860,Via Suveretana,Campiglia Marittima,unknown,,,,
43.038030,10.602560,Via Suveretana,Campiglia Marittima,unknown,,,,
43.038670,10.604960,Via Suveretana,Campiglia Marittima,unknown,,,,
43.038750,10.606230,Via Suveretana,Campiglia Marittima,unknown,,,,
43.039060,10.607060,Via di Venturina,Campiglia Marittima,unknown,,,,
43.039260,10.609400,Via di Venturina,Campiglia Marittima,unknown,,,,
43.039820,10.610350,Via di Venturina,Campiglia Marittima,unknown,,,,
43.040390,10.610300,Via di Venturina,Campiglia Marittima,unknown,,,,
43.040600,10.611630,Via di Venturina,Campiglia Marittima,unknown,,,,
43.043620,10.612590,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.045220,10.612380,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.045910,10.613240,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.048400,10.613470,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.049260,10.614210,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.050150,10.614070,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.050490,10.613490,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.051530,10.613730,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.052320,10.613420,Via del Mercurio,Campiglia Marittima,unknown,,,,
43.053590,10.613890,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.053300,10.613170,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.053340,10.612980,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.053610,10.612850,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.053850,10.613980,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.054340,10.614820,Via di Cafaggio,Campiglia Marittima,unknown,,,,
43.054500,10.615620,Via di Cafaggio,Campiglia Marittima,unknown,,,,
