Name,Typ,Adresse,Latitude,Longitude
Penny Market,supermarket,Adresse unbekannt,43.0259852,10.6022335
Drinking_water,drinking_water,Adresse unbekannt,43.0275461,10.6029991
Caffè Vittoria,cafe,Adresse unbekannt,43.0296654,10.6005461
Ristopizza da Andrea,restaurant,Adresse unbekannt,43.031525,10.5986828
Bakery,bakery,Adresse unbekannt,43.0277225,10.6030058
Ristorante Pizzeria da Elena,restaurant,Adresse unbekannt,43.0283228,10.6025977
Cafe,cafe,Adresse unbekannt,43.0321818,10.603759
il Clan,cafe,Adresse unbekannt,43.0299897,10.6023035
R.A.A.M. srl,bicycle,"Via Indipendenza, 227, 57021, Venturina Terme",43.0302545,10.5998278
Drinking_water,drinking_water,Adresse unbekannt,43.032413,10.6045673
Restaurant,restaurant,Adresse unbekannt,43.0271,10.6041511
Cafe,cafe,Adresse unbekannt,43.0270623,10.6037744
Cafe,cafe,Adresse unbekannt,43.0303955,10.6000908
Placa,restaurant,Adresse unbekannt,43.0597531,10.6169469
Drinking_water,drinking_water,"Piazza della Vittoria, 3, 57021, Campiglia Marittima",43.0588709,10.6168821
Restaurant,restaurant,Adresse unbekannt,43.0596179,10.6167665
Drinking_water,drinking_water,Adresse unbekannt,43.0609134,10.6144839
Pizzica,restaurant,"Piazza della Vittoria, 3, 57021, Campiglia Marittima",43.0587366,10.617432
Drinking_water,drinking_water,Adresse unbekannt,43.0610123,10.6186134
Barattolo,cafe,Adresse unbekannt,43.058796,10.617455
Restaurant,restaurant,Adresse unbekannt,43.0588791,10.6169275
Drinking_water,drinking_water,Adresse unbekannt,43.0607077,10.611566
Trattoria La Merenda,restaurant,"Piazza Giuseppe Mazzini, 10, 57021, Campiglia Marittima",43.0597345,10.6173219
Fonte Corboli,drinking_water,Adresse unbekannt,43.0596906,10.6275291
Drinking_water,drinking_water,Adresse unbekannt,43.0796011,10.6729256
Drinking_water,drinking_water,Adresse unbekannt,43.0779435,10.6787258
Drinking_water,drinking_water,Adresse unbekannt,43.0761055,10.6774482
Locanda delle Stelle,restaurant,"Via Palestro, 2, 57028, Suvereto",43.0783842,10.6787495
Enoteca dei Difficili,restaurant,Adresse unbekannt,43.0785804,10.6790536
Bakery,bakery,Adresse unbekannt,43.0784202,10.6785705
il Gallo Golosone,cafe,Adresse unbekannt,43.0790677,10.6784212
Drinking_water,drinking_water,Adresse unbekannt,43.0778384,10.6768715
Bar Trattoria La Sugheraia,cafe,Adresse unbekannt,43.0765746,10.6785673
BOS Fuoco e Grano,restaurant,Adresse unbekannt,43.0750049,10.6795654
I' Ciocio,restaurant,Suvereto,43.079379,10.67907
Drinking_water,drinking_water,Adresse unbekannt,43.079444,10.6785686
Drinking_water,drinking_water,Adresse unbekannt,43.079161,10.6792901
il Ghibellino,restaurant,Adresse unbekannt,43.079635,10.6783986
Pizzeria il Caminetto,restaurant,Adresse unbekannt,43.0795883,10.6785171
dal Cacini,restaurant,Adresse unbekannt,43.0794414,10.6781048
Antica osteria dei tre briganti,restaurant,Adresse unbekannt,43.0793175,10.6785634
La Loggia,restaurant,Adresse unbekannt,43.079487,10.6787391
Drinking_water,drinking_water,Adresse unbekannt,43.0459417,10.7104036
Drinking_water,drinking_water,Adresse unbekannt,43.0422617,10.7085685
Bakery,bakery,Adresse unbekannt,42.9792093,10.6827977
Drinking_water,drinking_water,Adresse unbekannt,42.9796326,10.6840051
Drinking_water,drinking_water,Adresse unbekannt,42.9817574,10.6809245
Bar Il Cipresso,cafe,Adresse unbekannt,42.9799551,10.6833909
Bar Sport,cafe,Adresse unbekannt,42.9795777,10.6832401
Drinking_water,drinking_water,Adresse unbekannt,42.9786503,10.6823641
Riolandia,cafe,Adresse unbekannt,42.9830993,10.6840552
Panificio Acquafresca,bakery,Adresse unbekannt,42.9791993,10.6830776
Drinking_water,drinking_water,Adresse unbekannt,42.9806671,10.6858865
Drinking_water,drinking_water,Adresse unbekannt,42.9794866,10.6873691
Trattoria il Tarlo,restaurant,Adresse unbekannt,42.9795414,10.6867576
Drinking_water,drinking_water,Adresse unbekannt,42.979893,10.6866979
Il Tiramestoli,restaurant,"4, 57025, Piombino",42.9528675,10.6829747
Restaurant,restaurant,Adresse unbekannt,42.9422979,10.7108046
Il Ginepro Experience Restaurant,restaurant,Adresse unbekannt,42.9389921,10.7155887
Restaurant,restaurant,Adresse unbekannt,42.9445203,10.71159
Cafe,cafe,Adresse unbekannt,42.9444089,10.7114891
Nel Giardino di Cri,restaurant,"Viale Italia, 307, 58022, Follonica",42.9375156,10.7196772
Ristorante La Duna,restaurant,"301, Follonica",42.9357451,10.722056
