Name,Typ,Adresse,Latitude,Longitude
Drinking_water,drinking_water,Adresse unbekannt,43.0771985,11.6802622
Drinking_water,drinking_water,Adresse unbekannt,43.0765682,11.6774639
Case Nuove,cafe,Adresse unbekannt,43.0767672,11.6808128
Il Casello,cafe,"53026, Pienza",43.0762126,11.6801199
Drinking_water,drinking_water,Adresse unbekannt,43.0767721,11.6791542
La Posta,cafe,"53026, Pienza",43.0766776,11.6789403
Trattoria da Fiorella,restaurant,"Via Condotti, 11, 53026, Pienza",43.0771397,11.678891
Bistrot Fidelio,restaurant,"10/11/12, 53026, Pienza",43.0773164,11.6774375
La Combriccola,restaurant,Adresse unbekannt,43.079146,11.6741978
Latte di Luna,restaurant,"Via San Carlo, 2, 53026, Pienza",43.0762651,11.6809517
La Terrazza Del Chiostro,restaurant,"Corso Rossellino, 26, 53026, Pienza",43.076407,11.6781116
La Buca di Enea,restaurant,"Via della Buca, 10, 53026, Pienza",43.0771844,11.6785308
Sette Di Vino,restaurant,"53026, Pienza",43.0769914,11.6792725
L'Osteria Baccus,restaurant,Adresse unbekannt,43.0763151,11.6805883
Sperone Nudo,restaurant,"53026, Pienza",43.0768733,11.6790946
Drinking_water,drinking_water,Adresse unbekannt,43.0763508,11.681407
Drinking_water,drinking_water,Adresse unbekannt,43.077438,11.6784468
Baccano,restaurant,"Corso Rossellino, 9, 53026, Pienza",43.0770331,11.6778732
Coop,supermarket,"Via San Gregorio, 50, 53026, Pienza",43.0789888,11.6771642
Drinking_water,drinking_water,Adresse unbekannt,43.0775064,11.6777606
La Buca delle Fate,restaurant,Adresse unbekannt,43.0764766,11.6798407
il rossellino,restaurant,"53026, Pienza",43.0768551,11.6793781
Drinking_water,drinking_water,Adresse unbekannt,43.078159,11.6780581
Idyllium,restaurant,"Via Gozzante, 67, 53026",43.0761304,11.6782504
Drinking_water,drinking_water,Adresse unbekannt,43.076072,11.6778389
Trattoria da Fiorella,restaurant,"Via Condotti, 11",43.0770489,11.6787116
Le 5 Lune Pizza & Co.,restaurant,"Largo Roma, 1, 53026",43.0770291,11.6804291
Drinking_water,drinking_water,Adresse unbekannt,43.078876,11.6777903
Drinking_water,drinking_water,Adresse unbekannt,43.0775117,11.6714465
Restaurant,restaurant,Adresse unbekannt,43.0805696,11.67254
Bar dell'Angolo,cafe,Adresse unbekannt,43.0860197,11.5492553
Drinking_water,drinking_water,Adresse unbekannt,43.0860399,11.549443
Drinking_water,drinking_water,Adresse unbekannt,43.0854092,11.5506721
La Compagnia,restaurant,Adresse unbekannt,43.0855496,11.5497797
Pasticceria Ticci,cafe,Adresse unbekannt,43.0859959,11.5488765
Osteria dei Briganti e dei Poeti,restaurant,Adresse unbekannt,43.0851676,11.5502237
El Merendero Pizzeria Rosticceria,restaurant,Adresse unbekannt,43.0863616,11.5474543
Drinking_water,drinking_water,Adresse unbekannt,43.0869989,11.5445084
Drinking_water,drinking_water,Adresse unbekannt,43.0949846,11.5028787
EwaCafe,cafe,Buonconvento,43.1203368,11.4829467
"Bar pasticceria gelateria ""900""",cafe,Adresse unbekannt,43.1329977,11.4823945
Cafe,cafe,"53022, Buonconvento",43.1357468,11.4832567
Drinking_water,drinking_water,Adresse unbekannt,43.1364718,11.4820129
Drinking_water,drinking_water,Adresse unbekannt,43.1384015,11.4823063
Drinking_water,drinking_water,Adresse unbekannt,43.1379419,11.4813969
Bar Moderno,cafe,"Via Antonio Gramsci, 5, 53022, Buonconvento",43.1368241,11.482315
Bar Sport,cafe,"1, 53022, Buonconvento",43.1374666,11.4817314
Drinking_water,drinking_water,Adresse unbekannt,43.1393011,11.4814855
Ristorante da Mario,restaurant,"Via Soccini, 60, 53022, Buonconvento",43.1378065,11.4819812
La Sosta dei Barrocciai,cafe,"Via Soccini, 52, 53022, Buonconvento",43.137884,11.4819865
Osteria La Porta Di Sotto,restaurant,"Via Soccini, 76, 53022, Buonconvento",43.1376246,11.4819399
Ristorante Roma,restaurant,"Via Soccini, 16, 53022, Buonconvento",43.1388042,11.4818911
Ristorante Pizzeria Le Antiche Mura,restaurant,"53022, Buonconvento",43.1377924,11.4826773
Drinking_water,drinking_water,Adresse unbekannt,43.1385812,11.4813553
Pizzeria Big 53,restaurant,"Via Soccini, 53, 53022, Buonconvento",43.1381498,11.4818314
Le Dolcezze,restaurant,"Via Roma, 44, 53022, Buonconvento",43.1367415,11.4817976
