Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Il Biondo,restaurant,"Vicolo del Rustichetto, 10, 53100, Siena",43.321527,11.329730,,22
La Bottega Del Caffè,cafe,"Via Banchi di Sotto, 39, 53100, Siena",43.319254,11.332226,,145
Bar Ristorante Rustichetto,restaurant,"Via Della Sapienza, 45, 53100, Siena",43.320362,11.327386,,283
Trattoria La Torre,restaurant,"Via di Salicotto, 7, 53100, Siena",43.318315,11.332382,,172
Caffe' Sandy,cafe,"Via di Salicotto, 21, 53100, Siena",43.318178,11.332672,,208
Forno Delle Campane,bakery,"Via di Salicotto, 23, 53100, Siena",43.318145,11.332737,,216
Panificio Il Magnifico,bakery,"Via dei Pellegrini, 27, 53100, Siena",43.318277,11.329815,,105
Caffetteria Il Magnifico,cafe,"Piazza San Giovanni, 1, 53100, Siena",43.318270,11.329639,,119
Il Battistero Bistrot,cafe,"Piazza San Giovanni, 2, 53100, Siena",43.318237,11.329588,,126
Ristorante Mugolone,restaurant,"Via dei Pellegrini, 8;12, 53100, Siena",43.318392,11.330200,,71
Il Masgalano,restaurant,"Via del Camporegio, 1, 53100, Siena",43.320328,11.327280,,293
La Mossa,restaurant,"Il Campo, 29, 53100, Siena",43.318417,11.330778,,42
La Taverna Del Capitano,restaurant,"Via del Capitano, 6;8, 53100, Siena",43.316518,11.329740,,277
Drinking_water,drinking_water,Adresse unbekannt,43.318623,11.331387,,58
Drinking_water,drinking_water,Adresse unbekannt,43.318701,11.331526,,68
Quarto Bistrot,restaurant,"Vicolo del Campaccio, 2, 53100, Siena",43.320104,11.328622,,187
Bar Nannini Conca d'Oro,cafe,"Banchi di Sopra, 24, 53100, Siena",43.319587,11.331430,,61
Hosteria Il Carroccio,restaurant,"Via del Casato di Sotto, 32, Siena",43.317318,11.331410,,179
Zest Ristorante e Wine Bar,restaurant,"Costa Sant' Antonio, 13, 53100, Siena",43.320147,11.328938,,155
Osteria Il Grattacielo,restaurant,"Via dei Pontani, 8, 53100, Siena",43.320275,11.330721,,7
Ristorante Pizzeria Spadaforte,restaurant,"Il Campo, 12-14, 53100, Siena",43.317904,11.331157,,108
Bar Il Palio,cafe,"Il Campo, 47, 53100, Siena",43.318945,11.331454,,55
