Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.076622,11.678932,492.000000,2024-11-06 09:34:51+00:00,0.000000,0.000000,0.000000
43.076830,11.679083,492.600000,2024-11-06 09:34:59+00:00,0.026176,0.026176,0.600000
43.076971,11.679188,492.600000,2024-11-06 09:35:04+00:00,0.017846,0.044022,0.000000
43.077161,11.679301,492.000000,2024-11-06 09:35:10+00:00,0.023027,0.067049,0.000000
43.077317,11.679449,491.200000,2024-11-06 09:35:15+00:00,0.021110,0.088159,0.000000
43.077324,11.679400,491.100000,2024-11-06 09:35:16+00:00,0.004066,0.092225,0.000000
43.077335,11.679284,491.100000,2024-11-06 09:35:18+00:00,0.009526,0.101750,0.000000
43.077336,11.679271,491.000000,2024-11-06 09:35:18+00:00,0.001065,0.102815,0.000000
43.077365,11.679037,491.000000,2024-11-06 09:35:22+00:00,0.019327,0.122142,0.000000
43.077369,11.678611,490.700000,2024-11-06 09:35:27+00:00,0.034696,0.156837,0.000000
43.077353,11.678445,490.600000,2024-11-06 09:35:30+00:00,0.013635,0.170473,0.000000
43.077339,11.678231,490.400000,2024-11-06 09:35:32+00:00,0.017497,0.187970,0.000000
43.077407,11.677816,489.200000,2024-11-06 09:35:37+00:00,0.034631,0.222601,0.000000
43.077439,11.677719,488.800000,2024-11-06 09:35:38+00:00,0.008663,0.231263,0.000000
43.077477,11.677641,488.300000,2024-11-06 09:35:39+00:00,0.007627,0.238890,0.000000
43.077456,11.677625,488.200000,2024-11-06 09:35:41+00:00,0.002672,0.241563,0.000000
43.077520,11.677436,487.200000,2024-11-06 09:35:51+00:00,0.016955,0.258517,0.000000
43.077264,11.677249,487.300000,2024-11-06 09:35:55+00:00,0.032261,0.290778,0.100000
43.077226,11.677218,487.300000,2024-11-06 09:35:56+00:00,0.004919,0.295697,0.000000
43.077195,11.677104,487.000000,2024-11-06 09:35:57+00:00,0.009902,0.305599,0.000000
43.077190,11.676656,485.900000,2024-11-06 09:36:02+00:00,0.036489,0.342088,0.000000
43.077129,11.676318,485.100000,2024-11-06 09:36:06+00:00,0.028348,0.370436,0.000000
43.077078,11.675947,485.000000,2024-11-06 09:36:13+00:00,0.030740,0.401177,0.000000
43.077118,11.675736,485.000000,2024-11-06 09:36:17+00:00,0.017749,0.418926,0.000000
43.077201,11.675512,484.900000,2024-11-06 09:36:22+00:00,0.020440,0.439366,0.000000
