Latitude,Longitude
43.029945,10.604386
43.0311,10.60285
43.03314,10.60463
43.03407,10.60466
43.03457,10.60511
43.03463,10.60464
43.03537,10.60401
43.03569,10.60399
43.03656,10.6048
43.03723,10.60403
43.03742,10.60186
43.03803,10.60256
43.03867,10.60496
43.03875,10.60623
43.03906,10.60706
43.03926,10.6094
43.03982,10.61035
43.04039,10.6103
43.0406,10.61163
43.04362,10.61259
43.04522,10.61238
43.04591,10.61324
43.0484,10.61347
43.04926,10.61421
43.05015,10.61407
43.05049,10.61349
43.05153,10.61373
43.05232,10.61342
43.05359,10.61389
43.0533,10.61317
43.05334,10.61298
43.05361,10.61285
43.05385,10.61398
43.05434,10.61482
43.0545,10.61562
43.0547,10.6157
43.05684,10.61487
43.05772,10.61504
43.05898,10.61432
43.06081,10.61453
43.06062,10.615
43.06081,10.61591
43.05981,10.61683
43.05924,10.61689
43.0588,10.6173
43.05934,10.6174
43.05946,10.61757
43.05964,10.61924
43.05989,10.61997
43.05945,10.62156
43.059849,10.62299
43.059656,10.624361
43.060307,10.624997
43.060571,10.625818
43.061474,10.625903
43.061335,10.627439
43.061725,10.627876
43.062101,10.628673
43.06236,10.628838
43.062582,10.628784
43.063117,10.62828
43.063393,10.628295
43.064212,10.630192
43.064982,10.630694
43.065496,10.631791
43.06588,10.631721
43.066595,10.630842
43.067495,10.631314
43.0687,10.631123
43.069988,10.631659
43.070883,10.6314
43.07108,10.631599
43.071271,10.632549
43.071888,10.633299
43.072278,10.633298
43.072784,10.63298
43.073026,10.633057
43.072946,10.63407
43.072308,10.635884
43.072393,10.63634
43.073808,10.639315
43.074415,10.638877
43.074897,10.639057
43.07519,10.638951
43.075643,10.638271
43.075804,10.637357
43.076784,10.636425
43.077029,10.636557
43.077428,10.638832
43.078198,10.640259
43.078468,10.64026
43.078638,10.640004
43.079562,10.637637
43.079844,10.637744
43.080831,10.640031
43.081406,10.640428
43.081846,10.640477
43.082403,10.640303
43.083189,10.639359
43.083318,10.639001
43.084029,10.639596
43.085391,10.63986
43.086125,10.63935
43.085654,10.640283
43.085592,10.641755
43.085118,10.643877
43.085388,10.643858
43.085786,10.64341
43.086211,10.64335
43.085632,10.644937
43.084934,10.646066
43.084245,10.646841
43.083787,10.648458
43.082665,10.650359
43.082585,10.651485
43.083436,10.652789
43.083437,10.653699
43.083145,10.655393
43.082498,10.656146
43.081893,10.656435
43.081661,10.657399
43.07839,10.658581
43.074969,10.659374
43.074932,10.664271
43.074431,10.665123
43.074419,10.666354
43.074556,10.666955
43.075238,10.667923
43.075349,10.668881
43.075793,10.669486
43.07604,10.670235
43.075788,10.6745
43.075682,10.674738
43.075065,10.674799
43.074949,10.675057
43.075943,10.677421
43.076648,10.678324
43.07704,10.680449
43.076569,10.681103
43.075955,10.681255
43.075321,10.682161
43.075553,10.684672
43.075295,10.685255
43.075451,10.685973
43.075428,10.689387
43.074617,10.689932
43.073756,10.690969
43.073667,10.691888
43.073142,10.69343
43.072211,10.695695
43.071369,10.696885
43.070742,10.696917
43.070142,10.697191
43.070065,10.69709
43.068862,10.692571
43.068563,10.692029
43.068085,10.6918
43.067629,10.691952
43.067264,10.691557
43.067,10.691541
43.065991,10.692131
43.065684,10.692587
43.064598,10.69355
43.062608,10.694416
43.061545,10.696102
43.061212,10.696284
43.060686,10.696082
43.060553,10.695857
43.060753,10.692638
