Latitude,Longitude
43.076622,11.678932
43.077317,11.679449
43.077339,11.678231
43.07752,11.677436
43.077195,11.677104
43.077118,11.675736
43.079146,11.671699
43.079462,11.670764
43.080841,11.669818
43.081663,11.667978
43.082568,11.666941
43.082968,11.666719
43.084072,11.666652
43.085118,11.664455
43.085904,11.664136
43.086403,11.663702
43.087524,11.662321
43.088538,11.661947
43.089481,11.661117
43.091023,11.661235
43.094723,11.660997
43.095422,11.660734
43.096476,11.661041
43.098041,11.660728
43.099981,11.661046
43.101767,11.660091
43.104068,11.660638
43.105017,11.660081
43.106086,11.659823
43.107141,11.659998
43.108187,11.659884
43.108869,11.660094
43.110705,11.659185
43.111357,11.659543
43.113343,11.66001
43.1147,11.659925
43.115544,11.659766
43.120977,11.657003
43.120368,11.655697
43.120793,11.654624
43.120762,11.653867
43.120568,11.65325
43.119956,11.652304
43.119752,11.65156
43.120044,11.649462
43.120847,11.64824
43.120945,11.647663
43.120789,11.64741
43.11994,11.647135
43.119551,11.646325
43.120034,11.642793
43.12037,11.642132
43.12051,11.6414
43.121208,11.64035
43.121063,11.638852
43.12016,11.637027
43.119401,11.636634
43.118651,11.635999
43.116925,11.635593
43.116808,11.634698
43.11645,11.634099
43.116079,11.63257
43.11506,11.631499
43.114664,11.630624
43.114337,11.628555
43.114302,11.627627
43.114737,11.625933
43.11443,11.623819
43.114596,11.621507
43.115277,11.617911
43.11606,11.615855
43.115947,11.614361
43.114844,11.612864
43.114566,11.611926
43.113907,11.611009
43.112798,11.608688
43.108131,11.604378
43.107832,11.603374
43.108067,11.60194
43.107703,11.601212
43.106286,11.600287
43.105253,11.600737
43.103315,11.600463
43.102631,11.60107
43.101741,11.599514
43.101297,11.599195
43.100244,11.599141
43.099047,11.59747
43.098708,11.59746
43.098376,11.598448
43.09815,11.598574
43.096905,11.597193
43.096369,11.595319
43.095729,11.594516
43.094347,11.591038
43.093576,11.590288
43.092968,11.589146
43.092569,11.588724
43.090936,11.587666
43.090053,11.58609
43.085867,11.582593
43.08525,11.581542
43.084791,11.580074
43.084474,11.579534
43.084218,11.579406
43.08369,11.576752
43.08177,11.572192
43.080827,11.571352
43.079684,11.570733
43.080672,11.570268
43.080982,11.569962
43.081442,11.568789
43.081731,11.56686
43.082731,11.565193
43.083406,11.563559
43.083972,11.562944
43.084846,11.562795
43.085109,11.56233
43.084798,11.561181
43.085107,11.560468
43.084776,11.559925
43.084812,11.559369
43.084362,11.558947
43.084547,11.557084
43.08429,11.556573
43.083557,11.556076
43.083478,11.55573
43.08405,11.552436
43.085955,11.549337
43.084575,11.548336
43.085772,11.545792
43.085831,11.54493
43.086128,11.544059
43.084052,11.54316
43.083499,11.543346
43.081975,11.542836
43.08161,11.540325
43.08098,11.539432
43.080671,11.537686
43.080228,11.537129
43.080239,11.535407
43.07974,11.534108
43.079804,11.53335
43.079618,11.532316
43.079957,11.531237
43.08011,11.52916
43.081404,11.525789
43.082439,11.52441
43.08315,11.523915
43.083627,11.522319
43.085731,11.521187
43.086209,11.520254
43.086572,11.516676
43.086289,11.515852
43.08538,11.514866
43.084274,11.514819
43.083901,11.515071
43.083169,11.514911
43.082361,11.514221
43.081619,11.513239
43.081024,11.513168
43.080848,11.512982
43.079948,11.511164
43.079905,11.50994
43.080397,11.508722
43.082948,11.504327
43.08381,11.504186
43.08429,11.501708
43.08587,11.502582
43.087844,11.504297
43.089839,11.505136
43.09112,11.504911
43.092376,11.504241
43.093318,11.503106
43.093653,11.503166
43.093874,11.503901
43.094088,11.504015
43.094612,11.503944
43.095222,11.503027
43.096158,11.502344
43.096491,11.50067
43.097842,11.498483
43.100241,11.497041
43.100528,11.496713
43.100879,11.495923
43.101086,11.494495
43.101568,11.493585
43.102729,11.492307
43.103429,11.491963
43.103741,11.491525
43.104484,11.488548
43.107014,11.48629
43.105955,11.482201
43.104656,11.479702
43.104738,11.479493
43.10715,11.47945
43.107304,11.478784
43.107499,11.478917
43.107415,11.479282
43.107549,11.479409
43.111296,11.479558
43.11374,11.480378
43.113945,11.480742
43.113981,11.48041
43.115139,11.480605
43.116855,11.481419
43.11736,11.48153
43.117396,11.481356
43.118485,11.481773
43.11884,11.482159
43.119051,11.483248
43.119345,11.483428
43.131527,11.482367
43.132155,11.482436
43.132302,11.482298
43.136682,11.481915
43.13514,11.47543
43.13436,11.471339
43.137518,11.469518
43.14247,11.46434
43.14359,11.46194
43.14535,11.460792
43.147447,11.460258
43.14805,11.460317
43.148458,11.460685
43.149478,11.462887
43.149712,11.463101
43.149998,11.463103
43.16022,11.457655
43.160704,11.456703
43.161086,11.457915
43.161429,11.460256
43.163534,11.462298
43.163784,11.462757
43.16504,11.46388
43.166036,11.464519
43.166417,11.463824
43.166947,11.463359
43.168175,11.464255
43.167934,11.465236
43.167358,11.465048
43.166896,11.465138
43.166322,11.465606
43.165719,11.466408
43.165233,11.466669
43.165546,11.467689
43.165036,11.468678
43.163273,11.469221
43.162802,11.46968
43.162571,11.471582
43.161803,11.473222
43.161966,11.474647
43.162236,11.474924
43.165574,11.476437
43.167168,11.477723
43.169182,11.478058
43.169868,11.479216
43.170841,11.479828
43.171309,11.48199
43.171801,11.483127
43.17258,11.483847
43.174536,11.484492
43.175387,11.485039
43.175814,11.484112
43.175615,11.482426
43.175718,11.481836
43.176039,11.481343
43.17624,11.480147
43.176691,11.479379
43.176647,11.478404
43.1768,11.47763
43.179386,11.47707
43.182327,11.47783
43.186059,11.474837
43.187206,11.474744
43.187815,11.474934
43.187994,11.474415
43.188457,11.473913
43.189198,11.471727
43.189433,11.471407
43.190097,11.470968
43.190714,11.470288
43.1915,11.4688
43.194843,11.465628
43.196217,11.462247
43.198575,11.458468
43.20066,11.455744
43.200963,11.455147
43.201991,11.45538
43.207397,11.453197
43.208203,11.452545
43.211063,11.449516
43.21156,11.449378
43.213897,11.449533
43.216245,11.448701
43.218374,11.445508
43.219034,11.444977
43.220324,11.444376
43.221924,11.444498
43.222193,11.442351
43.226374,11.432564
43.228149,11.429549
43.228651,11.429036
