Latitude,Longitude
43.318931,11.330955
43.3188,11.330767
43.319023,11.330409
43.31944,11.330897
43.32049,11.330545
43.320973,11.330066
43.321132,11.330452
43.322462,11.328843
43.323584,11.328069
43.32469,11.3277
43.325017,11.328043
43.32618,11.327627
43.326593,11.326652
43.326836,11.326383
43.327082,11.326358
43.327718,11.325245
43.329245,11.320892
43.331915,11.315272
43.332545,11.311697
43.334366,11.309476
43.33706,11.30745
43.338321,11.306862
43.339015,11.305906
43.342813,11.305945
43.34334,11.305808
43.343523,11.305516
43.344429,11.301081
43.344583,11.298988
43.344803,11.298476
43.345493,11.294691
43.345361,11.293305
43.343947,11.288189
43.343894,11.287456
43.34417,11.285855
43.34414,11.284444
43.343639,11.282571
43.343677,11.281796
43.344062,11.281161
43.345508,11.279976
43.346233,11.279858
43.347016,11.279117
43.350491,11.273181
43.351105,11.271346
43.351438,11.271346
43.35188,11.270803
43.351864,11.270157
43.352064,11.269717
43.351919,11.268358
43.352734,11.265303
43.35345,11.263745
43.354675,11.262773
43.356417,11.262346
43.357086,11.261976
43.35921,11.25946
43.360577,11.258765
43.361603,11.257473
43.362616,11.255437
43.363984,11.255526
43.365179,11.25445
43.365372,11.251033
43.36658,11.247
43.366925,11.246556
43.368142,11.245773
43.369242,11.244069
43.36979,11.24266
43.37066,11.241233
43.371071,11.239647
43.372405,11.236701
43.373801,11.235268
43.374134,11.235048
43.374734,11.235166
43.375232,11.234693
43.375609,11.234588
43.376418,11.235252
43.376664,11.236424
43.377362,11.235952
43.37756,11.236026
43.378657,11.238389
43.379326,11.238978
43.38076,11.23972
43.381913,11.240649
43.382271,11.241898
43.383067,11.239717
43.385813,11.237274
43.386246,11.236566
43.385005,11.232128
43.385167,11.229191
43.385689,11.225969
43.387716,11.225086
43.388589,11.224244
43.389075,11.224967
43.389266,11.224888
43.389449,11.224368
43.389772,11.224481
43.389899,11.223987
43.389773,11.223728
43.389897,11.223368
43.39002,11.223412
43.389964,11.223211
43.390242,11.222471
43.39052,11.222238
43.39039,11.220568
43.391169,11.220728
43.391071,11.219991
43.39177,11.219404
43.392381,11.219329
43.392631,11.219129
43.39266,11.218467
43.392236,11.217802
43.39078,11.21618
43.390108,11.215744
43.389209,11.21446
43.388824,11.212998
43.387508,11.211806
43.387097,11.211596
43.386384,11.211601
43.385895,11.211894
43.385065,11.212084
43.383761,11.212949
43.383422,11.212821
43.384233,11.205839
43.387747,11.199197
43.388085,11.19865
43.38847,11.198538
43.388698,11.198248
43.389197,11.19677
43.388269,11.195084
43.387614,11.194284
43.387144,11.194095
43.385996,11.192448
43.385676,11.191491
43.385855,11.190409
43.385322,11.1868
43.383379,11.183104
43.3832,11.182174
43.38234,11.181755
43.381766,11.181801
43.380642,11.181592
43.380266,11.181101
43.380012,11.181118
43.380093,11.180772
43.379851,11.179711
43.379018,11.178274
43.379261,11.177245
43.378831,11.175936
43.378997,11.174274
43.378464,11.172837
43.378447,11.171879
43.379239,11.17189
43.379335,11.172158
43.379749,11.17228
43.380176,11.172171
43.380491,11.171315
43.381659,11.170849
43.382653,11.170144
43.38354,11.168757
43.384382,11.167803
43.385086,11.167487
43.385813,11.167437
43.386461,11.166477
43.391522,11.16416
43.391253,11.162623
43.391736,11.162271
43.39198,11.162313
43.392555,11.16322
43.393084,11.163633
43.393344,11.163534
43.393939,11.162294
43.39389,11.161477
43.394201,11.161109
43.395054,11.158744
43.396396,11.156263
43.396816,11.152271
43.398125,11.148471
43.399426,11.146924
43.400149,11.143119
43.4008,11.141383
43.401216,11.139415
43.400906,11.138383
43.401424,11.138533
43.4018,11.139004
43.402074,11.13888
43.403379,11.134578
43.404089,11.134227
43.403897,11.133699
43.404854,11.13352
43.404047,11.133661
43.404149,11.133086
43.403992,11.132002
43.403456,11.131984
43.403487,11.130769
43.402725,11.129912
43.402677,11.129566
43.402974,11.128288
43.403827,11.127032
43.404438,11.126893
43.404998,11.125214
43.405402,11.124803
43.406344,11.122258
43.407201,11.118991
43.407935,11.117356
43.408471,11.116628
43.40836,11.115788
43.407025,11.112546
43.406554,11.110218
43.406831,11.106332
43.408092,11.104479
43.408632,11.102318
43.408942,11.099133
43.408522,11.098263
43.408213,11.09572
43.407923,11.094855
43.407046,11.093222
43.406967,11.091891
43.406694,11.091602
43.406613,11.088462
43.406261,11.087947
43.405476,11.085158
43.408783,11.082486
43.40973,11.081393
43.410788,11.08095
43.412371,11.080733
43.412567,11.079988
43.413905,11.079509
43.413756,11.077296
43.414062,11.076163
43.41383,11.075143
43.414472,11.074213
43.415058,11.07387
43.414829,11.073767
43.414028,11.074224
43.413342,11.07497
43.412883,11.074236
43.411966,11.074394
43.412003,11.074161
43.413055,11.073108
43.413177,11.071008
43.413978,11.070589
43.41555,11.070108
43.416315,11.069951
43.416922,11.0701
43.417851,11.070004
43.419052,11.070658
43.419381,11.071105
43.421433,11.072645
43.422438,11.071547
43.423353,11.070827
43.425739,11.070541
43.427666,11.069892
43.427839,11.069177
43.42848,11.0686
43.428635,11.067835
43.429182,11.066738
43.429617,11.066658
43.430866,11.068412
43.431894,11.067562
43.432182,11.067694
43.432378,11.068426
43.433557,11.069635
43.43393,11.07042
43.434859,11.07351
43.435755,11.077612
43.436822,11.080313
43.439455,11.082945
43.441105,11.083655
43.441648,11.084481
43.442957,11.085758
43.443444,11.085983
43.444945,11.084889
43.446481,11.084813
43.447872,11.084387
43.448976,11.083043
43.451291,11.082998
43.45298,11.082324
43.452934,11.083226
43.453297,11.084422
43.455568,11.087542
43.458636,11.092801
43.458806,11.092738
43.458746,11.090615
43.459384,11.088127
43.45946,11.087236
43.459691,11.086711
43.460321,11.086843
43.460445,11.086647
43.460314,11.08609
43.460047,11.085811
43.459436,11.085708
43.459075,11.085939
43.459326,11.085415
43.45943,11.083083
43.460307,11.081057
43.459842,11.080148
43.459129,11.077058
43.459201,11.076504
43.460032,11.075438
43.461532,11.074997
43.461865,11.074622
43.462634,11.073047
43.463188,11.070267
43.463803,11.068953
43.464133,11.068537
43.464771,11.068425
43.465732,11.067657
43.466461,11.066168
43.466844,11.064442
43.467905,11.064519
43.469542,11.061874
43.470483,11.060721
43.470901,11.059841
43.473404,11.056809
43.474896,11.05593
43.476106,11.052999
43.478413,11.049823
43.478704,11.049214
43.478539,11.047992
43.478865,11.045288
43.478195,11.04483
43.477001,11.043188
43.476391,11.042673
43.474051,11.041455
43.472676,11.040542
43.471705,11.040165
43.471398,11.039185
