Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.029945,10.604386,11.900000,2024-11-05 17:58:35+00:00,0.000000,0.000000,0.000000
43.053700,10.612930,145.300000,2024-11-05 17:58:35+00:00,0.011935,3.823874,0.500000
43.053750,10.613080,146.100000,2024-11-05 17:58:35+00:00,0.013424,3.837297,0.800000
43.053770,10.613730,148.500000,2024-11-05 17:58:35+00:00,0.014027,3.890430,0.800000
43.053850,10.613980,150.000000,2024-11-05 17:58:35+00:00,0.022222,3.912652,1.500000
43.054340,10.614820,156.000000,2024-11-05 17:58:35+00:00,0.087444,4.000096,6.000000
43.054380,10.614990,157.000000,2024-11-05 17:58:35+00:00,0.014545,4.014642,1.000000
43.054430,10.615460,160.000000,2024-11-05 17:58:35+00:00,0.038691,4.053333,3.000000
43.054500,10.615620,161.200000,2024-11-05 17:58:35+00:00,0.015179,4.068511,1.200000
43.054600,10.615680,162.100000,2024-11-05 17:58:35+00:00,0.012137,4.080648,0.900000
43.053610,10.612850,144.800000,2024-11-05 17:58:35+00:00,0.008925,3.811939,0.400000
43.054700,10.615700,162.900000,2024-11-05 17:58:35+00:00,0.011228,4.091877,0.800000
43.055670,10.615400,170.100000,2024-11-05 17:58:35+00:00,0.055249,4.202375,3.100000
43.056020,10.615280,172.200000,2024-11-05 17:58:35+00:00,0.040093,4.242468,2.100000
43.056520,10.615000,176.000000,2024-11-05 17:58:35+00:00,0.060048,4.302516,3.800000
43.056840,10.614870,178.500000,2024-11-05 17:58:35+00:00,0.037094,4.339610,2.500000
43.057030,10.614840,180.000000,2024-11-05 17:58:35+00:00,0.021249,4.360859,1.500000
43.057150,10.614850,181.000000,2024-11-05 17:58:35+00:00,0.013356,4.374215,1.000000
43.057550,10.615020,184.600000,2024-11-05 17:58:35+00:00,0.046546,4.420760,3.600000
43.057720,10.615040,185.300000,2024-11-05 17:58:35+00:00,0.018956,4.439716,0.700000
43.057960,10.614920,187.100000,2024-11-05 17:58:35+00:00,0.028398,4.468115,1.800000
43.055185,10.615550,167.000000,2024-11-05 17:58:35+00:00,0.055249,4.147126,4.100000
43.058340,10.614700,190.700000,2024-11-05 17:58:35+00:00,0.045862,4.513977,3.600000
43.053530,10.612840,144.400000,2024-11-05 17:58:35+00:00,0.009466,3.803014,0.000000
43.053340,10.612980,144.400000,2024-11-05 17:58:35+00:00,0.016105,3.778861,0.000000
43.050440,10.613560,143.600000,2024-11-05 17:58:35+00:00,0.036409,3.322111,0.200000
43.050490,10.613490,143.700000,2024-11-05 17:58:35+00:00,0.007961,3.330072,0.100000
43.050820,10.613480,142.500000,2024-11-05 17:58:35+00:00,0.036670,3.366742,0.000000
43.050900,10.613510,142.200000,2024-11-05 17:58:35+00:00,0.009217,3.375959,0.000000
43.050980,10.613590,141.800000,2024-11-05 17:58:35+00:00,0.011021,3.386981,0.000000
43.051150,10.613690,143.000000,2024-11-05 17:58:35+00:00,0.020568,3.407549,1.200000
43.051530,10.613730,146.700000,2024-11-05 17:58:35+00:00,0.042341,3.449890,3.700000
