Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.318931,11.330955,336.300000,2024-11-06 15:21:26+00:00,0.000000,0.000000,0.000000
43.318800,11.330767,335.900000,2024-11-06 15:21:39+00:00,0.021080,0.021080,0.000000
43.319023,11.330409,335.600000,2024-11-06 15:21:52+00:00,0.038172,0.059253,0.000000
43.319134,11.330592,335.800000,2024-11-06 15:21:59+00:00,0.019299,0.078552,0.200000
43.319253,11.330776,336.900000,2024-11-06 15:22:06+00:00,0.019939,0.098491,1.100000
43.319343,11.330866,337.500000,2024-11-06 15:22:10+00:00,0.012380,0.110871,0.600000
43.319440,11.330897,337.900000,2024-11-06 15:22:14+00:00,0.011066,0.121937,0.400000
43.319595,11.330864,338.200000,2024-11-06 15:22:20+00:00,0.017427,0.139364,0.300000
43.319702,11.330858,338.200000,2024-11-06 15:22:24+00:00,0.011898,0.151262,0.000000
43.319828,11.330851,338.200000,2024-11-06 15:22:29+00:00,0.014010,0.165272,0.000000
43.320013,11.330795,337.700000,2024-11-06 15:22:36+00:00,0.021049,0.186321,0.000000
43.320084,11.330756,337.500000,2024-11-06 15:22:39+00:00,0.008499,0.194820,0.000000
43.320226,11.330668,337.200000,2024-11-06 15:22:45+00:00,0.017316,0.212136,0.000000
43.320366,11.330605,336.700000,2024-11-06 15:22:50+00:00,0.016372,0.228508,0.000000
43.320490,11.330545,336.300000,2024-11-06 15:22:55+00:00,0.014611,0.243118,0.000000
43.320572,11.330479,336.100000,2024-11-06 15:22:58+00:00,0.010567,0.253685,0.000000
43.320592,11.330457,336.000000,2024-11-06 15:22:58+00:00,0.002850,0.256535,0.000000
43.320660,11.330369,336.000000,2024-11-06 15:23:01+00:00,0.001477,0.266930,0.000000
43.320650,11.330381,336.000000,2024-11-06 15:23:01+00:00,0.008918,0.265453,0.000000
43.320689,11.330342,336.000000,2024-11-06 15:23:02+00:00,0.003896,0.270826,0.000000
43.320973,11.330066,337.400000,2024-11-06 15:23:13+00:00,0.038688,0.309513,1.400000
43.321115,11.330410,341.600000,2024-11-06 15:23:22+00:00,0.032055,0.341568,4.200000
43.321132,11.330452,342.100000,2024-11-06 15:23:24+00:00,0.003895,0.345463,0.500000
43.321303,11.330286,341.800000,2024-11-06 15:23:31+00:00,0.023286,0.368749,0.000000
43.321494,11.330103,341.000000,2024-11-06 15:23:38+00:00,0.025896,0.394646,0.000000
43.321601,11.329987,340.400000,2024-11-06 15:23:42+00:00,0.015161,0.409807,0.000000
43.321637,11.329940,340.100000,2024-11-06 15:23:44+00:00,0.005525,0.415332,0.000000
43.321760,11.329751,339.300000,2024-11-06 15:23:48+00:00,0.020537,0.435869,0.000000
43.321809,11.329673,339.200000,2024-11-06 15:23:50+00:00,0.008347,0.444215,0.000000
43.322102,11.329302,339.400000,2024-11-06 15:23:59+00:00,0.044331,0.488546,0.200000
43.322462,11.328843,341.100000,2024-11-06 15:24:09+00:00,0.054643,0.543189,1.700000
43.322688,11.328668,342.400000,2024-11-06 15:24:15+00:00,0.028843,0.572032,1.300000
43.323211,11.328360,342.000000,2024-11-06 15:24:27+00:00,0.063248,0.635280,0.000000
43.323584,11.328069,340.200000,2024-11-06 15:24:37+00:00,0.047691,0.682971,0.000000
43.323718,11.328032,339.500000,2024-11-06 15:24:40+00:00,0.015187,0.698157,0.000000
43.324150,11.327913,339.600000,2024-11-06 15:24:50+00:00,0.048956,0.747113,0.100000
43.324418,11.327801,340.600000,2024-11-06 15:24:56+00:00,0.031130,0.778243,1.000000
43.324690,11.327700,341.600000,2024-11-06 15:25:03+00:00,0.031310,0.809552,1.000000
43.324742,11.327822,341.700000,2024-11-06 15:25:06+00:00,0.011458,0.821011,0.100000
43.324800,11.327888,341.900000,2024-11-06 15:25:08+00:00,0.008377,0.829388,0.200000
43.325017,11.328043,342.800000,2024-11-06 15:25:14+00:00,0.027190,0.856578,0.900000
43.325247,11.327890,343.800000,2024-11-06 15:25:20+00:00,0.028407,0.884985,1.000000
43.325379,11.327854,344.100000,2024-11-06 15:25:23+00:00,0.014953,0.899938,0.300000
43.325532,11.327862,344.400000,2024-11-06 15:25:27+00:00,0.017011,0.916948,0.300000
43.325811,11.327844,344.900000,2024-11-06 15:25:34+00:00,0.031031,0.947979,0.500000
43.325952,11.327805,345.200000,2024-11-06 15:25:38+00:00,0.015981,0.963960,0.300000
43.326077,11.327730,345.400000,2024-11-06 15:25:41+00:00,0.015161,0.979122,0.200000
43.326180,11.327627,345.700000,2024-11-06 15:25:45+00:00,0.014168,0.993290,0.300000
43.326349,11.327321,346.100000,2024-11-06 15:25:52+00:00,0.031121,1.024411,0.400000
43.326447,11.327068,346.500000,2024-11-06 15:25:56+00:00,0.023230,1.047641,0.400000
43.326461,11.327020,346.600000,2024-11-06 15:25:57+00:00,0.004192,1.051833,0.100000
43.326516,11.326866,346.700000,2024-11-06 15:26:00+00:00,0.013905,1.065738,0.100000
43.326593,11.326652,347.000000,2024-11-06 15:26:04+00:00,0.019351,1.085089,0.300000
43.326836,11.326383,346.900000,2024-11-06 15:26:12+00:00,0.034711,1.119800,0.000000
43.326965,11.326309,346.900000,2024-11-06 15:26:16+00:00,0.015538,1.135338,0.000000
43.327082,11.326358,346.900000,2024-11-06 15:26:19+00:00,0.013593,1.148930,0.000000
43.327157,11.326226,346.800000,2024-11-06 15:26:21+00:00,0.013567,1.162497,0.000000
43.327401,11.325807,346.200000,2024-11-06 15:26:30+00:00,0.043471,1.205968,0.000000
43.327499,11.325606,345.800000,2024-11-06 15:26:34+00:00,0.019604,1.225572,0.000000
43.327634,11.325361,345.500000,2024-11-06 15:26:38+00:00,0.024896,1.250468,0.000000
43.327648,11.325339,345.300000,2024-11-06 15:26:39+00:00,0.002367,1.252835,0.000000
43.327718,11.325245,345.000000,2024-11-06 15:26:41+00:00,0.010891,1.263726,0.000000
43.327882,11.324835,344.500000,2024-11-06 15:26:48+00:00,0.037918,1.301644,0.000000
43.328043,11.324332,344.000000,2024-11-06 15:26:56+00:00,0.044545,1.346189,0.000000
43.328066,11.324263,343.900000,2024-11-06 15:26:57+00:00,0.006152,1.352341,0.000000
43.328345,11.323387,343.000000,2024-11-06 15:27:10+00:00,0.077516,1.429857,0.000000
43.328447,11.323069,342.700000,2024-11-06 15:27:16+00:00,0.028171,1.458028,0.000000
43.328477,11.322976,342.600000,2024-11-06 15:27:17+00:00,0.008246,1.466274,0.000000
43.328516,11.322854,342.500000,2024-11-06 15:27:19+00:00,0.010802,1.477076,0.000000
43.328730,11.322178,341.900000,2024-11-06 15:27:30+00:00,0.059760,1.536836,0.000000
43.328762,11.322102,341.800000,2024-11-06 15:27:32+00:00,0.007116,1.543952,0.000000
43.328868,11.321892,341.400000,2024-11-06 15:27:36+00:00,0.020707,1.564659,0.000000
43.328963,11.321728,341.100000,2024-11-06 15:27:39+00:00,0.016980,1.581639,0.000000
43.329046,11.321572,340.800000,2024-11-06 15:27:41+00:00,0.015656,1.597295,0.000000
43.329200,11.321029,340.000000,2024-11-06 15:27:50+00:00,0.047246,1.644541,0.000000
43.329211,11.320989,339.900000,2024-11-06 15:27:50+00:00,0.003467,1.648008,0.000000
43.329245,11.320892,339.700000,2024-11-06 15:27:52+00:00,0.008727,1.656735,0.000000
43.329648,11.320021,337.600000,2024-11-06 15:28:05+00:00,0.083635,1.740370,0.000000
43.329733,11.319842,337.500000,2024-11-06 15:28:08+00:00,0.017319,1.757689,0.000000
43.329810,11.319683,337.400000,2024-11-06 15:28:11+00:00,0.015475,1.773164,0.000000
43.330100,11.319082,336.600000,2024-11-06 15:28:20+00:00,0.003803,1.831593,0.000000
43.330081,11.319121,336.600000,2024-11-06 15:28:20+00:00,0.054626,1.827790,0.000000
43.330759,11.317733,335.000000,2024-11-06 15:28:42+00:00,0.131645,1.963238,0.000000
43.330787,11.317676,335.000000,2024-11-06 15:28:42+00:00,0.005572,1.968810,0.000000
43.331229,11.316756,335.100000,2024-11-06 15:28:58+00:00,0.089323,2.058133,0.100000
43.331252,11.316708,335.100000,2024-11-06 15:28:58+00:00,0.004657,2.062789,0.000000
