item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,7.578,276.414,,,,,,
Peak,2,5.024,232.487,,,,,,
Valid Segment,1,,,forward,51.404,52.091,687.087,33.221,
Valid Segment,1,,,forward,55.977,56.647,670.715,36.581,
Valid Segment,1,,,forward,56.890,57.402,512.183,50.295,
Valid Segment,1,,,forward,61.431,64.767,3335.581,101.665,
Valid Segment,1,,,forward,75.223,79.935,4711.674,33.966,
Valid Segment,1,,,forward,82.064,80.489,1574.861,34.261,
Valid Segment,1,,,forward,86.339,89.770,3430.875,48.730,
Valid Segment,1,,,forward,91.106,93.048,1942.093,49.752,
Valid Segment,1,,,backward,3.189,1.860,1329.573,93.124,
Valid Segment,1,,,backward,5.024,0.961,4062.972,204.953,
Valid Segment,1,,,backward,4.421,3.367,1054.018,47.428,
Valid Segment,2,,,forward,0.606,0.687,81.687,40.828,
Valid Segment,2,,,forward,1.595,2.766,1171.424,113.014,
Valid Segment,2,,,forward,1.867,2.143,275.641,35.761,
Valid Segment,2,,,forward,2.296,5.836,3539.669,157.481,
Valid Segment,2,,,forward,5.856,7.578,1721.860,34.905,
Valid Segment,2,,,forward,55.977,56.647,670.715,36.581,
Valid Segment,2,,,forward,56.890,57.402,512.183,50.295,
Valid Segment,2,,,forward,61.431,64.767,3335.581,101.665,
Valid Segment,2,,,forward,75.223,79.935,4711.674,33.966,
Valid Segment,2,,,forward,82.064,80.489,1574.861,34.261,
Valid Segment,2,,,forward,86.339,89.770,3430.875,48.730,
Valid Segment,2,,,forward,91.106,93.048,1942.093,49.752,
Valid Segment,2,,,backward,4.421,3.367,1054.018,47.428,
