item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,89.429,600.846,,,,,,
Peak,2,66.866,422.724,,,,,,
Valid Segment,1,,,forward,96.801,99.162,2360.356,32.683,
Valid Segment,1,,,forward,101.635,105.607,3971.642,195.938,Ends@TrackEnd
Valid Segment,1,,,backward,82.445,82.881,435.672,40.816,
Valid Segment,1,,,backward,76.279,79.160,2880.959,184.134,
Valid Segment,1,,,backward,69.660,70.955,1294.415,81.288,
Valid Segment,1,,,backward,58.845,59.999,1153.678,41.832,
Valid Segment,1,,,backward,33.903,36.089,2186.640,127.488,
Valid Segment,1,,,backward,1.624,3.691,2066.894,40.397,
Valid Segment,2,,,forward,73.916,75.728,1811.399,85.628,
Valid Segment,2,,,forward,83.817,87.013,3195.707,272.410,
Valid Segment,2,,,forward,87.787,88.924,1137.566,54.200,
Valid Segment,2,,,forward,101.635,105.607,3971.642,195.938,Ends@TrackEnd
Valid Segment,2,,,backward,58.845,59.999,1153.678,41.832,
Valid Segment,2,,,backward,33.903,36.089,2186.640,127.488,
Valid Segment,2,,,backward,1.624,3.691,2066.894,40.397,
