item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,6.399,415.517,,,,,,
Peak,2,22.685,329.186,,,,,,
Valid Segment,1,,,forward,18.570,19.584,1013.728,42.151,
Valid Segment,1,,,forward,38.163,40.607,2443.816,87.228,
Valid Segment,1,,,forward,51.006,52.203,1196.515,67.935,
Valid Segment,1,,,forward,62.441,63.204,763.772,44.769,
Valid Segment,1,,,forward,67.028,68.139,1111.111,53.021,
Valid Segment,1,,,backward,1.254,4.119,2865.149,136.867,
Valid Segment,2,,,forward,38.163,40.607,2443.816,87.228,
Valid Segment,2,,,forward,51.006,52.203,1196.515,67.935,
Valid Segment,2,,,forward,62.441,63.204,763.772,44.769,
Valid Segment,2,,,forward,67.028,68.139,1111.111,53.021,
Valid Segment,2,,,backward,14.986,18.039,3053.062,127.419,
Valid Segment,2,,,backward,11.593,12.478,884.532,36.686,
Valid Segment,2,,,backward,6.399,7.962,1562.714,61.702,
