item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,31.550,493.272,,,,,,
Peak,2,27.644,488.899,,,,,,
Valid Segment,1,,,forward,32.980,33.684,703.981,32.024,
Valid Segment,1,,,forward,64.219,57.963,6255.867,38.692,
Valid Segment,1,,,forward,69.587,71.801,2214.023,50.188,
Valid Segment,1,,,backward,27.644,28.669,1024.199,48.639,
Valid Segment,1,,,backward,3.703,10.955,7252.167,334.394,
Valid Segment,1,,,backward,1.358,2.702,1343.491,43.247,
Valid Segment,2,,,forward,29.452,31.595,2142.470,42.552,
Valid Segment,2,,,forward,64.219,57.963,6255.867,38.692,
Valid Segment,2,,,forward,69.587,71.801,2214.023,50.188,
Valid Segment,2,,,backward,3.703,10.955,7252.167,334.394,
Valid Segment,2,,,backward,1.358,2.702,1343.491,43.247,
