Latitude,Longitude,Street,City,PostalCode
43.076622,11.678932,Via Guglielmo Marconi,Pienza,53026
43.077317,11.679449,Via Guglielmo Marconi,Pienza,53026
43.077339,11.678231,Via Guglielmo Marconi,Pienza,53026
43.07752,11.677436,Via Guglielmo Marconi,Pienza,53026
43.077195,11.677104,Via Guglielmo Marconi,Pienza,53026
43.077118,11.675736,Via Guglielmo Marconi,Pienza,53026
43.079146,11.671699,Viale Santa Caterina,Pienza,53026
43.079462,11.670764,Viale Santa Caterina,Pienza,53026
43.080841,11.669818,Viale Santa Caterina,Pienza,53026
43.081663,11.667978,Viale Santa Caterina,Pienza,53026
43.082568,11.666941,Strada Comunale di Beccacervello,Pienza,53026
43.082968,11.666719,Strada Comunale di Beccacervello,Pienza,53026
43.084072,11.666652,Strada Comunale di Beccacervello,Pienza,53026
43.085118,11.664455,Strada Comunale di Beccacervello,Pienza,53026
43.085904,11.664136,Strada Comunale di Beccacervello,Pienza,53026
43.086403,11.663702,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.087524,11.662321,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.088538,11.661947,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.089481,11.661117,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.091023,11.661235,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.094723,11.660997,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.095422,11.660734,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.096476,11.661041,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.098041,11.660728,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.099981,11.661046,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.101767,11.660091,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.104068,11.660638,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.105017,11.660081,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.106086,11.659823,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
43.107141,11.659998,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.108187,11.659884,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.108869,11.660094,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.110705,11.659185,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.111357,11.659543,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.113343,11.66001,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.1147,11.659925,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.115544,11.659766,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53026
43.120977,11.657003,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.120368,11.655697,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.120793,11.654624,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.120762,11.653867,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.120568,11.65325,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.119956,11.652304,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.119752,11.65156,Strada Provinciale di Petroio e Castelmuzio,Trequanda,53020
43.120044,11.649462,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.120847,11.64824,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.120945,11.647663,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.120789,11.64741,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.11994,11.647135,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.119551,11.646325,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.120034,11.642793,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.12037,11.642132,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.12051,11.6414,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.121208,11.64035,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.121063,11.638852,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.12016,11.637027,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.119401,11.636634,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.118651,11.635999,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.116925,11.635593,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.116808,11.634698,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.11645,11.634099,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.116079,11.63257,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.11506,11.631499,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.114664,11.630624,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.114337,11.628555,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.114302,11.627627,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.114737,11.625933,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.11443,11.623819,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.114596,11.621507,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.115277,11.617911,Strada Provinciale di Petroio e Castelmuzio,Pienza,53020
43.11606,11.615855,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.115947,11.614361,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.114844,11.612864,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.114566,11.611926,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.113907,11.611009,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.112798,11.608688,Strada Provinciale di Petroio e Castelmuzio,Pienza,Keine PLZ
43.108131,11.604378,Strada Provinciale di Petroio e Castelmuzio,Pienza,53026
