Name,Typ,Adresse,Latitude,Longitude
Drinking_water,drinking_water,Adresse unbekannt,42.8637827,11.0121474
Bar Trattoria Il Bozzone,cafe,"58043, Castiglione della Pescaia",42.8635321,11.0118871
inCoop,supermarket,Adresse unbekannt,42.9350162,11.2691926
Drinking_water,drinking_water,Adresse unbekannt,42.9333334,11.2692988
Da Antinesco Bistrot Maremmano,restaurant,Adresse unbekannt,42.9295672,11.2660546
Drinking_water,drinking_water,Adresse unbekannt,42.9316092,11.2710204
Pizzeria Il Castelluccio,restaurant,Adresse unbekannt,42.9309889,11.2697042
Supermarket,supermarket,Adresse unbekannt,42.9568441,11.38526
Restaurant,restaurant,Adresse unbekannt,42.9580533,11.3853109
Caffè Sant'Angelo,restaurant,Adresse unbekannt,42.9660373,11.42672
Drinking_water,drinking_water,Adresse unbekannt,42.9654959,11.4262155
Trattoria Il Leccio,restaurant,Adresse unbekannt,42.9941256,11.460316
Tratorria il Pozzo,restaurant,Adresse unbekannt,42.9941813,11.4607756
Drinking_water,drinking_water,Adresse unbekannt,42.9939701,11.4604583
Drinking_water,drinking_water,Adresse unbekannt,42.996333,11.4602793
Cafe,cafe,"53024, Castelnuovo dell'Abate",42.9948598,11.5169873
Drinking_water,drinking_water,Adresse unbekannt,42.9945366,11.5174321
Drinking_water,drinking_water,Adresse unbekannt,42.9994387,11.5159714
Restaurant,restaurant,"53024, Castelnuovo dell'Abate",42.9947203,11.5192752
Drinking_water,drinking_water,Adresse unbekannt,42.9757032,11.5481238
Drinking_water,drinking_water,Adresse unbekannt,42.9766536,11.5460808
Drinking_water,drinking_water,Adresse unbekannt,42.9734765,11.5903645
Il Ritrovino,restaurant,Adresse unbekannt,43.0066263,11.6166207
Drinking_water,drinking_water,Adresse unbekannt,43.0033279,11.6165807
Bar Petra Primi Piatti,restaurant,Adresse unbekannt,43.0031417,11.6160437
Bar L'appalto,cafe,Adresse unbekannt,43.006581,11.6162384
Bonucci Simona Alimentari,supermarket,"Borgo Vittorio Emanuele, 22, 53023, Castiglione d'Orcia",43.0064397,11.6161958
Il Cassero,restaurant,Adresse unbekannt,43.0059643,11.6158526
Drinking_water,drinking_water,Adresse unbekannt,43.0055908,11.6159975
Drinking_water,drinking_water,Adresse unbekannt,43.0061769,11.615936
Drinking_water,drinking_water,Adresse unbekannt,43.005571,11.6163688
Drinking_water,drinking_water,Adresse unbekannt,43.00612,11.6153023
Drinking_water,drinking_water,Adresse unbekannt,43.0034158,11.6162119
Drinking_water,drinking_water,Adresse unbekannt,43.0107405,11.6156186
le rocche,restaurant,"Via Senese, 10, 53023, Castiglione d'Orcia",43.0071265,11.6170868
Bakery,bakery,Adresse unbekannt,43.0081182,11.6147855
Azienda Agricola Fontenuova,restaurant,Adresse unbekannt,43.0118733,11.6192713
Drinking_water,drinking_water,Adresse unbekannt,43.0771985,11.6802622
Drinking_water,drinking_water,Adresse unbekannt,43.0765682,11.6774639
Case Nuove,cafe,Adresse unbekannt,43.0767672,11.6808128
Il Casello,cafe,"53026, Pienza",43.0762126,11.6801199
Drinking_water,drinking_water,Adresse unbekannt,43.0767721,11.6791542
La Posta,cafe,"53026, Pienza",43.0766776,11.6789403
Trattoria da Fiorella,restaurant,"Via Condotti, 11, 53026, Pienza",43.0771397,11.678891
Bistrot Fidelio,restaurant,"10/11/12, 53026, Pienza",43.0773164,11.6774375
Latte di Luna,restaurant,"Via San Carlo, 2, 53026, Pienza",43.0762651,11.6809517
La Terrazza Del Chiostro,restaurant,"Corso Rossellino, 26, 53026, Pienza",43.076407,11.6781116
La Buca di Enea,restaurant,"Via della Buca, 10, 53026, Pienza",43.0771844,11.6785308
Sette Di Vino,restaurant,"53026, Pienza",43.0769914,11.6792725
L'Osteria Baccus,restaurant,Adresse unbekannt,43.0763151,11.6805883
Sperone Nudo,restaurant,"53026, Pienza",43.0768733,11.6790946
Drinking_water,drinking_water,Adresse unbekannt,43.0763508,11.681407
Drinking_water,drinking_water,Adresse unbekannt,43.077438,11.6784468
Baccano,restaurant,"Corso Rossellino, 9, 53026, Pienza",43.0770331,11.6778732
Drinking_water,drinking_water,Adresse unbekannt,43.0775064,11.6777606
La Buca delle Fate,restaurant,Adresse unbekannt,43.0764766,11.6798407
il rossellino,restaurant,"53026, Pienza",43.0768551,11.6793781
Idyllium,restaurant,"Via Gozzante, 67, 53026",43.0761304,11.6782504
Drinking_water,drinking_water,Adresse unbekannt,43.076072,11.6778389
Trattoria da Fiorella,restaurant,"Via Condotti, 11",43.0770489,11.6787116
Le 5 Lune Pizza & Co.,restaurant,"Largo Roma, 1, 53026",43.0770291,11.6804291
Drinking_water,drinking_water,Adresse unbekannt,43.0775117,11.6714465
La Combriccola,restaurant,Adresse unbekannt,43.079146,11.6741978
Coop,supermarket,"Via San Gregorio, 50, 53026, Pienza",43.0789888,11.6771642
Drinking_water,drinking_water,Adresse unbekannt,43.078159,11.6780581
Restaurant,restaurant,Adresse unbekannt,43.0805696,11.67254
Drinking_water,drinking_water,Adresse unbekannt,43.078876,11.6777903
