Name,Typ,Adresse,Latitude,Longitude
Osteria Di Nonna Gina,restaurant,"Pian dei Mantellini, 2, 53100, Siena",43.3153206,11.3275695
Il Biondo,restaurant,"Vicolo del Rustichetto, 10, 53100, Siena",43.3215273,11.3297299
Hostaria Il Rialto,restaurant,"Via del Rialto, 4, 53100, Siena",43.3180247,11.3336665
La Bottega Del Caffè,cafe,"Via Banchi di Sotto, 39, 53100, Siena",43.3192535,11.3322263
Bar Ristorante Rustichetto,restaurant,"Via Della Sapienza, 45, 53100, Siena",43.3203624,11.327386
Trattoria La Torre,restaurant,"Via di Salicotto, 7, 53100, Siena",43.318315,11.3323818
Caffe' Sandy,cafe,"Via di Salicotto, 21, 53100, Siena",43.3181782,11.3326722
Forno Delle Campane,bakery,"Via di Salicotto, 23, 53100, Siena",43.318145,11.3327369
Caffè Le Logge,cafe,"Via di Pantaneto, 11, 53100, Siena",43.3187985,11.3338052
Philadelphia Bar,cafe,"Via di Pantaneto, 24, 53100, Siena",43.3185157,11.3341924
La Prosciutteria Crudi e Bollicine,restaurant,"Via di Pantaneto, 89, 53100, Siena",43.3180529,11.3352933
Ristorante Vivace,restaurant,"Via Stalloreggi, 62, 53100, Siena",43.3153764,11.3282779
Panificio Il Magnifico,bakery,"Via dei Pellegrini, 27, 53100, Siena",43.3182773,11.3298148
Caffetteria Il Magnifico,cafe,"Piazza San Giovanni, 1, 53100, Siena",43.3182696,11.3296388
Il Battistero Bistrot,cafe,"Piazza San Giovanni, 2, 53100, Siena",43.3182368,11.3295883
Ristorante Mugolone,restaurant,"Via dei Pellegrini, 8;12, 53100, Siena",43.3183918,11.3301999
Il Masgalano,restaurant,"Via del Camporegio, 1, 53100, Siena",43.3203277,11.3272798
La Mossa,restaurant,"Il Campo, 29, 53100, Siena",43.3184168,11.3307777
La Taverna Del Capitano,restaurant,"Via del Capitano, 6;8, 53100, Siena",43.3165183,11.32974
Drinking_water,drinking_water,Adresse unbekannt,43.3186227,11.331387
Drinking_water,drinking_water,Adresse unbekannt,43.316251,11.3318315
Drinking_water,drinking_water,Adresse unbekannt,43.3187009,11.3315257
Quarto Bistrot,restaurant,"Vicolo del Campaccio, 2, 53100, Siena",43.3201043,11.3286217
Locanda dell'Oste,restaurant,"Via di Porta Giustizia, 6, 53100, Siena",43.3166748,11.3329683
Bar Nannini Conca d'Oro,cafe,"Banchi di Sopra, 24, 53100, Siena",43.3195871,11.3314298
Drinking_water,drinking_water,Adresse unbekannt,43.3175696,11.3336882
Hosteria Il Carroccio,restaurant,"Via del Casato di Sotto, 32, Siena",43.3173176,11.3314104
Zest Ristorante e Wine Bar,restaurant,"Costa Sant' Antonio, 13, 53100, Siena",43.320147,11.3289384
Osteria Il Grattacielo,restaurant,"Via dei Pontani, 8, 53100, Siena",43.3202749,11.3307212
Ristorante Pizzeria Spadaforte,restaurant,"Il Campo, 12-14, 53100, Siena",43.3179044,11.3311569
Bar Il Palio,cafe,"Il Campo, 47, 53100, Siena",43.3189448,11.3314544
Caffè Fonte Gaia,restaurant,"Il Campo, 21;23, 53100, Siena",43.3182489,11.3309412
Ristorante Vitti,restaurant,"Via dei Montanini, 16, 53100, Siena",43.3213795,11.3303128
Salumeria Il Cencio,restaurant,"Il Campo, 70;71, 53100, Siena",43.3186294,11.3326124
Osteria Da Trombicche,restaurant,"Via delle Terme, 66, 53100, Siena",43.320328,11.3302615
Trattoria La Tellina,restaurant,"Via delle Terme, 52, 53100, Siena",43.3201195,11.3303381
Osteria Il Ghibellino,restaurant,"Via dei Pellegrini, 26, 53100, Siena",43.3183526,11.3297183
Il Kroeg,cafe,"Via Vallerozzi, 53100, Siena",43.3225863,11.3309433
Drinking_water,drinking_water,Adresse unbekannt,43.3197774,11.3291259
Osteria di Castelvecchio,restaurant,"Via Castelvecchio, 65, 53100, Siena",43.3153963,11.3303038
Osteria del Gusto,restaurant,"Via dei Fusari, 9, 53100, Siena",43.3177804,11.3283715
Osteria da Divo,restaurant,"Via Franciosa, 25;29, 53100, Siena",43.3180084,11.3281403
Ristorante Il Duomo,restaurant,"Via dei Fusari, 19, 53100, Siena",43.3175086,11.3281828
L'Osteria dei Rossi,restaurant,"Via dei Rossi, 79;81, 53100, Siena",43.3217486,11.3321915
La Nuova Pasticceria,bakery,"Via Giovanni Duprè, 12, 53100, Siena",43.3176944,11.3317798
Antico Tagliere,cafe,Adresse unbekannt,43.3166128,11.3305517
Chianti & Pizza,restaurant,"Via delle Terme, 94, 53100, Siena",43.3207976,11.3298149
Antica Trattoria Papei,restaurant,"Piazza del Mercato, 6, 53100, Siena",43.3170382,11.3324793
Ristorante Gallo Nero,restaurant,"Via del Porrione, 65;67, 53100, Siena",43.3178918,11.3344641
La Rosa,restaurant,"Via di Pantaneto, 63, 53100, Siena",43.3179806,11.3351532
La Piccola Ciaccineria,restaurant,"Via San Pietro, 52, 53100, Siena",43.3154403,11.3304411
Taverna di Cecco,restaurant,"Via Cecco Angiolieri, 19, 53100, Siena",43.3200094,11.3319531
Pizzeria di Nonno Mede,restaurant,"Via Camporegio, 21, 53100, Siena",43.3201907,11.3284831
Il Pomodorino,restaurant,"Via del Camporegio, 13, 53100, Siena",43.3201956,11.3279748
