Name,Typ,Adresse,Latitude,Longitude
Drinking_water,drinking_water,Adresse unbekannt,43.4680657,11.0427155
Drinking_water,drinking_water,Adresse unbekannt,43.4699154,11.0409915
Drinking_water,drinking_water,Adresse unbekannt,43.47057,11.0444967
Bar Piazetta,cafe,Adresse unbekannt,43.4696172,11.0412333
Ristorante La Stella,restaurant,"Via San Matteo, 77",43.4691267,11.0417959
Trattoria Antica Macelleria,restaurant,Adresse unbekannt,43.4683946,11.0428011
Restaurant,restaurant,Via Venti Settembre,43.469698,11.0420447
Ristorante La Griglia,restaurant,"Via San Matteo, 34",43.4686218,11.0427076
Drinking_water,drinking_water,Adresse unbekannt,43.4676321,11.0416558
Echoes Bruschetteria,restaurant,"vicolo Mainardi, 10, 53037, San Gimignano",43.4694228,11.0409365
Caffè delle Erbe,cafe,Adresse unbekannt,43.4680998,11.0426239
Locanda la Mandragola,restaurant,Adresse unbekannt,43.4687339,11.0417985
Ristorante Fuoriluogo,restaurant,"Via Niccolò Cannicci, 2/a, 53037, San Gimignano",43.4706809,11.0402599
Magnino,restaurant,Adresse unbekannt,43.4696809,11.04119
Ristorante il Pino,restaurant,Adresse unbekannt,43.4700548,11.041455
Il Ceppo Toscano,restaurant,Adresse unbekannt,43.4694457,11.0430762
LaVecchia Nicchia,restaurant,Adresse unbekannt,43.4698496,11.0417157
Perucà,restaurant,"Via Capassi, 16",43.469285,11.0420393
Il Trovatore,restaurant,Adresse unbekannt,43.4691961,11.0403912
Osteria Delle Catene,restaurant,"Via Mainardi, 18, 53037, San Gimignano",43.4692675,11.0410631
Osteria delle Catene,restaurant,Adresse unbekannt,43.4693334,11.0411413
Cum Quibus,restaurant,Adresse unbekannt,43.469917,11.0417005
San Martino 26,restaurant,Adresse unbekannt,43.4699592,11.0419158
Locanda di Sant'Agostino,restaurant,Adresse unbekannt,43.4705521,11.0419546
Bristot Srl,cafe,"Via Fugnano, 20, 53037, San Gimignano",43.4725361,11.02689
Drinking_water,drinking_water,Adresse unbekannt,43.4850079,11.0050805
Serraspina INT,drinking_water,Adresse unbekannt,43.4276412,10.7871153
Drinking_water,drinking_water,Adresse unbekannt,43.4008319,10.7488463
La Terrazza sul Borgo,restaurant,Adresse unbekannt,43.392728,10.7502686
Drinking_water,drinking_water,Adresse unbekannt,43.3923076,10.7453212
Alimentari ortofrutta essedue,supermarket,Adresse unbekannt,43.3922884,10.7487507
Il Buglione,restaurant,Adresse unbekannt,43.3927093,10.7497465
