Name,Typ,Adresse,Latitude,Longitude
La Terrazza sul Borgo,restaurant,Adresse unbekannt,43.392728,10.7502686
Drinking_water,drinking_water,Adresse unbekannt,43.3923076,10.7453212
Alimentari ortofrutta essedue,supermarket,Adresse unbekannt,43.3922884,10.7487507
Il Buglione,restaurant,Adresse unbekannt,43.3927093,10.7497465
Drinking_water,drinking_water,Adresse unbekannt,43.3906932,10.7384811
Drinking_water,drinking_water,Adresse unbekannt,43.3912638,10.7397124
Ristorante Pizzeria L’Ippocastano,restaurant,Adresse unbekannt,43.3908534,10.7386203
Agriturismo Il Margone,restaurant,Adresse unbekannt,43.3919896,10.7395789
Big Roof,restaurant,Adresse unbekannt,43.3291883,10.6682517
Locanda del Sole,restaurant,"Via Francesca, 9, Querceto",43.2943243,10.727226
Drinking_water,drinking_water,Adresse unbekannt,43.2944062,10.7275424
Drinking_water,drinking_water,Adresse unbekannt,43.1985531,10.7377725
Drinking_water,drinking_water,Adresse unbekannt,43.2000051,10.7373496
L'Osteria del Ghiotto,restaurant,Adresse unbekannt,43.1984793,10.73801
Ristorante Pratella,restaurant,Adresse unbekannt,43.1237745,10.7215472
Drinking_water,drinking_water,Adresse unbekannt,43.0779435,10.6787258
Drinking_water,drinking_water,Adresse unbekannt,43.0761055,10.6774482
I' Ciocio,restaurant,Suvereto,43.079379,10.67907
Locanda delle Stelle,restaurant,"Via Palestro, 2, 57028, Suvereto",43.0783842,10.6787495
Drinking_water,drinking_water,Adresse unbekannt,43.079161,10.6792901
Enoteca dei Difficili,restaurant,Adresse unbekannt,43.0785804,10.6790536
Bakery,bakery,Adresse unbekannt,43.0784202,10.6785705
il Gallo Golosone,cafe,Adresse unbekannt,43.0790677,10.6784212
Drinking_water,drinking_water,Adresse unbekannt,43.0778384,10.6768715
Bar Trattoria La Sugheraia,cafe,Adresse unbekannt,43.0765746,10.6785673
BOS Fuoco e Grano,restaurant,Adresse unbekannt,43.0750049,10.6795654
ristobar dolcecaffè,cafe,Adresse unbekannt,43.0260589,10.6091839
Cafe,cafe,Adresse unbekannt,43.0321818,10.603759
Drinking_water,drinking_water,Adresse unbekannt,43.032413,10.6045673
