Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Bakery,bakery,Adresse unbekannt,43.027723,10.603006,,290
Ristorante Pizzeria da Elena,restaurant,Adresse unbekannt,43.028323,10.602598,,268
Cafe,cafe,Adresse unbekannt,43.032182,10.603759,,12
il Clan,cafe,Adresse unbekannt,43.029990,10.602303,,137
Drinking_water,drinking_water,Adresse unbekannt,43.032413,10.604567,,38
Placa,restaurant,Adresse unbekannt,43.059753,10.616947,,12
Drinking_water,drinking_water,"Piazza della Vittoria, 3, 57021, Campiglia Marittima",43.058871,10.616882,,0
Restaurant,restaurant,Adresse unbekannt,43.059618,10.616767,,7
Drinking_water,drinking_water,Adresse unbekannt,43.060913,10.614484,,12
Pizzica,restaurant,"Piazza della Vittoria, 3, 57021, Campiglia Marittima",43.058737,10.617432,,12
Drinking_water,drinking_water,Adresse unbekannt,43.061012,10.618613,,151
Barattolo,cafe,Adresse unbekannt,43.058796,10.617455,,7
Restaurant,restaurant,Adresse unbekannt,43.058879,10.616927,,0
Trattoria La Merenda,restaurant,"Piazza Giuseppe Mazzini, 10, 57021, Campiglia Marittima",43.059734,10.617322,,39
Fonte Corboli,drinking_water,Adresse unbekannt,43.059691,10.627529,,180
Drinking_water,drinking_water,Adresse unbekannt,43.077944,10.678726,,138
Drinking_water,drinking_water,Adresse unbekannt,43.076105,10.677448,,12
Locanda delle Stelle,restaurant,"Via Palestro, 2, 57028, Suvereto",43.078384,10.678750,,185
Enoteca dei Difficili,restaurant,Adresse unbekannt,43.078580,10.679054,,198
Bakery,bakery,Adresse unbekannt,43.078420,10.678570,,194
il Gallo Golosone,cafe,Adresse unbekannt,43.079068,10.678421,,267
Drinking_water,drinking_water,Adresse unbekannt,43.077838,10.676872,,204
Bar Trattoria La Sugheraia,cafe,Adresse unbekannt,43.076575,10.678567,,7
BOS Fuoco e Grano,restaurant,Adresse unbekannt,43.075005,10.679565,,200
I' Ciocio,restaurant,Suvereto,43.079379,10.679070,,283
Drinking_water,drinking_water,Adresse unbekannt,43.079161,10.679290,,254
Antica osteria dei tre briganti,restaurant,Adresse unbekannt,43.079318,10.678563,,290
Drinking_water,drinking_water,Adresse unbekannt,43.045942,10.710404,,7
Drinking_water,drinking_water,Adresse unbekannt,43.042262,10.708569,,5
Bakery,bakery,Adresse unbekannt,42.979209,10.682798,,116
Drinking_water,drinking_water,Adresse unbekannt,42.979633,10.684005,,8
Drinking_water,drinking_water,Adresse unbekannt,42.981757,10.680924,,40
Bar Il Cipresso,cafe,Adresse unbekannt,42.979955,10.683391,,11
Bar Sport,cafe,Adresse unbekannt,42.979578,10.683240,,52
Drinking_water,drinking_water,Adresse unbekannt,42.978650,10.682364,,193
Panificio Acquafresca,bakery,Adresse unbekannt,42.979199,10.683078,,93
Drinking_water,drinking_water,Adresse unbekannt,42.980667,10.685887,,226
Drinking_water,drinking_water,Adresse unbekannt,42.979487,10.687369,,163
Trattoria il Tarlo,restaurant,Adresse unbekannt,42.979541,10.686758,,134
Drinking_water,drinking_water,Adresse unbekannt,42.979893,10.686698,,169
Il Tiramestoli,restaurant,"4, 57025, Piombino",42.952868,10.682975,,13
Restaurant,restaurant,Adresse unbekannt,42.942298,10.710805,,29
Il Ginepro Experience Restaurant,restaurant,Adresse unbekannt,42.938992,10.715589,,46
Restaurant,restaurant,Adresse unbekannt,42.944520,10.711590,,288
Cafe,cafe,Adresse unbekannt,42.944409,10.711489,,274
Nel Giardino di Cri,restaurant,"Viale Italia, 307, 58022, Follonica",42.937516,10.719677,,16
Ristorante La Duna,restaurant,"301, Follonica",42.935745,10.722056,,75
Bar Gelateria Ramazzotti,cafe,"Viale Italia, 220, 58022, Follonica",42.931179,10.733772,,7
Ristorante Pizzeria Ramazzotti,restaurant,"Viale Italia, 218, 58022, Follonica",42.931146,10.733878,,7
La Lanternina 2,restaurant,"Viale Italia, 160, 58022, Follonica",42.929618,10.738424,,6
Nettuno,restaurant,"Viale Italia, 233, 58022, Follonica",42.930710,10.734664,,10
