Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
53.551380,10.032170,4.210000,,0.000000,0.000000,0.000000
53.551805,10.031850,3.990000,,0.051838,0.051838,0.000000
53.552230,10.031530,4.270000,,0.051838,0.103677,0.280000
53.552190,10.030070,4.260000,,0.096868,0.200544,0.000000
53.552230,10.029180,4.410000,,0.059155,0.259699,0.150000
53.552280,10.028780,4.690000,,0.027089,0.286788,0.280000
53.552280,10.028430,4.910000,,0.023197,0.309985,0.220000
53.552230,10.028160,5.130000,,0.018740,0.328725,0.220000
53.552280,10.028110,5.040000,,0.006477,0.335202,0.000000
53.552060,10.027300,4.630000,,0.059005,0.394207,0.000000
53.552050,10.026790,5.060000,,0.033820,0.428027,0.430000
53.552100,10.026420,5.250000,,0.025146,0.453173,0.190000
53.552200,10.026080,5.530000,,0.025133,0.478306,0.280000
53.552250,10.025990,5.970000,,0.008158,0.486464,0.440000
53.552300,10.025940,5.970000,,0.006477,0.492940,0.000000
53.552740,10.025940,6.420000,,0.048971,0.541911,0.450000
53.553230,10.026060,6.690000,,0.055112,0.597023,0.270000
53.553300,10.025940,6.640000,,0.011133,0.608156,0.000000
53.553950,10.026175,7.300000,,0.074000,0.682157,0.660000
53.554600,10.026410,8.230000,,0.074000,0.756157,0.930000
53.554990,10.026570,9.770000,,0.044682,0.800839,1.540000
53.555570,10.026870,13.570000,,0.067544,0.868384,3.800000
53.556040,10.027200,15.360000,,0.056697,0.925081,1.790000
53.556110,10.027200,15.540000,,0.007791,0.932872,0.180000
53.556160,10.027180,15.540000,,0.005721,0.938592,0.000000
53.556280,10.027070,15.700000,,0.015216,0.953808,0.160000
53.556650,10.026490,15.570000,,0.056331,1.010139,0.000000
53.557333,10.026330,15.440000,,0.076788,1.086927,0.000000
53.558017,10.026170,15.360000,,0.076788,1.163715,0.000000
53.558700,10.026010,15.350000,,0.076788,1.240504,0.000000
53.559060,10.025950,15.030000,,0.040264,1.280767,0.000000
53.559350,10.025850,15.160000,,0.032949,1.313717,0.130000
53.559550,10.025700,15.570000,,0.024378,1.338095,0.410000
53.560167,10.025537,15.280000,,0.069481,1.407576,0.000000
53.560783,10.025373,14.950000,,0.069481,1.477057,0.000000
53.561400,10.025210,14.180000,,0.069481,1.546538,0.000000
53.562220,10.025020,12.670000,,0.092128,1.638666,0.000000
53.563040,10.024830,10.600000,,0.092128,1.730793,0.000000
53.563460,10.024680,9.570000,,0.047790,1.778583,0.000000
53.563590,10.024690,9.390000,,0.014484,1.793067,0.000000
53.563810,10.024610,8.970000,,0.025053,1.818119,0.000000
53.564330,10.024340,8.040000,,0.060576,1.878696,0.000000
53.564530,10.024200,7.710000,,0.024115,1.902811,0.000000
53.564760,10.024230,7.660000,,0.025675,1.928486,0.000000
53.564920,10.024290,7.750000,,0.018246,1.946732,0.090000
53.565420,10.024480,8.400000,,0.057055,2.003786,0.650000
53.565910,10.024730,8.810000,,0.056996,2.060782,0.410000
53.566640,10.025150,8.050000,,0.085880,2.146662,0.000000
53.566890,10.025370,7.790000,,0.031411,2.178073,0.000000
53.567120,10.025540,7.630000,,0.027967,2.206040,0.000000
53.567610,10.025810,7.320000,,0.057394,2.263434,0.000000
53.568210,10.026230,7.430000,,0.072344,2.335778,0.110000
53.568240,10.026080,7.430000,,0.010484,2.346262,0.000000
53.568650,10.026370,7.300000,,0.049512,2.395773,0.000000
53.569110,10.026600,7.490000,,0.053416,2.449189,0.190000
53.569830,10.026800,7.810000,,0.081222,2.530411,0.320000
53.570000,10.027280,7.970000,,0.037003,2.567414,0.160000
53.570240,10.027790,7.980000,,0.043071,2.610485,0.010000
53.570630,10.028520,8.120000,,0.064984,2.675469,0.140000
53.570990,10.029070,8.420000,,0.054157,2.729626,0.300000
53.571200,10.029460,8.540000,,0.034840,2.764466,0.120000
53.571550,10.030220,9.000000,,0.063658,2.828124,0.460000
53.571945,10.030900,9.170000,,0.062944,2.891068,0.170000
53.572340,10.031580,9.220000,,0.062944,2.954012,0.050000
53.572740,10.032230,9.340000,,0.061936,3.015948,0.120000
53.573210,10.032940,9.730000,,0.070346,3.086294,0.390000
53.573490,10.033300,10.070000,,0.039241,3.125535,0.340000
