item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,73.463,70.769,,,,,,
Peak,2,58.164,67.411,,,,,,
Valid Segment,1,,,forward,83.146,84.351,1205.033,10.618,
Valid Segment,1,,,forward,91.793,93.122,1329.338,29.249,
Valid Segment,1,,,forward,98.464,99.131,666.923,13.340,
Valid Segment,1,,,forward,104.376,106.960,2583.817,24.348,
Valid Segment,1,,,forward,123.559,126.227,2667.988,16.565,
Valid Segment,1,,,forward,134.050,136.557,2506.269,40.960,
Valid Segment,1,,,forward,144.631,146.328,1696.973,20.431,
Valid Segment,1,,,backward,61.249,62.181,932.761,10.044,
Valid Segment,1,,,backward,58.632,59.950,1318.889,12.405,
Valid Segment,1,,,backward,58.164,58.589,425.378,11.437,
Valid Segment,1,,,backward,56.199,56.682,482.856,10.811,
Valid Segment,1,,,backward,54.760,55.465,704.285,20.735,
Valid Segment,1,,,backward,49.986,50.901,914.086,21.960,
Valid Segment,1,,,backward,44.940,46.063,1123.619,11.600,
Valid Segment,1,,,backward,43.542,44.624,1082.807,11.348,
Valid Segment,1,,,backward,38.293,38.683,390.099,11.978,
Valid Segment,1,,,backward,35.442,36.537,1095.168,14.604,
Valid Segment,1,,,backward,34.344,34.787,443.164,11.826,
Valid Segment,1,,,backward,31.784,33.994,2210.595,14.103,
Valid Segment,1,,,backward,12.657,14.383,1726.639,10.464,
Valid Segment,2,,,forward,67.968,70.761,2793.321,21.089,
Valid Segment,2,,,forward,71.019,71.872,853.132,16.611,
Valid Segment,2,,,forward,91.793,93.122,1329.338,29.249,
Valid Segment,2,,,forward,98.464,99.131,666.923,13.340,
Valid Segment,2,,,forward,104.376,106.960,2583.817,24.348,
Valid Segment,2,,,forward,123.559,126.227,2667.988,16.565,
Valid Segment,2,,,forward,134.050,136.557,2506.269,40.960,
Valid Segment,2,,,forward,144.631,146.328,1696.973,20.431,
Valid Segment,2,,,backward,56.199,56.682,482.856,10.811,
Valid Segment,2,,,backward,54.760,55.465,704.285,20.735,
Valid Segment,2,,,backward,49.986,50.901,914.086,21.960,
Valid Segment,2,,,backward,44.940,46.063,1123.619,11.600,
Valid Segment,2,,,backward,43.542,44.624,1082.807,11.348,
Valid Segment,2,,,backward,38.293,38.683,390.099,11.978,
Valid Segment,2,,,backward,35.442,36.537,1095.168,14.604,
Valid Segment,2,,,backward,34.344,34.787,443.164,11.826,
Valid Segment,2,,,backward,31.784,33.994,2210.595,14.103,
Valid Segment,2,,,backward,12.657,14.383,1726.639,10.464,
