Name,Typ,Adresse,Latitude,Longitude
Betriebssportcasino,restaurant,"Wendenstraße, 120, 20537, Hamburg",53.5479824,10.0308402
jam jam,restaurant,"Eiffestraße, 78, 20537, Hamburg",53.5523106,10.0391956
Yafa,restaurant,Adresse unbekannt,53.5510508,10.035921
Rettungsbrot,bakery,"Klaus-Groth-Straße, 40, 20535, Hamburg",53.5551642,10.0307297
Stulle Plus,restaurant,Adresse unbekannt,53.5496614,10.0253789
Delhicious,restaurant,Adresse unbekannt,53.5498676,10.035543
St.Georg Bäckerei,bakery,Adresse unbekannt,53.5576458,10.0207228
Café-Shop Blueberry,cafe,Adresse unbekannt,53.5564901,10.0216254
Café Berliner Tor,cafe,Adresse unbekannt,53.5571934,10.0228843
Nur Hier,bakery,Beim Strohhause,53.5536183,10.0216129
La Malême,cafe,Adresse unbekannt,53.5531229,10.02319
Brot&Brötchen Café,bakery,Adresse unbekannt,53.5529638,10.0222781
ASIA24,supermarket,Adresse unbekannt,53.553039,10.022702
Nur Hier,bakery,Adresse unbekannt,53.5527158,10.0205484
Kaufland,supermarket,"Beim Strohhause, 8, 20097, Hamburg",53.5524952,10.0205863
Restaurant,restaurant,Adresse unbekannt,53.5568288,10.0216891
Oh It's Fresh,cafe,Adresse unbekannt,53.5572065,10.0216292
Backshop Beim Strohhause,bakery,Adresse unbekannt,53.5529193,10.0219275
Novo2,restaurant,Adresse unbekannt,53.5589612,10.0253025
AnTee Vegan,restaurant,"Ferdinand-Beit-Straße, 7, 20099, Hamburg",53.5540249,10.0192791
Schlemmerschule - Eventlocation,restaurant,"Lübeckertordamm, 4, 20099, Hamburg",53.5571252,10.0217484
EBike Doc,bicycle,Adresse unbekannt,53.5551043,10.020771
bistro fresh,cafe,Adresse unbekannt,53.5566249,10.025095
Drinking_water,drinking_water,Adresse unbekannt,53.5532589,10.0240361
Café Herzstück,cafe,"Alexanderstraße, 18, 20099",53.5557996,10.0203474
Damascino,restaurant,"Berliner Tor, 3, 20099, Hamburg",53.5569031,10.0215117
Reisprinzen,restaurant,"Bürgerweide, 36, 20535, Hamburg",53.5569859,10.0315994
Anleger 1870,restaurant,"Hartwicusstraße, 7, 22087, Hamburg",53.5657249,10.0191581
Alstercafé,bakery,"Ifflandstraße, 45, 22087, Hamburg",53.561613,10.0219757
Sushi Company,restaurant,Adresse unbekannt,53.5602734,10.025759
Pappenheimer Wirtschaft,restaurant,"Papenhuder Straße, 26, 22087, Hamburg",53.5667111,10.0195345
Speisewirtschaft Opitz,restaurant,"Mundsburger Damm, 17, 22087, Hamburg",53.5649644,10.0183395
REWE,supermarket,"Lübecker Straße, 107, 22087, Hamburg",53.5621792,10.0313413
Griffato's,restaurant,"Lübecker Straße, 85, 22087, Hamburg",53.5612577,10.0306634
Mit Herz & Zucker,cafe,"Lübecker Straße, 29, 22087, Hamburg",53.5609276,10.0300268
Bäckerei/Cafe Allaf,bakery,"Lübecker Straße, 72, 22087, Hamburg",53.5601227,10.0293458
Spanische Treppe,restaurant,"Armgartstraße, 7",53.5654751,10.0191272
Goldherz,cafe,"Hartwicusstraße, 20, 22087, Hamburg",53.5662578,10.0245181
The Ramen Hamburg II,restaurant,"Papenhuder Straße, 22, 22087, Hamburg",53.5662859,10.0197116
KinEz,cafe,"Ifflandstraße, 69, 22087, Hamburg",53.5631268,10.0214846
Morgenstund,bakery,Adresse unbekannt,53.5673898,10.0229535
Muttels,supermarket,"Papenhuder Straße, 28, 22087, Hamburg",53.5668092,10.0194643
Dat Backhus,bakery,Adresse unbekannt,53.5639592,10.0237132
Moku Poké,restaurant,Adresse unbekannt,53.5669927,10.0223397
xodó,restaurant,"Papenhuder Straße, 26, 22087, Hamburg",53.566579,10.0196034
Sushi für Hamburg,restaurant,Adresse unbekannt,53.5605236,10.030126
The Noodle House,restaurant,"Ifflandstraße, 92, 22087",53.5636066,10.0241052
Baris,restaurant,"Lerchenfeld, 48, 22081, Hamburg",53.5700016,10.0279222
Inos,restaurant,"Finkenau, 1, 22081",53.571335,10.0302686
Il Nonnino,restaurant,"Mundsburger Damm, 45, 22087, Hamburg",53.5683952,10.0236822
PENNY,supermarket,"Hamburger Straße, 1, 22083",53.5708984,10.0277337
Surimex Cafe Bistro,cafe,Adresse unbekannt,53.5680648,10.023119
Pedalross,bicycle,"Mundsburger Damm, 58, 22087, Hamburg",53.569233,10.0257336
Schanzenbäckerei,bakery,Adresse unbekannt,53.569393,10.0275187
Flickenschildt,restaurant,"Mundsburger Damm, 63, 22087, Hamburg",53.5700534,10.0261886
Café Näscherei,cafe,Adresse unbekannt,53.5670944,10.0192818
Asiatische Lebensmittel KIM,supermarket,Adresse unbekannt,53.5679805,10.0229304
Schanzenbäckerei,bakery,Adresse unbekannt,53.5706024,10.0271292
Bodega Sesenta,restaurant,"Mundsburger Damm, 60, 22087, Hamburg",53.5693816,10.0261906
Osho Ayu-Leela,restaurant,Adresse unbekannt,53.5681485,10.023257
illy,cafe,Adresse unbekannt,53.5717732,10.0287346
Double Coffee,cafe,Adresse unbekannt,53.5700929,10.0262643
Mäxx,restaurant,Adresse unbekannt,53.576047,10.0302602
Albatros Café,cafe,"Wagnerstraße, 5",53.574867,10.0367753
Dat Backhus,bakery,Adresse unbekannt,53.5744539,10.0371849
LORDS Deli,cafe,"Beim Alten Schützenhof, 16",53.5755446,10.0293471
Ahoi Velo (Neuradmontage und Abholung),bicycle,"Wagnerstraße, 16-18, 22081, Hamburg",53.5741394,10.0361116
Mantu,restaurant,Adresse unbekannt,53.5736276,10.0319374
Malik Marokkanischer Supermarkt,supermarket,Adresse unbekannt,53.5750013,10.0365182
Los Damas,restaurant,"Hamburger Straße, 17-49",53.5741365,10.0331156
Papaya,restaurant,Adresse unbekannt,53.5729933,10.0241797
ALDI,supermarket,"Holsteinischer Kamp, 65, 22081, Hamburg",53.5750045,10.0433901
REWE,supermarket,"Holsteinischer Kamp, 53, 22081, Hamburg",53.5754213,10.0421407
Falafel Factory,restaurant,"Barmbeker Markt, 40, 22081, Hamburg",53.5795062,10.0408825
Asia Supermarket,supermarket,Adresse unbekannt,53.579965,10.0418361
Goldener Drache,restaurant,Adresse unbekannt,53.5780158,10.0385387
Daube,bakery,"Dehnhaide, 6, 22081, Hamburg",53.5791686,10.0417834
Samui Thai Cuisine,restaurant,Adresse unbekannt,53.5775893,10.0327616
Tunici Restaurants Barmbek-Süd,restaurant,"Adolph-Schönfelder-Straße, 49, 22083, Hamburg",53.5779958,10.0324453
Il Ristorantino,restaurant,"Wohldorfer Straße, 30",53.576919,10.0429151
Daube,bakery,"Hamburger Straße, 206, 22083, Hamburg",53.5792648,10.040115
Konditorei Ulrich Münch,cafe,"Weidestraße, 26, 22083, Hamburg",53.5804596,10.0374208
Räderei Hamburg,bicycle,"Weidestraße, 18, 22083, Hamburg",53.5804421,10.038328
Caruso,restaurant,"Weidestraße, 49, 22083, Hamburg",53.5800277,10.0360247
re.cycle Barmbek,bicycle,"Hamburger Straße, 200, 22083, Hamburg",53.5790022,10.0399667
Asia Imbiss,restaurant,Adresse unbekannt,53.5791348,10.0418608
Đỗ Quán,restaurant,"Dehnhaide, 12, 22081, Hamburg",53.5790091,10.042433
PENNY,supermarket,Adresse unbekannt,53.5786223,10.0396626
Rüya,restaurant,Adresse unbekannt,53.5794618,10.0407747
Rewe,supermarket,"Dehnhaide, 57, 22081, Hamburg",53.57929,10.0463285
LüttLiv,restaurant,"Maurienstraße, 19, 22305, Hamburg",53.5857798,10.0449119
T.R.U.D.E.,restaurant,"Maurienstraße, 13, 22305, Hamburg",53.5850016,10.0450945
Schweinske Barmbek,restaurant,"Barmbeker Markt, 19, 22081, Hamburg",53.5822365,10.0434948
New Asia,supermarket,Adresse unbekannt,53.5840995,10.046864
Netto Marken-Discount,supermarket,"Haferkamp, 8, 22081, Hamburg",53.5815211,10.0448644
Eis Qgel,cafe,"Dehnhaide, 56, 22081, Hamburg",53.5788525,10.0456225
Käthners 23,restaurant,"Käthnerort, 23, 22083, Hamburg",53.5817462,10.0375198
Bartels Breakfastclub,cafe,"Alter Teichweg, 7a",53.5828603,10.0475036
Vi Foods,restaurant,"Alter Teichweg, 9c",53.5827917,10.0478468
Sushi Green,restaurant,Adresse unbekannt,53.5828281,10.0476945
Torhauskantine,cafe,Adresse unbekannt,53.5857756,10.0454187
PENNY,supermarket,"Drosselstraße, 1, Hamburg",53.5872582,10.050134
Nur Hier,bakery,"Fuhlsbüttler Straße, 107-109, 22305, Hamburg",53.58884,10.0453098
Burger Boss,restaurant,Adresse unbekannt,53.5889538,10.0459661
Restaurant Alexandros,restaurant,"Bramfelder Straße, 87a, 22305, Hamburg",53.5880726,10.0520853
von Allwörden,bakery,Adresse unbekannt,53.5870335,10.0440636
Dallmeyers Backhus,bakery,Adresse unbekannt,53.5834632,10.0567484
Roomyz,cafe,"Pestalozzistraße, 20, 22305",53.5872454,10.0471061
Morgenland,restaurant,"Pestalozzistraße, 19, 22305",53.5875175,10.0471943
Soulkebab,restaurant,"Fuhlsbüttler Straße, 97, 22305, Hamburg",53.5878452,10.0457672
Sira,restaurant,Adresse unbekannt,53.5876287,10.0467373
Denns BioMarkt,supermarket,"Massaquoipassage, 5, 22305, Hamburg",53.5884333,10.0446426
Ditsch,bakery,Adresse unbekannt,53.5874357,10.0446227
Leontes,cafe,"Fuhlsbüttler Straße, 116, 22305, Hamburg",53.58943,10.0457472
ALDI,supermarket,"Krüsistraße, 7, 22305, Hamburg",53.5879662,10.0448355
REWE,supermarket,"Krüsistraße, 7, 22305, Hamburg",53.5880487,10.0448509
Espresso House,cafe,"Krüsistraße, 7, 22305, Hamburg",53.5878226,10.0448923
The Public pub & bar,restaurant,"Fuhlsbüttler Straße, 32, 22305, Hamburg",53.586115,10.0469665
L‘Quán,restaurant,"Fuhlsbüttler Straße, 108, 22305, Hamburg",53.5886799,10.0461305
Naan,restaurant,Adresse unbekannt,53.588325,10.0455882
Specialized Service Center,bicycle,Adresse unbekannt,53.5893152,10.0557522
Daddy Pizza,restaurant,Adresse unbekannt,53.5904196,10.0546865
Braaker Mühle,bakery,"Habichtstraße, 96, 22305, Hamburg",53.5933366,10.0523389
Rad-Haus Habichtstraße,bicycle,"Habichtstraße, 104a, 22307, Hamburg",53.5941315,10.0507533
espresso,cafe,Adresse unbekannt,53.5934758,10.0521207
Konditorei Nehberg,bakery,"Hellbrookstraße, 83, 22305, Hamburg",53.5917822,10.0491756
friends,cafe,Adresse unbekannt,53.593376,10.0525234
Köster-Cafe,cafe,Adresse unbekannt,53.5904631,10.0570524
Minimarkt,supermarket,Adresse unbekannt,53.5902689,10.0569773
REWE,supermarket,"Fabriciusstraße, 1-5, 22177, Hamburg",53.5942143,10.0586902
Spiess Taverne,restaurant,"Bramfelder Chaussee, 48, 22177, Hamburg",53.5960387,10.0629894
von Allwörden,bakery,"Bramfelder Chaussee, 84, 22177, Hamburg",53.5981846,10.0668344
Eis-Cafe Arktis,cafe,"Werner-Otto-Straße, 42",53.5969487,10.0717068
Home Sweet Home,restaurant,"Haldesdorfer Straße, 36 b",53.5972117,10.0708648
Kiosk,cafe,Adresse unbekannt,53.6018336,10.0701184
Hansemarkt,supermarket,"Fabriciusstraße, 22177, Hamburg",53.6020995,10.0624668
Masala Express,restaurant,Adresse unbekannt,53.6017252,10.0622897
Mega Bike,bicycle,"Bramfelder Chaussee, 148, 22177, Hamburg",53.6046885,10.0708337
von Allwörden,bakery,Adresse unbekannt,53.6035081,10.0722216
Kantine Elbe,restaurant,Adresse unbekannt,53.6006853,10.0734447
Daube,bakery,"Fabriciusstraße, 105, 22177, Hamburg",53.6027238,10.0630491
Hamburg Bikes,bicycle,Adresse unbekannt,53.6117823,10.074703
Kaufcity,supermarket,"Bramfelder Chaussee, 211, 22177, Hamburg",53.6110248,10.0735878
Café Konditorei Melodie,cafe,Adresse unbekannt,53.6116429,10.0746118
Norddeutsche Zweiradschmiede,bicycle,"Bramfelder Chaussee, 220",53.6112062,10.0743918
Fresh Masala,restaurant,Adresse unbekannt,53.6091937,10.0724412
Pokeman,restaurant,Adresse unbekannt,53.6092852,10.0724466
Indian Temple,restaurant,Adresse unbekannt,53.6105104,10.0740502
Restaurant & Café Seehof,restaurant,"Fabriciusstraße, 288, 22177, Hamburg",53.6176611,10.0734614
Vistro - Café - Pizzeria - Bar,restaurant,"Bramfelder Chaussee, 265, 22177, Hamburg",53.6152153,10.0759188
Zum Bräustüberl am Dorfplatz,restaurant,Adresse unbekannt,53.613333,10.0790298
GZeiten,restaurant,"Bramfelder Chaussee, 302, 22177, Hamburg",53.6175364,10.0787288
Hanoi Quan,restaurant,Adresse unbekannt,53.6155715,10.0767958
Mas Market,supermarket,"Bramfelder Chaussee, 251, 22177, Hamburg",53.6140576,10.0756873
Schweinske,restaurant,"Bramfelder Chaussee, 280, 22177, Hamburg",53.6163833,10.0774246
La Fortuna,restaurant,"Bramfelder Chaussee, 306, 22177, Hamburg",53.6176116,10.0792592
Marco’s Bistro de Glamour,cafe,"Bramfelder Dorfplatz, 4 A, 22179, Hamburg",53.6137193,10.0770103
Cozymir,cafe,"Bramfelder Dorfplatz, 10, 22179, Hamburg",53.6131538,10.0773208
PENNY,supermarket,"Bramfelder Chaussee, 291, 22177, Hamburg",53.617276,10.0776306
Gazelle e-bike store,bicycle,Adresse unbekannt,53.6180631,10.0794263
Sandal Fisch Grill Haus,restaurant,Adresse unbekannt,53.6158237,10.0763297
Drinking_water,drinking_water,Adresse unbekannt,53.6225748,10.077818
Drinking_water,drinking_water,Adresse unbekannt,53.6169611,10.0868886
Drinking_water,drinking_water,Adresse unbekannt,53.6174766,10.0873813
Drinking_water,drinking_water,Adresse unbekannt,53.6177221,10.0869616
Bramfelder Wirtshaus,restaurant,"Bramfelder Chaussee, 361, 22175, Hamburg",53.6207098,10.0816193
EDEKA,supermarket,"Bramfelder Chaussee, 322, 22177, Hamburg",53.6187256,10.0807064
Rohlfs Bäckerei,bakery,"Bramfelder Chaussee, 324, 22177, Hamburg",53.6187838,10.0806573
Drinking_water,drinking_water,Adresse unbekannt,53.626006,10.0831994
Drinking_water,drinking_water,Adresse unbekannt,53.6232741,10.0776708
Das Frühstückszimmer,cafe,"Bramfelder Drift, 20, 22175, Hamburg",53.6302525,10.0865158
Soul Sushi Sasel,restaurant,"Saseler Chaussee, 63, 22391, Hamburg",53.6383778,10.0940186
Banoo,restaurant,"Saseler Chaussee, 88, 22391, Hamburg",53.6429929,10.0989541
China Ente Sasel,restaurant,"Saseler Chaussee, 88a, 22391, Hamburg",53.643047,10.0991137
Brotkumpels – Die Saselbäcker,bakery,"Auf der Heide, 22a, 22393, Hamburg",53.6444454,10.1060218
Aldi,supermarket,"Kunaustraße, 1, 22393, Hamburg",53.6529137,10.1106026
Taj,restaurant,"Stadtbahnstraße, 39d, 22393, Hamburg",53.6529816,10.1034019
Café Pause,cafe,Adresse unbekannt,53.6546084,10.1098024
denn's Biomarkt,supermarket,"Stratenbarg, 2, 22393, Hamburg",53.6543992,10.1126361
EDEKA Jessen,supermarket,"Saseler Damm, 14-16, 22395, Hamburg",53.6549269,10.1007116
Rohlfs Bäckerei,bakery,"Saseler Markt, 19, 22393, Hamburg",53.6531682,10.1116096
Nur Hier,bakery,Adresse unbekannt,53.6531919,10.1124188
Die Ise - Die Chocolaterie,cafe,"Waldweg, 9, 22393, Hamburg",53.6538111,10.1147591
Eisliebe,cafe,"Wohldorfer Damm, 10, 22395, Hamburg",53.6726249,10.1261323
Braaker Mühle,bakery,Adresse unbekannt,53.6703518,10.1265506
Tapiro D'Oro,restaurant,"Bergstedter Markt, 1, 22395, Hamburg",53.6710101,10.1245892
Zum Bäcker,restaurant,"Herrenhausallee, 9, 22397, Hamburg",53.7099799,10.1319684
Wohldorfer Mühle,restaurant,"Mühlenredder, 38",53.7099374,10.1301567
Bäckerei Hinze,bakery,Adresse unbekannt,53.7099628,10.1316983
Waldesruh / Wilhelm,restaurant,Adresse unbekannt,53.7483658,10.1739421
Lieblings,restaurant,"Waldweg, 6",53.7629163,10.1851178
Café Vogelsand,bakery,"Mittelweg, 5, 23863, Bargfeld-Stegen",53.7672546,10.1864054
