Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Stulle Plus,restaurant,Adresse unbekannt,53.549661,10.025379,,292
Novo2,restaurant,Adresse unbekannt,53.558961,10.025303,,71
bistro fresh,cafe,Adresse unbekannt,53.556625,10.025095,,151
Drinking_water,drinking_water,Adresse unbekannt,53.553259,10.024036,,211
Sushi Company,restaurant,Adresse unbekannt,53.560273,10.025759,,26
Goldherz,cafe,"Hartwicusstraße, 20, 22087, Hamburg",53.566258,10.024518,,39
Morgenstund,bakery,Adresse unbekannt,53.567390,10.022953,,252
Dat Backhus,bakery,Adresse unbekannt,53.563959,10.023713,,80
Moku Poké,restaurant,Adresse unbekannt,53.566993,10.022340,,290
The Noodle House,restaurant,"Ifflandstraße, 92, 22087",53.563607,10.024105,,60
Baris,restaurant,"Lerchenfeld, 48, 22081, Hamburg",53.570002,10.027922,,30
Inos,restaurant,"Finkenau, 1, 22081",53.571335,10.030269,,23
Il Nonnino,restaurant,"Mundsburger Damm, 45, 22087, Hamburg",53.568395,10.023682,,248
PENNY,supermarket,"Hamburger Straße, 1, 22083",53.570898,10.027734,,67
Surimex Cafe Bistro,cafe,Adresse unbekannt,53.568065,10.023119,,275
Pedalross,bicycle,"Mundsburger Damm, 58, 22087, Hamburg",53.569233,10.025734,,92
Schanzenbäckerei,bakery,Adresse unbekannt,53.569393,10.027519,,72
Flickenschildt,restaurant,"Mundsburger Damm, 63, 22087, Hamburg",53.570053,10.026189,,72
Asiatische Lebensmittel KIM,supermarket,Adresse unbekannt,53.567980,10.022930,,287
Schanzenbäckerei,bakery,Adresse unbekannt,53.570602,10.027129,,67
Bodega Sesenta,restaurant,"Mundsburger Damm, 60, 22087, Hamburg",53.569382,10.026191,,51
Osho Ayu-Leela,restaurant,Adresse unbekannt,53.568148,10.023257,,268
illy,cafe,Adresse unbekannt,53.571773,10.028735,,94
Double Coffee,cafe,Adresse unbekannt,53.570093,10.026264,,66
Albatros Café,cafe,"Wagnerstraße, 5",53.574867,10.036775,,83
Dat Backhus,bakery,Adresse unbekannt,53.574454,10.037185,,146
Ahoi Velo (Neuradmontage und Abholung),bicycle,"Wagnerstraße, 16-18, 22081, Hamburg",53.574139,10.036112,,109
Mantu,restaurant,Adresse unbekannt,53.573628,10.031937,,100
Malik Marokkanischer Supermarkt,supermarket,Adresse unbekannt,53.575001,10.036518,,55
Los Damas,restaurant,"Hamburger Straße, 17-49",53.574137,10.033116,,71
Falafel Factory,restaurant,"Barmbeker Markt, 40, 22081, Hamburg",53.579506,10.040883,,27
Asia Supermarket,supermarket,Adresse unbekannt,53.579965,10.041836,,20
Goldener Drache,restaurant,Adresse unbekannt,53.578016,10.038539,,42
Daube,bakery,"Dehnhaide, 6, 22081, Hamburg",53.579169,10.041783,,87
Daube,bakery,"Hamburger Straße, 206, 22083, Hamburg",53.579265,10.040115,,23
Konditorei Ulrich Münch,cafe,"Weidestraße, 26, 22083, Hamburg",53.580460,10.037421,,297
Räderei Hamburg,bicycle,"Weidestraße, 18, 22083, Hamburg",53.580442,10.038328,,213
re.cycle Barmbek,bicycle,"Hamburger Straße, 200, 22083, Hamburg",53.579002,10.039967,,26
Asia Imbiss,restaurant,Adresse unbekannt,53.579135,10.041861,,95
Đỗ Quán,restaurant,"Dehnhaide, 12, 22081, Hamburg",53.579009,10.042433,,144
PENNY,supermarket,Adresse unbekannt,53.578622,10.039663,,22
Rüya,restaurant,Adresse unbekannt,53.579462,10.040775,,31
T.R.U.D.E.,restaurant,"Maurienstraße, 13, 22305, Hamburg",53.585002,10.045094,,277
Schweinske Barmbek,restaurant,"Barmbeker Markt, 19, 22081, Hamburg",53.582237,10.043495,,58
New Asia,supermarket,Adresse unbekannt,53.584100,10.046864,,59
Netto Marken-Discount,supermarket,"Haferkamp, 8, 22081, Hamburg",53.581521,10.044864,,80
Bartels Breakfastclub,cafe,"Alter Teichweg, 7a",53.582860,10.047504,,79
Vi Foods,restaurant,"Alter Teichweg, 9c",53.582792,10.047847,,114
Sushi Green,restaurant,Adresse unbekannt,53.582828,10.047695,,98
PENNY,supermarket,"Drosselstraße, 1, Hamburg",53.587258,10.050134,,141
Restaurant Alexandros,restaurant,"Bramfelder Straße, 87a, 22305, Hamburg",53.588073,10.052085,,44
The Public pub & bar,restaurant,"Fuhlsbüttler Straße, 32, 22305, Hamburg",53.586115,10.046966,,214
Specialized Service Center,bicycle,Adresse unbekannt,53.589315,10.055752,,190
Daddy Pizza,restaurant,Adresse unbekannt,53.590420,10.054687,,23
Köster-Cafe,cafe,Adresse unbekannt,53.590463,10.057052,,153
Minimarkt,supermarket,Adresse unbekannt,53.590269,10.056977,,166
REWE,supermarket,"Fabriciusstraße, 1-5, 22177, Hamburg",53.594214,10.058690,,84
Spiess Taverne,restaurant,"Bramfelder Chaussee, 48, 22177, Hamburg",53.596039,10.062989,,37
von Allwörden,bakery,"Bramfelder Chaussee, 84, 22177, Hamburg",53.598185,10.066834,,86
Kiosk,cafe,Adresse unbekannt,53.601834,10.070118,,89
Mega Bike,bicycle,"Bramfelder Chaussee, 148, 22177, Hamburg",53.604689,10.070834,,31
von Allwörden,bakery,Adresse unbekannt,53.603508,10.072222,,225
Hamburg Bikes,bicycle,Adresse unbekannt,53.611782,10.074703,,27
Kaufcity,supermarket,"Bramfelder Chaussee, 211, 22177, Hamburg",53.611025,10.073588,,33
Café Konditorei Melodie,cafe,Adresse unbekannt,53.611643,10.074612,,29
Norddeutsche Zweiradschmiede,bicycle,"Bramfelder Chaussee, 220",53.611206,10.074392,,38
Fresh Masala,restaurant,Adresse unbekannt,53.609194,10.072441,,52
Pokeman,restaurant,Adresse unbekannt,53.609285,10.072447,,58
Indian Temple,restaurant,Adresse unbekannt,53.610510,10.074050,,34
Vistro - Café - Pizzeria - Bar,restaurant,"Bramfelder Chaussee, 265, 22177, Hamburg",53.615215,10.075919,,45
GZeiten,restaurant,"Bramfelder Chaussee, 302, 22177, Hamburg",53.617536,10.078729,,27
Hanoi Quan,restaurant,Adresse unbekannt,53.615572,10.076796,,31
Mas Market,supermarket,"Bramfelder Chaussee, 251, 22177, Hamburg",53.614058,10.075687,,28
Schweinske,restaurant,"Bramfelder Chaussee, 280, 22177, Hamburg",53.616383,10.077425,,32
La Fortuna,restaurant,"Bramfelder Chaussee, 306, 22177, Hamburg",53.617612,10.079259,,52
Marco’s Bistro de Glamour,cafe,"Bramfelder Dorfplatz, 4 A, 22179, Hamburg",53.613719,10.077010,,115
Cozymir,cafe,"Bramfelder Dorfplatz, 10, 22179, Hamburg",53.613154,10.077321,,178
PENNY,supermarket,"Bramfelder Chaussee, 291, 22177, Hamburg",53.617276,10.077631,,25
Gazelle e-bike store,bicycle,Adresse unbekannt,53.618063,10.079426,,22
Sandal Fisch Grill Haus,restaurant,Adresse unbekannt,53.615824,10.076330,,27
Bramfelder Wirtshaus,restaurant,"Bramfelder Chaussee, 361, 22175, Hamburg",53.620710,10.081619,,35
EDEKA,supermarket,"Bramfelder Chaussee, 322, 22177, Hamburg",53.618726,10.080706,,39
Rohlfs Bäckerei,bakery,"Bramfelder Chaussee, 324, 22177, Hamburg",53.618784,10.080657,,31
Drinking_water,drinking_water,Adresse unbekannt,53.626006,10.083199,,219
Das Frühstückszimmer,cafe,"Bramfelder Drift, 20, 22175, Hamburg",53.630252,10.086516,,97
Soul Sushi Sasel,restaurant,"Saseler Chaussee, 63, 22391, Hamburg",53.638378,10.094019,,22
Banoo,restaurant,"Saseler Chaussee, 88, 22391, Hamburg",53.642993,10.098954,,24
China Ente Sasel,restaurant,"Saseler Chaussee, 88a, 22391, Hamburg",53.643047,10.099114,,32
Taj,restaurant,"Stadtbahnstraße, 39d, 22393, Hamburg",53.652982,10.103402,,291
Café Pause,cafe,Adresse unbekannt,53.654608,10.109802,,180
Eisliebe,cafe,"Wohldorfer Damm, 10, 22395, Hamburg",53.672625,10.126132,,34
Braaker Mühle,bakery,Adresse unbekannt,53.670352,10.126551,,191
Tapiro D'Oro,restaurant,"Bergstedter Markt, 1, 22395, Hamburg",53.671010,10.124589,,41
Zum Bäcker,restaurant,"Herrenhausallee, 9, 22397, Hamburg",53.709980,10.131968,,188
Wohldorfer Mühle,restaurant,"Mühlenredder, 38",53.709937,10.130157,,25
Bäckerei Hinze,bakery,Adresse unbekannt,53.709963,10.131698,,177
Waldesruh / Wilhelm,restaurant,Adresse unbekannt,53.748366,10.173942,,20
Lieblings,restaurant,"Waldweg, 6",53.762916,10.185118,,262
Café Vogelsand,bakery,"Mittelweg, 5, 23863, Bargfeld-Stegen",53.767255,10.186405,,12
Frischemarkt Märkl,supermarket,"Kayhuder Straße, 2, 23863, Bargfeld-Stegen",53.766629,10.186654,,46
Landbäckerei Matthiessen,bakery,"Am Markt, 2, 23867, Sülfeld",53.800177,10.231930,,9
Eiscafe Jella,cafe,Adresse unbekannt,53.799824,10.230505,,98
Kühl´s Restaurant,restaurant,Adresse unbekannt,53.803223,10.274518,,16
Drinking_water,drinking_water,Adresse unbekannt,53.836940,10.298594,,151
Zum Keglertreff,restaurant,Adresse unbekannt,53.920954,10.321540,,26
Park-Cafe,cafe,"Rosenstraße, 33-35, 23795, Bad Segeberg",53.925849,10.318640,,113
Florian Ritzki,restaurant,"Lübecker Landstraße, 18, 23795, Bad Segeberg",53.931538,10.325421,,256
Bäckerei Schmidt,bakery,Adresse unbekannt,54.015660,10.572470,,77
Von Allwörden,bakery,Adresse unbekannt,54.047958,10.746450,,238
Café-Häuschen,cafe,"Strandallee, 17, 23683, Scharbeutz",54.050283,10.751403,,278
Janny's Eis,cafe,Adresse unbekannt,54.051716,10.752177,,114
Seßelberg,bakery,"Strandallee, 5, 23683, Scharbeutz",54.051617,10.752133,,126
Strand Café,cafe,"Strandallee, 6, 23683, Scharbeutz",54.051446,10.752044,,145
Corfu,restaurant,Adresse unbekannt,54.051838,10.752252,,100
Vista Mare,restaurant,"23683, Scharbeutz",54.051157,10.751822,,178
Kafferösterei,cafe,Adresse unbekannt,54.051350,10.751938,,156
Ocean's,restaurant,Adresse unbekannt,54.052115,10.752822,,51
Brede,bakery,"Bahnhofstraße, 15, 23683, Scharbeutz",54.052745,10.748126,,144
