Ort,Vorkommen,Strecke im Ort (km)
Hamburg,101,
Scharbeutz,46,
Oldenburg in Holstein,30,
Lensahn,28,
Bargfeld-Stegen,28,
Großenbrode,27,
Grabau,26,
Neustadt in Holstein,26,
Travenbrück,25,
Lütjenbrode,21,
Sierksdorf,19,
Sülfeld,19,
Beschendorf,19,
Bad Segeberg,18,
Groß Schlamin,15,
Giddendorf,13,
Fehmarn,12,
Nienwohld,12,
Bebensee,12,
Wiemerskamp,11,
Schwissel,11,
Stipsdorf,10,
Merkendorf,10,
Meeschendorf,9,
Ölendorf,9,
Klein Gladebrügge,8,
Quaal,8,
Wensin,7,
Gremersdorf,7,
Roge,6,
Neversdorf,6,
Logeberg,6,
Neukirchen,5,
Wardersee,4,
Holstendorf,4,
Gnissau,4,
Ahrensbök,3,
Barghorst,3,
Traventhal,3,
Haffkrug,2,
Heuerstubben,1,
