Ort,Vorkommen,Strecke im Ort (km)
Hamburg,101,
Wiemerskamp,11,
Bargfeld-Stegen,28,
Nienwohld,12,
Sülfeld,19,
Grabau,26,
Travenbrück,25,
Neversdorf,6,
Bebensee,12,
Schwissel,11,
Traventhal,3,
Klein Gladebrügge,8,
Bad Segeberg,18,
Stipsdorf,10,
Quaal,8,
Wardersee,4,
Wensin,7,
Gnissau,4,
Ahrensbök,3,
Heuerstubben,1,
Barghorst,3,
Holstendorf,4,
Scharbeutz,46,
Haffkrug,2,
Sierksdorf,19,
Roge,6,
Neustadt in Holstein,26,
Merkendorf,10,
Logeberg,6,
Groß Schlamin,15,
Beschendorf,19,
Lensahn,28,
Oldenburg in Holstein,30,
Giddendorf,13,
Gremersdorf,7,
Meeschendorf,9,
Neukirchen,5,
Ölendorf,9,
Lütjenbrode,21,
Großenbrode,27,
Fehmarn,12,
