Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Wiemerskamp,11,,53.736,10.154,459,24.192,27.130,52.637
Bargfeld-Stegen,28,,53.767,10.200,578,30.257,39.970,639.266
Sülfeld,19,,53.800,10.231,648,34.222,31.950,48.614
Neversdorf,6,,53.863,10.286,873,45.498,33.480,614.582
Bebensee,12,,53.877,10.302,906,47.229,33.670,254.130
Schwissel,11,,53.896,10.294,937,49.527,34.750,52.172
Traventhal,3,,53.900,10.317,978,51.679,22.280,474.640
Klein Gladebrügge,8,,53.916,10.320,1008,53.238,37.170,32.719
Stipsdorf,10,,53.942,10.335,1073,56.402,52.400,583.197
Quaal,8,,53.962,10.374,1140,60.703,35.890,46.995
Wensin,7,,53.994,10.419,1207,65.415,29.360,863.974
Gnissau,4,,53.999,10.482,1269,69.703,40.600,170.662
Ahrensbök,3,,54.013,10.575,1367,76.371,61.210,458.305
Sierksdorf,19,,54.067,10.769,1647,92.525,25.290,23.290
Neustadt in Holstein,26,,54.103,10.819,1789,98.933,15.320,311.667
Logeberg,6,,54.136,10.849,1901,103.396,15.270,52.406
Groß Schlamin,15,,54.166,10.865,1966,107.054,26.060,330.367
Beschendorf,19,,54.183,10.875,2003,109.532,27.530,242.936
Lensahn,28,,54.221,10.886,2073,113.614,12.580,223.411
Oldenburg in Holstein,30,,54.292,10.881,2226,121.894,6.970,301.746
Giddendorf,13,,54.310,10.928,2315,126.356,18.270,190.347
Lütjenbrode,21,,54.361,11.035,2510,138.074,11.980,32.335
Großenbrode,27,,54.362,11.084,2563,141.331,0.670,627.867
