item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,77.308,72.562,,,,,,
Peak,2,62.097,63.131,,,,,,
Valid Segment,1,,,forward,96.057,97.893,1836.201,30.561,
Valid Segment,1,,,forward,103.121,103.918,797.153,11.723,
Valid Segment,1,,,forward,109.214,114.099,4885.204,22.039,
Valid Segment,1,,,forward,122.249,123.374,1125.152,10.530,
Valid Segment,1,,,forward,126.610,131.174,4563.887,17.676,
Valid Segment,1,,,forward,138.834,141.664,2829.239,38.395,
Valid Segment,1,,,backward,62.097,64.617,2520.439,24.439,
Valid Segment,1,,,backward,58.674,59.492,818.173,15.186,
Valid Segment,1,,,backward,53.777,54.935,1158.086,17.370,
Valid Segment,1,,,backward,46.726,49.976,3250.457,17.324,
Valid Segment,1,,,backward,41.944,42.748,803.777,10.167,
Valid Segment,1,,,backward,35.406,38.832,3425.646,14.505,
Valid Segment,1,,,backward,18.654,20.724,2069.799,11.175,
Valid Segment,1,,,backward,7.996,10.295,2298.388,17.484,
Valid Segment,2,,,forward,70.680,77.308,6627.704,44.149,
Valid Segment,2,,,forward,103.121,103.918,797.153,11.723,
Valid Segment,2,,,forward,109.214,114.099,4885.204,22.039,
Valid Segment,2,,,forward,122.249,123.374,1125.152,10.530,
Valid Segment,2,,,forward,126.610,131.174,4563.887,17.676,
Valid Segment,2,,,forward,138.834,141.664,2829.239,38.395,
Valid Segment,2,,,backward,58.674,59.492,818.173,15.186,
Valid Segment,2,,,backward,53.777,54.935,1158.086,17.370,
Valid Segment,2,,,backward,46.726,49.976,3250.457,17.324,
Valid Segment,2,,,backward,41.944,42.748,803.777,10.167,
Valid Segment,2,,,backward,35.406,38.832,3425.646,14.505,
Valid Segment,2,,,backward,18.654,20.724,2069.799,11.175,
Valid Segment,2,,,backward,7.996,10.295,2298.388,17.484,
