Latitude,Longitude,Street,City,PostalCode
53.551383,10.032179,Wikingerweg,Hamburg,20537
53.55224,10.031533,Wikingerweg,Hamburg,20537
53.552192,10.030071,Wikingerweg,Hamburg,20537
53.552366,10.028476,Wikingerweg,Hamburg,20537
53.552052,10.026799,Wikingerweg,Hamburg,20537
53.552302,10.025949,Wikingerweg,Hamburg,20537
53.552749,10.025944,Wikingerweg,Hamburg,20537
53.552779,10.025788,Wikingerweg,Hamburg,20537
53.553218,10.025914,Wikingerweg,Hamburg,20537
53.554995,10.026571,Bürgerweide,Hamburg,20535
53.556048,10.027201,Bürgerweide,Hamburg,20535
53.556716,10.026406,Bürgerweide,Hamburg,20535
53.562518,10.025114,Mühlendamm,Hamburg,22087
53.56255,10.024947,Mühlendamm,Hamburg,22087
53.563817,10.024611,Mühlendamm,Hamburg,22087
53.564534,10.024203,Mühlendamm,Hamburg,22087
53.564766,10.024234,Mühlendamm,Hamburg,22087
53.56822,10.026239,Schürbeker Straße,Hamburg,22087
53.568852,10.027251,Schürbeker Straße,Hamburg,22087
53.569283,10.028374,Schürbeker Straße,Hamburg,22087
53.569724,10.027839,Schürbeker Straße,Hamburg,22087
53.57002,10.027699,Schürbeker Straße,Hamburg,22087
53.570246,10.027798,Schürbeker Straße,Hamburg,22087
53.57356,10.033614,Richardstraße,Hamburg,22081
53.573701,10.033624,Richardstraße,Hamburg,22081
53.574385,10.034632,Richardstraße,Hamburg,22081
53.574838,10.035642,Richardstraße,Hamburg,22081
53.576711,10.038063,Richardstraße,Hamburg,22081
53.579505,10.040022,Hamburger Straße,Hamburg,22083
53.579676,10.040631,Hamburger Straße,Hamburg,22083
53.579535,10.041181,Hamburger Straße,Hamburg,22083
53.579748,10.041491,Hamburger Straße,Hamburg,22083
53.580421,10.040514,Hamburger Straße,Hamburg,22083
53.58075,10.040419,Hamburger Straße,Hamburg,22083
53.582962,10.041576,Hamburger Straße,Hamburg,22083
53.584393,10.041786,Hufnerstraße,Hamburg,22083
53.585275,10.042339,Hufnerstraße,Hamburg,22083
53.585304,10.042506,Hufnerstraße,Hamburg,22083
53.586409,10.041509,Hufnerstraße,Hamburg,22083
53.587374,10.041457,Hufnerstraße,Hamburg,22083
53.588531,10.042056,Hufnerstraße,Hamburg,22083
53.591389,10.043967,Hellbrookstraße,Hamburg,22305
53.591389,10.044451,Hellbrookstraße,Hamburg,22305
53.592019,10.044233,Hellbrookstraße,Hamburg,22305
53.593911,10.044193,Hellbrookstraße,Hamburg,22305
53.596399,10.043322,Fuhlsbüttler Straße,Hamburg,22307
53.599425,10.041291,Fuhlsbüttler Straße,Hamburg,22307
53.603434,10.040535,Fuhlsbüttler Straße,Hamburg,22309
53.605163,10.039902,Fuhlsbüttler Straße,Hamburg,22309
53.607276,10.038883,Fuhlsbüttler Straße,Hamburg,22309
53.607588,10.03878,Fuhlsbüttler Straße,Hamburg,22309
53.607619,10.03897,Fuhlsbüttler Straße,Hamburg,22309
53.608145,10.038912,Nordheimstraße,Hamburg,22309
53.608109,10.038069,Nordheimstraße,Hamburg,22309
53.608421,10.037985,Nordheimstraße,Hamburg,22309
53.60847,10.038297,Nordheimstraße,Hamburg,22309
53.608955,10.038329,Nordheimstraße,Hamburg,22309
53.608987,10.038517,Nordheimstraße,Hamburg,22309
53.610503,10.037309,Nordheimstraße,Hamburg,22309
53.612567,10.036617,Fuhlsbüttler Straße,Hamburg,22337
53.615045,10.035299,Fuhlsbüttler Straße,Hamburg,22337
53.62004,10.033759,Fuhlsbüttler Straße,Hamburg,22337
53.620258,10.033834,Fuhlsbüttler Straße,Hamburg,22337
53.622569,10.032951,Fuhlsbüttler Straße,Hamburg,22337
53.62327,10.032924,Fuhlsbüttler Straße,Hamburg,22337
53.623577,10.032581,Fuhlsbüttler Straße,Hamburg,22337
53.625141,10.032251,Fuhlsbüttler Straße,Hamburg,22337
53.625811,10.03171,Fuhlsbüttler Straße,Hamburg,22337
53.626041,10.031712,Fuhlsbüttler Straße,Hamburg,22337
53.6288,10.035391,Fuhlsbüttler Straße,Hamburg,22337
53.629335,10.03532,Wellingsbütteler Landstraße,Hamburg,22337
53.630054,10.034911,Wellingsbütteler Landstraße,Hamburg,22337
53.630535,10.035027,Wellingsbütteler Landstraße,Hamburg,22337
53.631515,10.033297,Wellingsbütteler Landstraße,Hamburg,22337
53.632038,10.033183,Wellingsbütteler Landstraße,Hamburg,22337
53.632281,10.033554,Wellingsbütteler Landstraße,Hamburg,22337
53.632666,10.035263,Wellingsbütteler Landstraße,Hamburg,22337
53.632312,10.037648,Wellingsbütteler Landstraße,Hamburg,22337
53.63177,10.03978,Wellingsbütteler Landstraße,Hamburg,22337
53.631996,10.041481,Alsterwanderweg,Hamburg,22337
53.633071,10.043342,Alsterwanderweg,Hamburg,22337
53.634285,10.046136,Alsterwanderweg,Hamburg,22337
53.634608,10.046462,Alsterwanderweg,Hamburg,22337
53.635743,10.050063,Alsterwanderweg,Hamburg,22339
53.635764,10.050714,Alsterwanderweg,Hamburg,22339
53.636093,10.051787,Alsterwanderweg,Hamburg,22339
53.636943,10.053735,Alsterwanderweg,Hamburg,22339
53.637866,10.055135,Alsterwanderweg,Hamburg,22339
53.638166,10.055877,Alsterwanderweg,Hamburg,22339
53.638296,10.056372,Alsterwanderweg,Hamburg,22339
53.63798,10.056597,Alsterwanderweg,Hamburg,22339
53.637397,10.058844,Alsterwanderweg,Hamburg,22339
53.638137,10.059402,Alsterwanderweg,Hamburg,22339
53.638358,10.060523,Alsterwanderweg,Hamburg,22339
53.638857,10.061352,Alsterwanderweg,Hamburg,22339
53.639707,10.060837,Alsterwanderweg,Hamburg,22339
53.640624,10.06135,Alsterwanderweg,Hamburg,22339
53.640891,10.06175,Alsterwanderweg,Hamburg,22339
53.640977,10.062411,Alsterwanderweg,Hamburg,22339
53.640554,10.063498,Alsterwanderweg,Hamburg,22391
53.640461,10.064302,Alsterwanderweg,Hamburg,22391
53.64076,10.065754,Alsterwanderweg,Hamburg,22391
53.640993,10.066221,Alsterwanderweg,Hamburg,22391
53.641458,10.066588,Alsterwanderweg,Hamburg,22391
53.641618,10.06746,Alsterwanderweg,Hamburg,22391
53.642361,10.069026,Alsterwanderweg,Hamburg,22391
53.644313,10.072576,Alsterwanderweg,Hamburg,22391
53.644245,10.073212,Alsterwanderweg,Hamburg,22391
53.644522,10.074418,Alsterwanderweg,Hamburg,22391
53.644559,10.075439,Alsterwanderweg,Hamburg,22391
53.644293,10.076412,Alsterwanderweg,Hamburg,22391
53.644614,10.078735,Alsterwanderweg,Hamburg,22391
53.644781,10.079823,Alsterwanderweg,Hamburg,22391
53.645668,10.082215,Alsterwanderweg,Hamburg,22391
53.646058,10.082462,Alsterwanderweg,Hamburg,22391
53.647469,10.084023,Alsterwanderweg,Hamburg,22391
53.647856,10.084254,Alsterwanderweg,Hamburg,22391
53.648613,10.084158,Alsterwanderweg,Hamburg,22391
53.648084,10.083197,Alsterwanderweg,Hamburg,22391
53.648005,10.082644,Alsterwanderweg,Hamburg,22391
53.648136,10.082261,Alsterwanderweg,Hamburg,22391
53.649875,10.080863,Alsterwanderweg,Hamburg,22391
53.652411,10.079774,Alsterwanderweg,Hamburg,22391
53.652832,10.079764,Alsterwanderweg,Hamburg,22391
53.654235,10.083142,Alsterwanderweg,Hamburg,22391
53.654294,10.083739,Alsterwanderweg,Hamburg,22391
53.653918,10.08462,Alsterwanderweg,Hamburg,22391
53.653902,10.085362,Alsterwanderweg,Hamburg,22391
53.654132,10.086073,Alsterwanderweg,Hamburg,22391
53.654806,10.087076,Alsterwanderweg,Hamburg,22391
53.655425,10.087467,Alsterwanderweg,Hamburg,22391
53.656265,10.087395,Alsterwanderweg,Hamburg,22391
53.657025,10.088391,Alsterwanderweg,Hamburg,22391
53.657446,10.088365,Alsterwanderweg,Hamburg,22391
53.657777,10.08959,Alsterwanderweg,Hamburg,22391
53.658555,10.090117,Alsterwanderweg,Hamburg,22391
53.658763,10.090896,Alsterwanderweg,Hamburg,22395
53.659626,10.091206,Alsterwanderweg,Hamburg,22395
53.660343,10.090246,Alsterwanderweg,Hamburg,22395
53.661306,10.092021,Alsterwanderweg,Hamburg,22395
53.662196,10.091893,Alsterwanderweg,Hamburg,22395
53.663309,10.091441,Alsterwanderweg,Hamburg,22399
53.663744,10.091762,Alsterwanderweg,Hamburg,22399
53.664028,10.092194,Alsterwanderweg,Hamburg,22399
53.664341,10.094065,Alsterwanderweg,Hamburg,22399
53.665053,10.095488,Alsterwanderweg,Hamburg,22399
53.66564,10.095985,Alsterwanderweg,Hamburg,22399
53.66675,10.096511,Saselbergweg,Hamburg,22395
53.667388,10.097246,Saselbergweg,Hamburg,22395
53.667596,10.09706,Saselbergweg,Hamburg,22395
53.668008,10.097588,Saselbergweg,Hamburg,22395
53.668463,10.097585,Saselbergweg,Hamburg,22395
53.668478,10.098229,Saselbergweg,Hamburg,22395
53.668176,10.099126,Saselbergweg,Hamburg,22395
53.668562,10.105662,Mellingburgredder,Hamburg,22395
53.669703,10.108159,Mellingburgredder,Hamburg,22395
53.670147,10.108627,Mellingburgredder,Hamburg,22395
53.670803,10.110089,Mellingburgredder,Hamburg,22395
53.673149,10.111353,Twietenkoppel,Hamburg,22395
53.674655,10.10772,Twietenkoppel,Hamburg,22395
53.676813,10.112055,Twietenkoppel,Hamburg,22395
53.677101,10.111675,Twietenkoppel,Hamburg,22395
53.677509,10.111897,Twietenkoppel,Hamburg,22395
53.678928,10.111685,Hohenbergstedt,Hamburg,22395
53.679165,10.112048,Hohenbergstedt,Hamburg,22395
53.679513,10.113884,Hohenbergstedt,Hamburg,22395
53.680625,10.115507,Hohenbergstedt,Hamburg,22395
53.681649,10.115578,Hohenbergstedt,Hamburg,22395
53.682212,10.11532,Hohenbergstedt,Hamburg,22395
53.683669,10.117498,Rodenbeker Straße,Hamburg,22395
53.685307,10.117475,Rodenbeker Straße,Hamburg,22395
53.685547,10.118025,Rodenbeker Straße,Hamburg,22395
53.687106,10.11935,Rodenbeker Straße,Hamburg,22395
53.687265,10.120189,Rodenbeker Straße,Hamburg,22395
53.687874,10.120695,Krampstieg,Hamburg,22395
53.688793,10.121047,Krampstieg,Hamburg,22395
