Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Stulle Plus,restaurant,Adresse unbekannt,53.549661,10.025379,,292
La Malême,cafe,Adresse unbekannt,53.553123,10.023190,,290
Novo2,restaurant,Adresse unbekannt,53.558961,10.025303,,71
bistro fresh,cafe,Adresse unbekannt,53.556625,10.025095,,145
Drinking_water,drinking_water,Adresse unbekannt,53.553259,10.024036,,201
Sushi Company,restaurant,Adresse unbekannt,53.560273,10.025759,,8
Goldherz,cafe,"Hartwicusstraße, 20, 22087, Hamburg",53.566258,10.024518,,53
Dat Backhus,bakery,Adresse unbekannt,53.563959,10.023713,,81
The Noodle House,restaurant,"Ifflandstraße, 92, 22087",53.563607,10.024105,,60
Baris,restaurant,"Lerchenfeld, 48, 22081, Hamburg",53.570002,10.027922,,22
Inos,restaurant,"Finkenau, 1, 22081",53.571335,10.030269,,24
Il Nonnino,restaurant,"Mundsburger Damm, 45, 22087, Hamburg",53.568395,10.023682,,249
PENNY,supermarket,"Hamburger Straße, 1, 22083",53.570898,10.027734,,67
Surimex Cafe Bistro,cafe,Adresse unbekannt,53.568065,10.023119,,282
Pedalross,bicycle,"Mundsburger Damm, 58, 22087, Hamburg",53.569233,10.025734,,123
Schanzenbäckerei,bakery,Adresse unbekannt,53.569393,10.027519,,41
Flickenschildt,restaurant,"Mundsburger Damm, 63, 22087, Hamburg",53.570053,10.026189,,167
Asiatische Lebensmittel KIM,supermarket,Adresse unbekannt,53.567980,10.022930,,296
Schanzenbäckerei,bakery,Adresse unbekannt,53.570602,10.027129,,83
Bodega Sesenta,restaurant,"Mundsburger Damm, 60, 22087, Hamburg",53.569382,10.026191,,110
Morgenstund,bakery,Adresse unbekannt,53.567390,10.022953,,266
Osho Ayu-Leela,restaurant,Adresse unbekannt,53.568148,10.023257,,273
illy,cafe,Adresse unbekannt,53.571773,10.028735,,94
Double Coffee,cafe,Adresse unbekannt,53.570093,10.026264,,159
Albatros Café,cafe,"Wagnerstraße, 5",53.574867,10.036775,,74
Dat Backhus,bakery,Adresse unbekannt,53.574454,10.037185,,138
Ahoi Velo (Neuradmontage und Abholung),bicycle,"Wagnerstraße, 16-18, 22081, Hamburg",53.574139,10.036112,,93
Mantu,restaurant,Adresse unbekannt,53.573628,10.031937,,99
Malik Marokkanischer Supermarkt,supermarket,Adresse unbekannt,53.575001,10.036518,,43
Los Damas,restaurant,"Hamburger Straße, 17-49",53.574137,10.033116,,74
Schweinske Barmbek,restaurant,"Barmbeker Markt, 19, 22081, Hamburg",53.582237,10.043495,,227
Falafel Factory,restaurant,"Barmbeker Markt, 40, 22081, Hamburg",53.579506,10.040883,,15
Asia Supermarket,supermarket,Adresse unbekannt,53.579965,10.041836,,45
Goldener Drache,restaurant,Adresse unbekannt,53.578016,10.038539,,43
Daube,bakery,"Dehnhaide, 6, 22081, Hamburg",53.579169,10.041783,,70
Daube,bakery,"Hamburger Straße, 206, 22083, Hamburg",53.579265,10.040115,,24
Konditorei Ulrich Münch,cafe,"Weidestraße, 26, 22083, Hamburg",53.580460,10.037421,,297
Räderei Hamburg,bicycle,"Weidestraße, 18, 22083, Hamburg",53.580442,10.038328,,213
re.cycle Barmbek,bicycle,"Hamburger Straße, 200, 22083, Hamburg",53.579002,10.039967,,27
Asia Imbiss,restaurant,Adresse unbekannt,53.579135,10.041861,,78
Đỗ Quán,restaurant,"Dehnhaide, 12, 22081, Hamburg",53.579009,10.042433,,132
PENNY,supermarket,Adresse unbekannt,53.578622,10.039663,,22
Rüya,restaurant,Adresse unbekannt,53.579462,10.040775,,22
LüttLiv,restaurant,"Maurienstraße, 19, 22305, Hamburg",53.585780,10.044912,,269
T.R.U.D.E.,restaurant,"Maurienstraße, 13, 22305, Hamburg",53.585002,10.045094,,289
von Allwörden,bakery,Adresse unbekannt,53.587033,10.044064,,251
Oktober,restaurant,"Wiesendamm, 10, 22305, Hamburg",53.587441,10.041079,,42
Denns BioMarkt,supermarket,"Massaquoipassage, 5, 22305, Hamburg",53.588433,10.044643,,240
Kentauros,restaurant,"Wiesendamm, 41, 22305, Hamburg",53.587084,10.038743,,295
ALDI,supermarket,"Krüsistraße, 7, 22305, Hamburg",53.587966,10.044835,,287
REWE,supermarket,"Krüsistraße, 7, 22305, Hamburg",53.588049,10.044851,,283
EDEKA,supermarket,"Fuhlsbüttler Straße, 188, 22307, Hamburg",53.594347,10.044450,,41
Dallmeyers Backhus,bakery,"Fuhlsbüttler Straße, 188, 22307, Hamburg",53.594460,10.044387,,38
Lidl,supermarket,"Fuhlsbüttler Straße, 184, 22307, Hamburg",53.594139,10.044527,,42
Nur Hier,bakery,"Fuhlsbüttler Straße, 107-109, 22305, Hamburg",53.588840,10.045310,,278
Lezzet,restaurant,"Fuhlsbüttler Straße, 173, 22307, Hamburg",53.594283,10.043784,,31
Nur Bazar,supermarket,"Fuhlsbüttler Straße, 174, 22305, Hamburg",53.592738,10.044557,,29
Kleines Glück,restaurant,"Fuhlsbüttler Straße, 181, 22307, Hamburg",53.595156,10.043484,,30
Onur,supermarket,"Fuhlsbüttler Straße, 125-127, 22305, Hamburg",53.590305,10.044687,,123
BLOCK HOUSE,restaurant,"Fuhlsbüttler Straße, 165, 22307, Hamburg",53.593187,10.043929,,41
bioMarkt Barmbek,supermarket,"Fuhlsbüttler Straße, 164, 22305, Hamburg",53.591875,10.044575,,31
Rohlfs Bäckerei,bakery,"Fuhlsbüttler Straße, 177, 22307, Hamburg",53.594627,10.043658,,32
Daily Asia,supermarket,Adresse unbekannt,53.590578,10.044542,,90
Indian Temple,restaurant,"Fuhlsbüttler Straße, 159, 22305, Hamburg",53.592411,10.043956,,33
