Ort,Vorkommen,Strecke im Ort (km)
Hamburg,203,
Scharbeutz,34,
Oldenburg in Holstein,33,
Großenbrode,31,
Neustadt in Holstein,30,
Bargfeld-Stegen,29,
Grabau,27,
Lensahn,26,
Travenbrück,25,
Lütjenbrode,24,
Beschendorf,22,
Sülfeld,21,
Sierksdorf,20,
Giddendorf,19,
Bad Segeberg,18,
Groß Schlamin,16,
Fehmarn,13,
Wiemerskamp,12,
Barghorst,12,
Bebensee,12,
Ölendorf,12,
Nienwohld,11,
Schwissel,11,
Gremersdorf,10,
Stipsdorf,10,
Klein Gladebrügge,9,
Meeschendorf,9,
Logeberg,9,
Roge,8,
Quaal,8,
Wensin,7,
Merkendorf,7,
Neversdorf,6,
Neukirchen,5,
Traventhal,4,
Gnissau,4,
Wardersee,4,
Ahrensbök,3,
Holstendorf,3,
Heuerstubben,1,
