Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
52.703800,7.272835,21.800000,2020-07-12 05:40:39+00:00,0.000000,0.000000,0.000000
52.703865,7.272887,21.400000,2020-07-12 05:40:40+00:00,0.008042,0.008042,0.000000
52.703926,7.272944,21.200000,2020-07-12 05:40:41+00:00,0.007805,0.015847,0.000000
52.703983,7.272993,21.000000,2020-07-12 05:40:42+00:00,0.007156,0.023003,0.000000
52.704048,7.273036,21.000000,2020-07-12 05:40:43+00:00,0.007795,0.030799,0.000000
52.704117,7.273079,20.800000,2020-07-12 05:40:44+00:00,0.008210,0.039009,0.000000
52.704182,7.273125,20.800000,2020-07-12 05:40:45+00:00,0.007873,0.046882,0.000000
52.704247,7.273171,20.600000,2020-07-12 05:40:46+00:00,0.007873,0.054755,0.000000
52.704311,7.273218,20.400000,2020-07-12 05:40:47+00:00,0.007798,0.062554,0.000000
52.704372,7.273266,20.400000,2020-07-12 05:40:48+00:00,0.007524,0.070077,0.000000
52.704433,7.273313,20.200000,2020-07-12 05:40:49+00:00,0.007495,0.077572,0.000000
52.704498,7.273357,20.200000,2020-07-12 05:40:50+00:00,0.007821,0.085393,0.000000
52.704563,7.273401,20.000000,2020-07-12 05:40:51+00:00,0.007821,0.093214,0.000000
52.704632,7.273443,20.000000,2020-07-12 05:40:52+00:00,0.008186,0.101400,0.000000
52.704697,7.273481,19.800000,2020-07-12 05:40:53+00:00,0.007676,0.109076,0.000000
52.704758,7.273515,19.600000,2020-07-12 05:40:54+00:00,0.007167,0.116242,0.000000
52.704815,7.273556,19.600000,2020-07-12 05:40:55+00:00,0.006922,0.123164,0.000000
52.704864,7.273612,19.400000,2020-07-12 05:40:56+00:00,0.006638,0.129802,0.000000
52.704891,7.273682,19.200000,2020-07-12 05:40:57+00:00,0.005605,0.135407,0.000000
52.704895,7.273775,19.200000,2020-07-12 05:40:58+00:00,0.006302,0.141709,0.000000
52.704884,7.273862,19.000000,2020-07-12 05:40:59+00:00,0.006007,0.147716,0.000000
52.704857,7.273953,18.800000,2020-07-12 05:41:00+00:00,0.006846,0.154562,0.000000
52.704815,7.274047,18.800000,2020-07-12 05:41:01+00:00,0.007888,0.162449,0.000000
52.704777,7.274137,18.600000,2020-07-12 05:41:02+00:00,0.007409,0.169858,0.000000
52.704731,7.274230,18.600000,2020-07-12 05:41:03+00:00,0.008107,0.177965,0.000000
52.704685,7.274324,18.400000,2020-07-12 05:41:04+00:00,0.008159,0.186124,0.000000
52.704639,7.274418,18.400000,2020-07-12 05:41:05+00:00,0.008159,0.194284,0.000000
52.704594,7.274514,18.200000,2020-07-12 05:41:06+00:00,0.008197,0.202480,0.000000
52.704548,7.274610,18.200000,2020-07-12 05:41:07+00:00,0.008265,0.210745,0.000000
52.704502,7.274709,18.200000,2020-07-12 05:41:08+00:00,0.008425,0.219171,0.000000
52.704460,7.274805,18.000000,2020-07-12 05:41:09+00:00,0.007997,0.227168,0.000000
52.704414,7.274900,18.000000,2020-07-12 05:41:10+00:00,0.008212,0.235380,0.000000
52.704372,7.274994,18.000000,2020-07-12 05:41:11+00:00,0.007888,0.243267,0.000000
52.704327,7.275087,17.800000,2020-07-12 05:41:12+00:00,0.008037,0.251305,0.000000
52.704281,7.275179,17.800000,2020-07-12 05:41:13+00:00,0.008055,0.259359,0.000000
52.704239,7.275272,17.800000,2020-07-12 05:41:14+00:00,0.007833,0.267193,0.000000
52.704205,7.275366,17.800000,2020-07-12 05:41:15+00:00,0.007395,0.274588,0.000000
52.704170,7.275454,17.800000,2020-07-12 05:41:16+00:00,0.007110,0.281698,0.000000
52.704132,7.275548,18.000000,2020-07-12 05:41:17+00:00,0.007632,0.289330,0.200000
52.704102,7.275646,18.000000,2020-07-12 05:41:18+00:00,0.007418,0.296748,0.000000
52.704067,7.275759,18.000000,2020-07-12 05:41:19+00:00,0.008574,0.305322,0.000000
52.704033,7.275875,18.000000,2020-07-12 05:41:20+00:00,0.008706,0.314028,0.000000
52.703995,7.275992,18.200000,2020-07-12 05:41:21+00:00,0.008968,0.322997,0.200000
52.703960,7.276108,18.200000,2020-07-12 05:41:22+00:00,0.008755,0.331752,0.000000
52.703922,7.276227,18.400000,2020-07-12 05:41:23+00:00,0.009088,0.340839,0.200000
52.703888,7.276346,18.400000,2020-07-12 05:41:24+00:00,0.008889,0.349729,0.000000
52.703854,7.276464,18.400000,2020-07-12 05:41:25+00:00,0.008828,0.358557,0.000000
52.703819,7.276584,18.600000,2020-07-12 05:41:26+00:00,0.008998,0.367555,0.200000
52.703785,7.276703,18.600000,2020-07-12 05:41:27+00:00,0.008889,0.376444,0.000000
52.703751,7.276824,18.600000,2020-07-12 05:41:28+00:00,0.009012,0.385456,0.000000
52.703716,7.276947,18.600000,2020-07-12 05:41:29+00:00,0.009181,0.394637,0.000000
52.703678,7.277070,18.600000,2020-07-12 05:41:30+00:00,0.009328,0.403965,0.000000
52.703644,7.277194,18.600000,2020-07-12 05:41:31+00:00,0.009196,0.413161,0.000000
52.703609,7.277317,18.600000,2020-07-12 05:41:32+00:00,0.009181,0.422343,0.000000
52.703575,7.277443,18.600000,2020-07-12 05:41:33+00:00,0.009320,0.431662,0.000000
52.703533,7.277568,18.600000,2020-07-12 05:41:34+00:00,0.009656,0.441318,0.000000
52.703495,7.277694,18.400000,2020-07-12 05:41:35+00:00,0.009509,0.450828,0.000000
52.703457,7.277822,18.600000,2020-07-12 05:41:36+00:00,0.009630,0.460458,0.200000
52.703415,7.277951,18.400000,2020-07-12 05:41:37+00:00,0.009894,0.470351,0.000000
52.703381,7.278080,18.400000,2020-07-12 05:41:38+00:00,0.009505,0.479857,0.000000
52.703342,7.278208,18.400000,2020-07-12 05:41:39+00:00,0.009680,0.489537,0.000000
52.703304,7.278344,18.400000,2020-07-12 05:41:40+00:00,0.010119,0.499656,0.000000
52.703270,7.278477,18.400000,2020-07-12 05:41:41+00:00,0.009754,0.509410,0.000000
52.703236,7.278612,18.400000,2020-07-12 05:41:42+00:00,0.009879,0.519289,0.000000
52.703201,7.278747,18.400000,2020-07-12 05:41:43+00:00,0.009922,0.529211,0.000000
52.703171,7.278880,18.400000,2020-07-12 05:41:44+00:00,0.009590,0.538801,0.000000
52.703140,7.279014,18.400000,2020-07-12 05:41:45+00:00,0.009693,0.548493,0.000000
52.703106,7.279147,18.600000,2020-07-12 05:41:46+00:00,0.009754,0.558247,0.200000
52.703072,7.279277,18.600000,2020-07-12 05:41:47+00:00,0.009567,0.567815,0.000000
52.703045,7.279405,18.600000,2020-07-12 05:41:48+00:00,0.009159,0.576974,0.000000
52.703014,7.279529,18.800000,2020-07-12 05:41:49+00:00,0.009064,0.586038,0.200000
52.702984,7.279655,18.800000,2020-07-12 05:41:50+00:00,0.009148,0.595186,0.000000
52.702953,7.279782,18.800000,2020-07-12 05:41:51+00:00,0.009252,0.604438,0.000000
52.702915,7.279916,19.000000,2020-07-12 05:41:52+00:00,0.009996,0.614435,0.200000
52.702885,7.280050,19.000000,2020-07-12 05:41:53+00:00,0.009654,0.624089,0.000000
52.702854,7.280184,19.000000,2020-07-12 05:41:54+00:00,0.009693,0.633781,0.000000
52.702824,7.280317,19.200000,2020-07-12 05:41:55+00:00,0.009590,0.643372,0.200000
52.702793,7.280447,19.200000,2020-07-12 05:41:56+00:00,0.009441,0.652812,0.000000
52.702763,7.280579,19.400000,2020-07-12 05:41:57+00:00,0.009527,0.662339,0.200000
52.702721,7.280710,19.400000,2020-07-12 05:41:58+00:00,0.010013,0.672352,0.000000
52.702675,7.280835,19.600000,2020-07-12 05:41:59+00:00,0.009879,0.682231,0.200000
52.702625,7.280953,19.800000,2020-07-12 05:42:00+00:00,0.009725,0.691957,0.200000
52.702568,7.281067,19.800000,2020-07-12 05:42:01+00:00,0.009981,0.701938,0.000000
52.702499,7.281169,19.800000,2020-07-12 05:42:02+00:00,0.010320,0.712257,0.000000
52.702427,7.281254,20.000000,2020-07-12 05:42:03+00:00,0.009860,0.722117,0.200000
52.702347,7.281328,20.000000,2020-07-12 05:42:04+00:00,0.010212,0.732328,0.000000
52.702267,7.281394,19.800000,2020-07-12 05:42:05+00:00,0.009958,0.742286,0.000000
52.702175,7.281479,19.800000,2020-07-12 05:42:06+00:00,0.011740,0.754026,0.000000
52.702076,7.281559,19.800000,2020-07-12 05:42:07+00:00,0.012273,0.766299,0.000000
52.701988,7.281633,19.600000,2020-07-12 05:42:08+00:00,0.010996,0.777295,0.000000
52.701900,7.281691,19.600000,2020-07-12 05:42:09+00:00,0.010548,0.787843,0.000000
52.701813,7.281755,19.400000,2020-07-12 05:42:10+00:00,0.010604,0.798448,0.000000
52.701721,7.281825,19.400000,2020-07-12 05:42:11+00:00,0.011278,0.809726,0.000000
52.701633,7.281891,19.400000,2020-07-12 05:42:12+00:00,0.010761,0.820487,0.000000
52.701546,7.281946,19.400000,2020-07-12 05:42:13+00:00,0.010371,0.830858,0.000000
52.701454,7.282013,19.400000,2020-07-12 05:42:14+00:00,0.011195,0.842053,0.000000
52.701378,7.282068,19.600000,2020-07-12 05:42:15+00:00,0.009238,0.851291,0.200000
52.701298,7.282131,19.600000,2020-07-12 05:42:16+00:00,0.009869,0.861160,0.000000
52.701214,7.282183,19.800000,2020-07-12 05:42:17+00:00,0.009987,0.871147,0.200000
52.701138,7.282236,19.800000,2020-07-12 05:42:18+00:00,0.009185,0.880332,0.000000
52.701065,7.282289,20.000000,2020-07-12 05:42:19+00:00,0.008878,0.889210,0.200000
52.700985,7.282353,20.200000,2020-07-12 05:42:20+00:00,0.009898,0.899108,0.200000
52.700909,7.282413,20.400000,2020-07-12 05:42:21+00:00,0.009380,0.908488,0.200000
52.700832,7.282464,20.400000,2020-07-12 05:42:22+00:00,0.009236,0.917724,0.000000
52.700756,7.282515,20.600000,2020-07-12 05:42:23+00:00,0.009133,0.926857,0.200000
