Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
46.499575,11.356825,273.700000,2019-09-26 05:08:02+00:00,0.000000,0.000000,0.000000
46.499575,11.356825,273.700000,2019-09-26 05:08:03+00:00,0.000000,0.000000,0.000000
46.499575,11.356825,273.700000,2019-09-26 05:08:04+00:00,0.000000,0.000000,0.000000
46.499573,11.356822,273.700000,2019-09-26 05:08:05+00:00,0.000320,0.000320,0.000000
46.499573,11.356818,273.700000,2019-09-26 05:08:06+00:00,0.000307,0.000627,0.000000
46.499572,11.356817,273.700000,2019-09-26 05:08:07+00:00,0.000135,0.000762,0.000000
46.499572,11.356815,273.700000,2019-09-26 05:08:08+00:00,0.000154,0.000916,0.000000
46.499572,11.356813,273.700000,2019-09-26 05:08:09+00:00,0.000154,0.001069,0.000000
46.499570,11.356812,273.700000,2019-09-26 05:08:10+00:00,0.000235,0.001304,0.000000
46.499570,11.356812,273.700000,2019-09-26 05:08:11+00:00,0.000000,0.001304,0.000000
46.499568,11.356812,273.700000,2019-09-26 05:08:12+00:00,0.000222,0.001527,0.000000
46.499567,11.356810,273.700000,2019-09-26 05:08:13+00:00,0.000190,0.001716,0.000000
46.499567,11.356810,273.700000,2019-09-26 05:08:14+00:00,0.000000,0.001716,0.000000
46.499565,11.356810,273.700000,2019-09-26 05:08:15+00:00,0.000222,0.001939,0.000000
46.499565,11.356810,273.700000,2019-09-26 05:08:16+00:00,0.000000,0.001939,0.000000
46.499565,11.356808,273.700000,2019-09-26 05:08:17+00:00,0.000154,0.002092,0.000000
46.499565,11.356807,273.700000,2019-09-26 05:08:18+00:00,0.000077,0.002169,0.000000
46.499563,11.356805,273.700000,2019-09-26 05:08:19+00:00,0.000270,0.002439,0.000000
46.499563,11.356803,273.700000,2019-09-26 05:08:20+00:00,0.000154,0.002593,0.000000
46.499563,11.356802,273.700000,2019-09-26 05:08:21+00:00,0.000077,0.002669,0.000000
46.499562,11.356800,273.700000,2019-09-26 05:08:22+00:00,0.000190,0.002859,0.000000
46.499562,11.356800,273.700000,2019-09-26 05:08:23+00:00,0.000000,0.002859,0.000000
46.499562,11.356798,273.700000,2019-09-26 05:08:24+00:00,0.000154,0.003013,0.000000
46.499562,11.356797,273.700000,2019-09-26 05:08:25+00:00,0.000077,0.003089,0.000000
46.499562,11.356797,273.700000,2019-09-26 05:08:26+00:00,0.000000,0.003089,0.000000
46.499562,11.356795,273.700000,2019-09-26 05:08:27+00:00,0.000154,0.003243,0.000000
46.499560,11.356793,273.700000,2019-09-26 05:08:28+00:00,0.000270,0.003513,0.000000
46.499560,11.356793,273.700000,2019-09-26 05:08:29+00:00,0.000000,0.003513,0.000000
46.499560,11.356792,273.700000,2019-09-26 05:08:30+00:00,0.000077,0.003590,0.000000
46.499560,11.356788,273.700000,2019-09-26 05:08:31+00:00,0.000307,0.003897,0.000000
46.499560,11.356785,273.700000,2019-09-26 05:08:32+00:00,0.000230,0.004127,0.000000
46.499558,11.356782,273.700000,2019-09-26 05:08:33+00:00,0.000320,0.004447,0.000000
46.499558,11.356780,273.700000,2019-09-26 05:08:34+00:00,0.000154,0.004601,0.000000
46.499557,11.356778,273.700000,2019-09-26 05:08:35+00:00,0.000190,0.004790,0.000000
46.499557,11.356775,273.700000,2019-09-26 05:08:36+00:00,0.000230,0.005021,0.000000
46.499557,11.356773,273.700000,2019-09-26 05:08:37+00:00,0.000154,0.005174,0.000000
46.499555,11.356772,273.700000,2019-09-26 05:08:38+00:00,0.000235,0.005409,0.000000
46.499555,11.356770,273.700000,2019-09-26 05:08:39+00:00,0.000154,0.005563,0.000000
46.499555,11.356768,273.700000,2019-09-26 05:08:40+00:00,0.000154,0.005716,0.000000
46.499555,11.356767,273.700000,2019-09-26 05:08:41+00:00,0.000077,0.005793,0.000000
46.499555,11.356767,273.700000,2019-09-26 05:08:42+00:00,0.000000,0.005793,0.000000
46.499555,11.356767,273.700000,2019-09-26 05:08:43+00:00,0.000000,0.005793,0.000000
