item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,106.532,2192.015,,,,,,
Peak,2,70.536,2095.740,,,,,,
Valid Segment,1,,,forward,121.001,121.259,257.635,14.646,
Valid Segment,1,,,forward,134.581,135.058,476.711,10.683,
Valid Segment,1,,,forward,136.773,136.935,161.879,10.327,
Valid Segment,1,,,forward,143.761,143.859,98.598,20.047,
Valid Segment,1,,,forward,146.058,146.226,167.515,11.003,
Valid Segment,1,,,forward,147.993,148.066,73.126,22.369,
Valid Segment,1,,,forward,150.251,150.297,46.519,16.649,
Valid Segment,1,,,backward,77.378,86.677,9298.777,625.142,
Valid Segment,1,,,backward,69.900,77.303,7402.603,503.648,
Valid Segment,1,,,backward,59.472,59.578,106.240,14.206,
Valid Segment,1,,,backward,58.241,58.333,92.087,10.617,
Valid Segment,1,,,backward,57.966,58.119,153.321,15.476,
Valid Segment,1,,,backward,50.663,50.974,311.154,11.259,
Valid Segment,1,,,backward,47.922,48.674,751.751,10.028,
Valid Segment,1,,,backward,45.426,46.258,832.053,10.402,
Valid Segment,1,,,backward,41.366,41.637,270.715,13.903,
Valid Segment,1,,,backward,39.980,40.658,677.246,16.665,
Valid Segment,1,,,backward,37.281,39.396,2115.508,10.795,
Valid Segment,1,,,backward,36.261,36.464,203.360,15.698,
Valid Segment,1,,,backward,35.007,36.088,1081.641,25.059,
Valid Segment,1,,,backward,31.559,32.306,747.155,16.762,
Valid Segment,2,,,forward,89.573,95.622,6048.969,190.493,
Valid Segment,2,,,forward,97.791,106.762,8971.577,104.782,
Valid Segment,2,,,forward,134.581,135.058,476.711,10.683,
Valid Segment,2,,,forward,136.773,136.935,161.879,10.327,
Valid Segment,2,,,forward,143.761,143.859,98.598,20.047,
Valid Segment,2,,,forward,146.058,146.226,167.515,11.003,
Valid Segment,2,,,forward,147.993,148.066,73.126,22.369,
Valid Segment,2,,,forward,150.251,150.297,46.519,16.649,
Valid Segment,2,,,backward,59.472,59.578,106.240,14.206,
Valid Segment,2,,,backward,58.241,58.333,92.087,10.617,
Valid Segment,2,,,backward,57.966,58.119,153.321,15.476,
Valid Segment,2,,,backward,50.663,50.974,311.154,11.259,
Valid Segment,2,,,backward,47.922,48.674,751.751,10.028,
Valid Segment,2,,,backward,45.426,46.258,832.053,10.402,
Valid Segment,2,,,backward,41.366,41.637,270.715,13.903,
Valid Segment,2,,,backward,39.980,40.658,677.246,16.665,
Valid Segment,2,,,backward,37.281,39.396,2115.508,10.795,
Valid Segment,2,,,backward,36.261,36.464,203.360,15.698,
Valid Segment,2,,,backward,35.007,36.088,1081.641,25.059,
Valid Segment,2,,,backward,31.559,32.306,747.155,16.762,
