Name,Typ,Adresse,Latitude,Longitude
Biener Landbäckerei Wintering,bakery,"Esterfelder Stiege, 113, 49716, Meppen",52.7005183,7.273072
Parkhotel Meppen,restaurant,"Lilienstraße, 21, 49716, Meppen",52.7023767,7.2782895
Emskrug,restaurant,"Deichstraße, 1, 49716, Meppen",52.6948587,7.28798
Mundwerk,cafe,"Zum Stadtgraben, 2, 49716, Meppen",52.6914269,7.2906139
Bootshaus,restaurant,"Widukindstraße, 22, 49716, Meppen",52.6913696,7.2969864
Oriana,restaurant,"Nagelshof, 24, 49716, Meppen",52.6903887,7.2885679
Satchmo,cafe,"Am Neuen Markt, 100, 49716, Meppen",52.6931346,7.2896299
Meppener Kebap Haus,restaurant,"Markt, 37, 49716, Meppen",52.6910692,7.2923012
Da Vito,restaurant,"Nagelshof, 5, 49716, Meppen",52.6901644,7.2903188
Pane é Vino,restaurant,"Zum Stadtgraben, 12, 49716, Meppen",52.6914436,7.290043
Delphi,restaurant,"Markt, 41, 49716, Meppen",52.6907757,7.2923132
Wintering Biener Landbäckerei,bakery,"Hasestraße, 8, 49716, Meppen",52.6929216,7.2911236
Der Fahrradladen Janknecht,bicycle,"Burgstraße, 2, 49716, Meppen",52.6919393,7.2929082
Marmaris,restaurant,"Nagelshof, 60, 49716, Meppen",52.6908179,7.2860624
Krüßel,bakery,Adresse unbekannt,52.6951798,7.2982186
Akan Market,supermarket,Adresse unbekannt,52.6958794,7.2964913
Istanbul Grill,restaurant,"Nagelshof, 11, 49716, Meppen",52.6901417,7.2899813
Lido,cafe,"Kuhstraße, 4",52.6903175,7.2908689
Historisches Rathaus - Resto-Bar,cafe,"Markt, 49, 49716, Meppen",52.6910524,7.2918746
täglich,restaurant,"Hasestraße, 10, 49716, Meppen",52.6939253,7.2920966
Brunello,restaurant,Adresse unbekannt,52.6920296,7.2912753
Ganseforth,bakery,"Markt, 31-333, 49716, Meppen",52.6913733,7.2918496
StrandStulle,restaurant,"Nagelshof, 3, 49716, Meppen",52.6902487,7.2904182
Schäfer's Brotstuben,bakery,"Hasestraße, 18, 49716, Meppen",52.6924686,7.2912944
Papami Sushi & Asia Kitchen,restaurant,"Markt, 8, 49716, Meppen",52.6911791,7.2909002
Drinking_water,drinking_water,Adresse unbekannt,52.6932632,7.2914274
Drinking_water,drinking_water,Adresse unbekannt,52.6917005,7.2915987
Ganseforth,bakery,"Haselünner Straße, 32c, 49716, Meppen",52.6988926,7.3013762
Drinking_water,drinking_water,Adresse unbekannt,52.6955274,7.2984574
K+K,supermarket,Adresse unbekannt,52.8525083,7.6750983
Palmyra,restaurant,Adresse unbekannt,52.8514603,7.678455
Meyers Backstuben,bakery,"Loruper Straße, 16, 49757, Werlte",52.8536583,7.6747109
Stadtbäckerei Frerker,bakery,"Kolpingstraße, 4a, 49757, Werlte",52.8543472,7.6789874
Aljonuschka,supermarket,Adresse unbekannt,52.8534564,7.6734902
Antalya,restaurant,"Kirchstraße, 28, 49757, Werlte",52.8547871,7.6815502
Olympia,restaurant,"Kirchstraße, 43, 49757, Werlte",52.8561662,7.6841842
Meyer,bakery,"Korsorsstraße, 162, 26203, Wardenburg",53.0889103,8.1268009
Hotel Wöbken,restaurant,"Hundsmühler Straße, 255, 26131, Oldenburg",53.1126877,8.1910115
Eis Stuckenberg,cafe,Adresse unbekannt,53.1159876,8.1908903
Delphi,restaurant,"Cloppenburger Straße, 24, 26135, Oldenburg",53.1299392,8.221086
Zum Goldenen Stern,restaurant,"Cloppenburger Straße, 23, 26135, Oldenburg",53.1299272,8.2214082
Gaststätte zur Post,restaurant,"Bremer Straße, 46, 26135, Oldenburg",53.1302878,8.2244222
Vosgerau am Damm,bicycle,"Damm, 25",53.1350148,8.2185946
Shang Hai,restaurant,"Damm, 22, 26135",53.1350164,8.2182913
Istanbul,restaurant,"Damm, 18, 26135, Oldenburg",53.135181,8.2181636
Bruno,bakery,"Damm, 21, 26135, Oldenburg",53.1352363,8.2184305
Müller & Egerer,bakery,"Bremer Straße, 55, 26135, Oldenburg",53.1301522,8.2255382
Veggiemaid,cafe,"Damm, 34, 26135, Oldenburg",53.1346317,8.2186101
Triumph,restaurant,Adresse unbekannt,53.1348638,8.2184441
Denns BioMarkt,supermarket,"Stedinger Straße, 6-12, 26135, Oldenburg",53.1322382,8.2234683
Cafe Schnuppe,cafe,"Bremer Straße, 41, 26135",53.1309217,8.2246318
Fahrradwerkstatt,bicycle,"Stedinger Straße, 28, 26135, Oldenburg",53.1331602,8.2254446
Radhaus 47,bicycle,"Stedinger Straße, 47",53.1345204,8.2258985
Der Bäckerladen,bakery,"Dedestraße, 41, 26135, Oldenburg",53.1334933,8.2298346
Netto Marken-Discount,supermarket,"Stedinger Straße, 85, 26135, Oldenburg",53.1364358,8.2293479
