Name,Typ,Adresse,Latitude,Longitude
Bar Haidi Pizzeria Bistro,restaurant,"Via Renon - Rittner Straße, 33, 39100, Bolzano - Bozen",46.4991165,11.3625622
Cafè Exil,cafe,Adresse unbekannt,46.4993539,11.3553891
Vögele,restaurant,"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße, 3, 39100, Bolzano - Bozen",46.4990306,11.3525008
Forstbräu Central,restaurant,"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße, 6, 39100, Bolzano - Bozen",46.4990726,11.3523422
Hopfen & Co.,restaurant,"Piazza delle Erbe - Obstplatz, 17, 39100, Bolzano - Bozen",46.4993259,11.3525722
Batzenhäusl,restaurant,"Via Andreas Hofer - Andreas-Hofer-Straße, 30, 39100, Bolzano - Bozen",46.5013603,11.3574364
Kaiserkron,restaurant,Piazza della Mostra - Musterplatz,46.4983267,11.3534441
Caffé Mattei,cafe,"Piazza della Parrocchia - Pfarrplatz, 2, 39100, Bolzano - Bozen",46.4978694,11.3534714
Gasthaus Fink,restaurant,"Via della Mostra - Mustergasse, 9, 39100, Bolzano - Bozen",46.4984999,11.3529148
Sportler,cafe,Adresse unbekannt,46.4990567,11.3545159
Despar,supermarket,Adresse unbekannt,46.5000794,11.3569451
Despar,supermarket,"Via Museo - Museumstraße, 2, 39100, Bolzano - Bozen",46.4996609,11.3524034
Caffè Maschin,cafe,Adresse unbekannt,46.4983231,11.3568938
Nussbaumer,restaurant,Adresse unbekannt,46.5008164,11.3570139
Weißes Rössl - Cavallino Bianco,restaurant,"Via dei Bottai - Bindergasse, 6",46.5009217,11.3568029
Walther's,restaurant,"Piazza Walther - Waltherplatz, 6, 39100, Bolzano - Bozen",46.498326,11.3551986
Feichter,restaurant,Adresse unbekannt,46.4989757,11.3570282
Pizzeria La Torcia,restaurant,"Via dei Conciapelli - Gerbergasse, 25, 39100, Bolzano - Bozen",46.498948,11.357497
Il Tinello,restaurant,Adresse unbekannt,46.4990881,11.3581238
Ritter,restaurant,Adresse unbekannt,46.4990901,11.3537903
Paulaner Stuben,restaurant,"Via dei Portici - Laubengasse, 51, 39100, Bolzano - Bozen",46.4991012,11.3535054
Stadt Hotel Città,cafe,"Piazza Walther - Walther-Platz, 21, 39100, Bolzano - Bozen",46.4986841,11.3544499
Monika,cafe,Adresse unbekannt,46.4986456,11.3524765
Löwengrube,restaurant,"Piazza della Dogana - Zollstangenplatz, 3, 39100, Bolzano - Bozen",46.500345,11.3606238
Brennpunkt,cafe,Adresse unbekannt,46.5005706,11.3617572
FranziskanerStuben,restaurant,Adresse unbekannt,46.5003917,11.3535791
Casa al Torchio - Torgglhaus,restaurant,"Via Museo - Museumstraße, 2A, Bolzano - Bozen",46.499684,11.3522359
Marilyn,cafe,"Via della Posta - Postgasse, 8, 39100, Bolzano - Bozen",46.4979325,11.3527737
Café Riesen,cafe,Adresse unbekannt,46.4979403,11.3524366
Franziskaner,bakery,"Via Museo - Museumstraße, 10, 39100, Bolzano - Bozen",46.4997294,11.3517072
Drinking_water,drinking_water,Adresse unbekannt,46.4985326,11.3544075
Vögelino,cafe,Adresse unbekannt,46.4985664,11.3552099
Dragone d'Oro,restaurant,Adresse unbekannt,46.5003639,11.351603
Bar/Restaurant/Konditorei Aida,restaurant,"Piazza Walther - Waltherplatz, 1a, 39100, Bolzano - Bozen",46.4987095,11.355308
PizzaPazza Kebab,restaurant,"Via Alto Adige - Südtiroler Straße, 24, 39100, Bolzano - Bozen",46.4966585,11.3547138
