Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Parkhotel Meppen,restaurant,"Lilienstraße, 21, 49716, Meppen",52.702377,7.278289,,101
Emskrug,restaurant,"Deichstraße, 1, 49716, Meppen",52.694859,7.287980,,85
Mundwerk,cafe,"Zum Stadtgraben, 2, 49716, Meppen",52.691427,7.290614,,232
Satchmo,cafe,"Am Neuen Markt, 100, 49716, Meppen",52.693135,7.289630,,61
Meppener Kebap Haus,restaurant,"Markt, 37, 49716, Meppen",52.691069,7.292301,,268
Pane é Vino,restaurant,"Zum Stadtgraben, 12, 49716, Meppen",52.691444,7.290043,,241
Wintering Biener Landbäckerei,bakery,"Hasestraße, 8, 49716, Meppen",52.692922,7.291124,,58
Der Fahrradladen Janknecht,bicycle,"Burgstraße, 2, 49716, Meppen",52.691939,7.292908,,207
Krüßel,bakery,Adresse unbekannt,52.695180,7.298219,,297
Akan Market,supermarket,Adresse unbekannt,52.695879,7.296491,,189
Historisches Rathaus - Resto-Bar,cafe,"Markt, 49, 49716, Meppen",52.691052,7.291875,,262
täglich,restaurant,"Hasestraße, 10, 49716, Meppen",52.693925,7.292097,,18
Brunello,restaurant,Adresse unbekannt,52.692030,7.291275,,152
Ganseforth,bakery,"Markt, 31-333, 49716, Meppen",52.691373,7.291850,,226
Schäfer's Brotstuben,bakery,"Hasestraße, 18, 49716, Meppen",52.692469,7.291294,,104
Papami Sushi & Asia Kitchen,restaurant,"Markt, 8, 49716, Meppen",52.691179,7.290900,,252
Drinking_water,drinking_water,Adresse unbekannt,52.693263,7.291427,,15
Drinking_water,drinking_water,Adresse unbekannt,52.691701,7.291599,,187
Ganseforth,bakery,"Haselünner Straße, 32c, 49716, Meppen",52.698893,7.301376,,20
Drinking_water,drinking_water,Adresse unbekannt,52.695527,7.298457,,258
Palmyra,restaurant,Adresse unbekannt,52.851460,7.678455,,18
Stadtbäckerei Frerker,bakery,"Kolpingstraße, 4a, 49757, Werlte",52.854347,7.678987,,135
Antalya,restaurant,"Kirchstraße, 28, 49757, Werlte",52.854787,7.681550,,16
Olympia,restaurant,"Kirchstraße, 43, 49757, Werlte",52.856166,7.684184,,16
Meyer,bakery,"Korsorsstraße, 162, 26203, Wardenburg",53.088910,8.126801,,27
Hotel Wöbken,restaurant,"Hundsmühler Straße, 255, 26131, Oldenburg",53.112688,8.191012,,166
Eis Stuckenberg,cafe,Adresse unbekannt,53.115988,8.190890,,104
Delphi,restaurant,"Cloppenburger Straße, 24, 26135, Oldenburg",53.129939,8.221086,,266
Zum Goldenen Stern,restaurant,"Cloppenburger Straße, 23, 26135, Oldenburg",53.129927,8.221408,,298
Vosgerau am Damm,bicycle,"Damm, 25",53.135015,8.218595,,293
Veggiemaid,cafe,"Damm, 34, 26135, Oldenburg",53.134632,8.218610,,256
Triumph,restaurant,Adresse unbekannt,53.134864,8.218444,,288
Denns BioMarkt,supermarket,"Stedinger Straße, 6-12, 26135, Oldenburg",53.132238,8.223468,,216
Fahrradwerkstatt,bicycle,"Stedinger Straße, 28, 26135, Oldenburg",53.133160,8.225445,,224
Radhaus 47,bicycle,"Stedinger Straße, 47",53.134520,8.225898,,84
Der Bäckerladen,bakery,"Dedestraße, 41, 26135, Oldenburg",53.133493,8.229835,,258
Netto Marken-Discount,supermarket,"Stedinger Straße, 85, 26135, Oldenburg",53.136436,8.229348,,64
Pedale – Fahrradgeschäft,bicycle,"Dragonerstraße, 21a, 26135",53.134494,8.231973,,218
Brot & So,supermarket,"Dragonerstraße, 38, 26135, Oldenburg",53.133998,8.230191,,221
Elrado-House,restaurant,"Nordstraße, 42, 26135, Oldenburg",53.135641,8.227201,,19
Cafe 22,cafe,Adresse unbekannt,53.135145,8.235515,,246
Cito Werk Zweirad Freizeitartikel GmbH,bicycle,Adresse unbekannt,53.135276,8.234697,,209
Delikato,restaurant,Adresse unbekannt,53.186420,8.485260,,65
Bäckerei Meyer Mönchhof im EDEKA Wigger,bakery,"Weserstraße, 30, 27804, Berne",53.186650,8.485280,,41
Borchers - Fahrradhaus Stedingen,bicycle,"Handwerksstraße, 4, 27804",53.190998,8.501007,,86
Laki's Bistro,restaurant,"Stedinger Straße, 1, 27809, Lemwerder",53.163807,8.617814,,147
Grauer Esel,restaurant,"Am Vegesacker Hafen, 10, Bremen",53.168376,8.624534,,19
Piccolino Bremen,restaurant,"Alte Hafenstraße, 40, 28757, Bremen",53.169213,8.624644,,10
Strandbude,restaurant,"Am Vegesacker Hafen, 12, 28757, Bremen",53.168288,8.624012,,17
Jugendcafe Haven Höövt,cafe,Adresse unbekannt,53.166958,8.628653,,113
Kaffeetante,cafe,Adresse unbekannt,53.170052,8.624735,,65
Haferkamp,bakery,Adresse unbekannt,53.166196,8.628335,,176
Kaufland,supermarket,"Zum Alten Speicher, 2, Bremen",53.166165,8.628760,,130
Goden Wind,restaurant,Adresse unbekannt,53.168636,8.623314,,14
Salento Classico,restaurant,"Reeder-Bischoff-Straße, 54, 28757, Bremen",53.170843,8.621985,,249
Amico,restaurant,"Reeder-Bischoff-Straße, 45, 28757, Bremen",53.170436,8.622518,,181
Mr. Trung Viet Cuisine,restaurant,"Rohrstraße, 1, 28757, Bremen",53.168547,8.623524,,7
Leerstand,restaurant,"Vegesacker Bahnhofsplatz, 1a, 28757",53.170209,8.628160,,113
