Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Cafè Exil,cafe,Adresse unbekannt,46.499354,11.355389,,119
Vögele,restaurant,"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße, 3, 39100, Bolzano - Bozen",46.499031,11.352501,,133
Forstbräu Central,restaurant,"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße, 6, 39100, Bolzano - Bozen",46.499073,11.352342,,138
Hopfen & Co.,restaurant,"Piazza delle Erbe - Obstplatz, 17, 39100, Bolzano - Bozen",46.499326,11.352572,,165
Batzenhäusl,restaurant,"Via Andreas Hofer - Andreas-Hofer-Straße, 30, 39100, Bolzano - Bozen",46.501360,11.357436,,176
Kaiserkron,restaurant,Piazza della Mostra - Musterplatz,46.498327,11.353444,,61
Caffé Mattei,cafe,"Piazza della Parrocchia - Pfarrplatz, 2, 39100, Bolzano - Bozen",46.497869,11.353471,,11
Gasthaus Fink,restaurant,"Via della Mostra - Mustergasse, 9, 39100, Bolzano - Bozen",46.498500,11.352915,,73
Sportler,cafe,Adresse unbekannt,46.499057,11.354516,,78
Despar,supermarket,Adresse unbekannt,46.500079,11.356945,,26
Despar,supermarket,"Via Museo - Museumstraße, 2, 39100, Bolzano - Bozen",46.499661,11.352403,,178
Caffè Maschin,cafe,Adresse unbekannt,46.498323,11.356894,,14
Nussbaumer,restaurant,Adresse unbekannt,46.500816,11.357014,,102
Weißes Rössl - Cavallino Bianco,restaurant,"Via dei Bottai - Bindergasse, 6",46.500922,11.356803,,111
Walther's,restaurant,"Piazza Walther - Waltherplatz, 6, 39100, Bolzano - Bozen",46.498326,11.355199,,9
Feichter,restaurant,Adresse unbekannt,46.498976,11.357028,,7
Pizzeria La Torcia,restaurant,"Via dei Conciapelli - Gerbergasse, 25, 39100, Bolzano - Bozen",46.498948,11.357497,,58
Il Tinello,restaurant,Adresse unbekannt,46.499088,11.358124,,129
Ritter,restaurant,Adresse unbekannt,46.499090,11.353790,,128
Paulaner Stuben,restaurant,"Via dei Portici - Laubengasse, 51, 39100, Bolzano - Bozen",46.499101,11.353505,,146
Stadt Hotel Città,cafe,"Piazza Walther - Walther-Platz, 21, 39100, Bolzano - Bozen",46.498684,11.354450,,44
Monika,cafe,Adresse unbekannt,46.498646,11.352476,,90
FranziskanerStuben,restaurant,Adresse unbekannt,46.500392,11.353579,,256
Casa al Torchio - Torgglhaus,restaurant,"Via Museo - Museumstraße, 2A, Bolzano - Bozen",46.499684,11.352236,,164
Marilyn,cafe,"Via della Posta - Postgasse, 8, 39100, Bolzano - Bozen",46.497932,11.352774,,10
Café Riesen,cafe,Adresse unbekannt,46.497940,11.352437,,12
Franziskaner,bakery,"Via Museo - Museumstraße, 10, 39100, Bolzano - Bozen",46.499729,11.351707,,126
Drinking_water,drinking_water,Adresse unbekannt,46.498533,11.354408,,36
Vögelino,cafe,Adresse unbekannt,46.498566,11.355210,,35
Dragone d'Oro,restaurant,Adresse unbekannt,46.500364,11.351603,,182
Bar/Restaurant/Konditorei Aida,restaurant,"Piazza Walther - Waltherplatz, 1a, 39100, Bolzano - Bozen",46.498709,11.355308,,49
PizzaPazza Kebab,restaurant,"Via Alto Adige - Südtiroler Straße, 24, 39100, Bolzano - Bozen",46.496659,11.354714,,33
Pizzeria Amade',restaurant,"Vicolo Ca' De Bezzi - Batzenhäuslgasse, 8, 39100",46.501661,11.357873,,228
pims,restaurant,"Piazzetta Maria Delago - Maria-Delago-Platz, 6, 39100",46.501501,11.356707,,175
Hackhofer,bakery,Adresse unbekannt,46.499664,11.359447,,284
Drinking_water,drinking_water,39100,46.499160,11.353233,,149
Despar,supermarket,Adresse unbekannt,46.498350,11.356190,,0
Humus,restaurant,Bolzano - Bozen,46.499154,11.353369,,150
Cafè Konditorei Pasticceria Klaus,bakery,"Piazzetta Maria Delago - Maria-Delago-Platz, 12, 39100, Bolzano - Bozen",46.501276,11.356595,,151
Tivoli,cafe,"Galleria Vintler - Vintler Galerie, 1, 39100, Bolzano - Bozen",46.500568,11.355553,,150
Pepper Lounge,cafe,"Piazza Domenicani - Dominikanerplatz, 38, 39100, Bolzano - Bozen",46.497948,11.352046,,20
Drinking_water,drinking_water,39190,46.499666,11.352589,,196
Drinking_water,drinking_water,Adresse unbekannt,46.499743,11.351823,,135
Drinking_water,drinking_water,39100,46.500163,11.354073,,210
Franziskaner,bakery,"Via dei Grappoli - Weintraubengasse, 44, 39100, Bolzano - Bozen",46.498735,11.356806,,10
forneria 38,restaurant,"Piazza delle Erbe - Obstplatz, 38, 39100, Bolzano - Bozen",46.500026,11.352672,,226
Oberon,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 7b",46.500148,11.356191,,65
Uva bianca - Weiße Traube,restaurant,"Via Museo - Museumstraße, 19",46.499242,11.351193,,50
Ristorante Pizzeria Teatro Nuovo,restaurant,Adresse unbekannt,46.495986,11.353708,,80
Hackhofer,bakery,Adresse unbekannt,46.499828,11.351055,,108
Drinking_water,drinking_water,39100,46.499168,11.357927,,108
Al Duomo,restaurant,"Via dell'Isarco - Eisackstraße, 3, 39100",46.496544,11.353592,,134
Italia & Amore,restaurant,Adresse unbekannt,46.498940,11.354126,,89
Eisenstecken,bakery,"Via Alto Adige - Südtiroler Straße, 4, 39100, Bolzano - Bozen",46.497427,11.354850,,9
Drinking_water,drinking_water,39100,46.501106,11.352407,,297
Bozner Brau,restaurant,"Piazza delle Erbe - Obstplatz, 17, 39100, Bolzano - Bozen",46.499330,11.352552,,165
Lemayr,bakery,"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße, 17, 39100, Bolzano - Bozen",46.498423,11.352450,,66
Grandi,bakery,"Via dei Bottai - Bindergasse, 18, 39100, Bolzano - Bozen",46.500513,11.356739,,65
Weinboutique Lisa,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 22a, 39100, Bolzano - Bozen",46.500195,11.354486,,202
Bogen Bistro & Apartments,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 31, 39100, Bolzano - Bozen",46.500101,11.354348,,195
