Ort,Vorkommen,Strecke im Ort (km)
Bremen,218,
Hamburg,135,
Berne,93,
Oldenburg,73,
Meppen,55,
Buxtehude,43,
Hude (Oldenburg),36,
Werlte,34,
Friesoythe,31,
Zeven,23,
Bösel,21,
Wilstedt,19,
Lilienthal,16,
Lemwerder,16,
Grasberg,16,
Wardenburg,16,
Tarmstedt,15,
Wolkenburg,14,
Lahn,13,
Groß Berßen,13,
Steddorf,11,
Ostertimke,11,
Neu Wulmstorf,11,
Apensen,10,
Vrees,10,
Kirchtimke,10,
Hüven,8,
Boitzen,7,
Molbergen,6,
Wangersen,5,
Ahrensmoor West,5,
Ahrensmoor Nord,4,
Heeslingen,4,
Kammerbusch,4,
Westertimke,3,
Ahrenswohlde,3,
Bokel,2,
Harsefeld,2,
Wiersdorf,2,
Revenahe,1,
