Ort,Vorkommen,Strecke im Ort (km)
Meppen,55,
Wolkenburg,14,
Groß Berßen,13,
Hüven,8,
Lahn,13,
Werlte,34,
Vrees,10,
Molbergen,6,
Friesoythe,31,
Bösel,21,
Wardenburg,16,
Oldenburg,73,
Hude (Oldenburg),36,
Berne,93,
Lemwerder,16,
Bremen,218,
Lilienthal,16,
Grasberg,16,
Wilstedt,19,
Tarmstedt,15,
Westertimke,3,
Kirchtimke,10,
Ostertimke,11,
Zeven,23,
Wiersdorf,2,
Heeslingen,4,
Boitzen,7,
Steddorf,11,
Wangersen,5,
Bokel,2,
Ahrenswohlde,3,
Ahrensmoor West,5,
Ahrensmoor Nord,4,
Harsefeld,2,
Revenahe,1,
Kammerbusch,4,
Apensen,10,
Buxtehude,43,
Neu Wulmstorf,11,
Hamburg,135,
