Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Meppen,55,,52.695,7.291,262,2.104,36.400,134.993
Groß Berßen,13,,52.775,7.494,2678,20.463,71.600,243.532
Hüven,8,,52.786,7.550,3133,24.583,65.800,87.749
Werlte,34,,52.852,7.676,4544,36.950,61.000,121.072
Vrees,10,,52.886,7.773,5429,44.793,58.200,17.048
Bösel,21,,53.005,7.956,8231,65.125,30.000,683.546
Oldenburg,73,,53.139,8.215,11403,90.860,12.800,785.763
Lemwerder,16,,53.162,8.608,15361,124.515,14.400,655.670
Wilstedt,19,,53.196,9.091,23117,169.622,65.000,146.632
Tarmstedt,15,,53.226,9.082,23617,173.604,63.800,70.257
Westertimke,3,,53.240,9.133,24054,177.426,72.800,60.588
Kirchtimke,10,,53.252,9.151,24267,179.179,84.400,105.723
Ostertimke,11,,53.258,9.183,24519,181.676,71.200,58.407
Zeven,23,,53.299,9.280,25532,190.007,75.000,371.185
Heeslingen,4,,53.317,9.337,26229,194.578,100.000,99.868
Steddorf,11,,53.345,9.399,26877,199.879,112.800,150.022
Wangersen,5,,53.364,9.425,27231,202.742,114.200,45.775
Ahrenswohlde,3,,53.379,9.466,27615,205.926,116.400,36.060
Ahrensmoor West,5,,53.396,9.488,27931,208.375,128.200,43.901
Ahrensmoor Nord,4,,53.404,9.503,28117,209.835,132.400,17.526
Kammerbusch,4,,53.416,9.552,28529,213.344,132.200,53.819
Apensen,10,,53.435,9.616,29137,218.253,117.400,105.299
Buxtehude,43,,53.477,9.700,30171,226.020,71.000,217.858
