Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Siebeneich,11,,46.511,11.275,1893,9.317,240.700,841.476
Vilpian,17,,46.559,11.224,2890,16.649,245.600,411.598
Terlan,6,,46.529,11.249,2284,12.224,244.900,497.794
Gargazon,13,,46.585,11.203,3247,19.347,251.200,984.032
Burgstall,13,,46.608,11.193,3789,22.625,258.500,763.975
Meran,40,,46.670,11.159,4907,30.100,310.600,804.433
Kuens,5,,46.699,11.169,6310,34.845,490.800,573.749
Riffian,41,,46.704,11.181,6433,35.612,500.300,15.007
Saltaus,6,,46.730,11.200,7015,39.355,497.600,15.039
Quellenhof,23,,46.745,11.204,7267,41.226,515.400,28.378
St. Martin in Passeier,26,,46.784,11.227,8483,46.309,585.800,162.869
St. Leonhard in Passeier,70,,46.812,11.247,10704,50.670,694.500,9.986
Walten,136,,46.826,11.289,13688,59.620,1304.200,60.632
Ratschings,52,,46.880,11.376,19940,83.398,1134.400,413.285
Gasteig,5,,46.882,11.406,20142,85.658,965.000,158.118
Sterzing,28,,46.896,11.432,20592,88.905,949.600,82.189
