Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
42.84858,10.976287,57.0,2024-11-06 00:33:44+00:00,0.0,0.0,0.0
42.848575,10.976472,57.3,2024-11-06 00:33:49+00:00,0.015132266872788812,0.015132266872788812,0.29999999999999716
42.848629,10.976739,58.1,2024-11-06 00:33:56+00:00,0.02263423863871857,0.037766505511507384,0.8000000000000043
42.848763,10.977038,58.6,2024-11-06 00:34:04+00:00,0.028616976314491113,0.0663834818259985,0.5
42.848903,10.977271,58.6,2024-11-06 00:34:11+00:00,0.024588932670761753,0.09097241449676025,0.0
42.848937,10.977498,58.4,2024-11-06 00:34:17+00:00,0.01893560964431105,0.1099080241410713,0.0
42.848903,10.977805,57.4,2024-11-06 00:34:24+00:00,0.025376980385622267,0.13528500452669356,0.0
42.848968,10.978157,55.9,2024-11-06 00:34:33+00:00,0.029664879092900692,0.16494988361959426,0.0
42.849094,10.978475,54.5,2024-11-06 00:34:41+00:00,0.02952257992589439,0.19447246354548864,0.0
42.849194,10.978864,53.3,2024-11-06 00:34:50+00:00,0.03368165502656124,0.22815411857204987,0.0
42.849258,10.979229,52.2,2024-11-06 00:34:59+00:00,0.030670555809881095,0.25882467438193096,0.0
42.849404,10.979705,50.4,2024-11-06 00:35:11+00:00,0.04215338395453559,0.30097805833646657,0.0
42.849714,10.980908,48.0,2024-11-06 00:35:42+00:00,0.1041887574102786,0.4051668157467452,0.0
42.849771,10.981195,47.6,2024-11-06 00:35:50+00:00,0.024298762803759012,0.4294655785505042,0.0
42.849822,10.981698,46.4,2024-11-06 00:36:02+00:00,0.04150339100473554,0.47096896955523976,0.0
42.849896,10.982152,45.5,2024-11-06 00:36:13+00:00,0.03800923617866917,0.508978205733909,0.0
42.850305,10.983222,45.5,2024-11-06 00:36:41+00:00,0.09855844857149958,0.6075366543054085,0.0
42.850896,10.984415,46.6,2024-11-06 00:37:16+00:00,0.11755588660880602,0.7250925409142145,1.1000000000000014
42.851058,10.984875,46.0,2024-11-06 00:37:29+00:00,0.041684387870582644,0.7667769287847971,0.0
42.851227,10.985068,45.9,2024-11-06 00:37:38+00:00,0.024522059355833153,0.7912989881406303,0.0
42.85145,10.985457,45.5,2024-11-06 00:37:53+00:00,0.04030727111889024,0.8316062592595205,0.0
42.851576,10.985577,45.1,2024-11-06 00:38:00+00:00,0.01709182771646773,0.8486980869759883,0.0
42.851954,10.9857,44.5,2024-11-06 00:38:18+00:00,0.04317869990910696,0.8918767868850952,0.0
42.852822,10.9859,45.4,2024-11-06 00:38:59+00:00,0.0978018586362551,0.9896786455213503,0.8999999999999986
42.85296,10.985976,45.9,2024-11-06 00:39:05+00:00,0.016541119937903904,1.0062197654592542,0.5
