Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.076622,11.678932,492.0,2024-11-06 09:34:51+00:00,0.0,0.0,0.0
43.07683,11.679083,492.6,2024-11-06 09:34:59+00:00,0.026176059992147255,0.026176059992147255,0.6000000000000227
43.076971,11.679188,492.6,2024-11-06 09:35:04+00:00,0.017846329672705306,0.04402238966485256,0.0
43.077161,11.679301,492.0,2024-11-06 09:35:10+00:00,0.023026758494806506,0.06704914815965907,0.0
43.077317,11.679449,491.2,2024-11-06 09:35:15+00:00,0.02110986696907727,0.08815901512873633,0.0
43.077324,11.6794,491.1,2024-11-06 09:35:16+00:00,0.0040655620931224655,0.0922245772218588,0.0
43.077335,11.679284,491.1,2024-11-06 09:35:18+00:00,0.009525594463730448,0.10175017168558925,0.0
43.077336,11.679271,491.0,2024-11-06 09:35:18+00:00,0.0010645150148247808,0.10281468670041403,0.0
43.077365,11.679037,491.0,2024-11-06 09:35:22+00:00,0.019327050455799147,0.12214173715621318,0.0
43.077369,11.678611,490.7,2024-11-06 09:35:27+00:00,0.03469568384225247,0.15683742099846565,0.0
43.077353,11.678445,490.6,2024-11-06 09:35:30+00:00,0.013635162983677998,0.17047258398214366,0.0
43.077339,11.678231,490.4,2024-11-06 09:35:32+00:00,0.017497126776329315,0.18796971075847296,0.0
43.077407,11.677816,489.2,2024-11-06 09:35:37+00:00,0.034631011949273253,0.22260072270774622,0.0
43.077439,11.677719,488.8,2024-11-06 09:35:38+00:00,0.00866260943595588,0.2312633321437021,0.0
43.077477,11.677641,488.3,2024-11-06 09:35:39+00:00,0.007627070109098854,0.23889040225280095,0.0
43.077456,11.677625,488.2,2024-11-06 09:35:41+00:00,0.0026721977063372806,0.24156259995913823,0.0
43.07752,11.677436,487.2,2024-11-06 09:35:51+00:00,0.016954703958007713,0.25851730391714595,0.0
43.077264,11.677249,487.3,2024-11-06 09:35:55+00:00,0.0322608668155204,0.2907781707326663,0.10000000000002274
43.077226,11.677218,487.3,2024-11-06 09:35:56+00:00,0.004918877798169994,0.29569704853083634,0.0
43.077195,11.677104,487.0,2024-11-06 09:35:57+00:00,0.009902205267487032,0.30559925379832337,0.0
43.07719,11.676656,485.9,2024-11-06 09:36:02+00:00,0.03648881863444421,0.34208807243276756,0.0
