Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.318931,11.330955,336.3,2024-11-06 15:21:26+00:00,0.0,0.0,0.0
43.3188,11.330767,335.9,2024-11-06 15:21:39+00:00,0.021080470014776326,0.021080470014776326,0.0
43.319023,11.330409,335.6,2024-11-06 15:21:52+00:00,0.03817249549539016,0.05925296551016648,0.0
43.319134,11.330592,335.8,2024-11-06 15:21:59+00:00,0.01929866637534477,0.07855163188551126,0.19999999999998863
43.319253,11.330776,336.9,2024-11-06 15:22:06+00:00,0.019938998561758892,0.09849063044727015,1.099999999999966
43.319343,11.330866,337.5,2024-11-06 15:22:10+00:00,0.012380488208585987,0.11087111865585614,0.6000000000000227
43.31944,11.330897,337.9,2024-11-06 15:22:14+00:00,0.011066096650952217,0.12193721530680836,0.39999999999997726
43.319595,11.330864,338.2,2024-11-06 15:22:20+00:00,0.017427154284524675,0.13936436959133303,0.30000000000001137
43.319702,11.330858,338.2,2024-11-06 15:22:24+00:00,0.01189754853444992,0.15126191812578293,0.0
43.319828,11.330851,338.2,2024-11-06 15:22:29+00:00,0.014009981500379522,0.16527189962616246,0.0
43.320013,11.330795,337.7,2024-11-06 15:22:36+00:00,0.0210493026340838,0.18632120226024626,0.0
43.320084,11.330756,337.5,2024-11-06 15:22:39+00:00,0.00849876308297691,0.19481996534322316,0.0
43.320226,11.330668,337.2,2024-11-06 15:22:45+00:00,0.017315840488813027,0.21213580583203617,0.0
43.320366,11.330605,336.7,2024-11-06 15:22:50+00:00,0.016371860358554025,0.2285076661905902,0.0
43.32049,11.330545,336.3,2024-11-06 15:22:55+00:00,0.014610715244313316,0.24311838143490352,0.0
43.320572,11.330479,336.1,2024-11-06 15:22:58+00:00,0.01056672796683633,0.25368510940173983,0.0
43.320592,11.330457,336.0,2024-11-06 15:22:58+00:00,0.002849877387597884,0.2565349867893377,0.0
43.32066,11.330369,336.0,2024-11-06 15:23:01+00:00,0.010393632909450813,0.26692861969878856,0.0
43.32065,11.330381,336.0,2024-11-06 15:23:01+00:00,0.001477085878288235,0.26840570557707677,0.0
43.320689,11.330342,336.0,2024-11-06 15:23:02+00:00,0.005364837106361752,0.27377054268343853,0.0
43.320973,11.330066,337.4,2024-11-06 15:23:13+00:00,0.03868788048472389,0.3124584231681624,1.3999999999999773
43.321115,11.33041,341.6,2024-11-06 15:23:22+00:00,0.032054570955597016,0.3445129941237594,4.2000000000000455
43.321132,11.330452,342.1,2024-11-06 15:23:24+00:00,0.0038953339389938726,0.3484083280627533,0.5
43.321303,11.330286,341.8,2024-11-06 15:23:31+00:00,0.02328582348468284,0.3716941515474361,0.0
43.321494,11.330103,341.0,2024-11-06 15:23:38+00:00,0.025896495291533456,0.3975906468389696,0.0
43.321601,11.329987,340.4,2024-11-06 15:23:42+00:00,0.015160785632723061,0.41275143247169266,0.0
43.321637,11.32994,340.1,2024-11-06 15:23:44+00:00,0.005525461533045759,0.41827689400473844,0.0
43.32176,11.329751,339.3,2024-11-06 15:23:48+00:00,0.020536901998050975,0.4388137960027894,0.0
43.321809,11.329673,339.2,2024-11-06 15:23:50+00:00,0.008346570746890205,0.4471603667496796,0.0
43.322102,11.329302,339.4,2024-11-06 15:23:59+00:00,0.04433100863194398,0.49149137538162363,0.19999999999998863
43.322462,11.328843,341.1,2024-11-06 15:24:09+00:00,0.054642532751340754,0.5461339081329644,1.7000000000000455
43.322688,11.328668,342.4,2024-11-06 15:24:15+00:00,0.028843073918163188,0.5749769820511276,1.2999999999999545
43.323211,11.32836,342.0,2024-11-06 15:24:27+00:00,0.06324793720391514,0.6382249192550427,0.0
43.323584,11.328069,340.2,2024-11-06 15:24:37+00:00,0.04769065518650332,0.6859155744415459,0.0
43.323718,11.328032,339.5,2024-11-06 15:24:40+00:00,0.015186759414525053,0.701102333856071,0.0
43.32415,11.327913,339.6,2024-11-06 15:24:50+00:00,0.04895575220144143,0.7500580860575125,0.10000000000002274
