Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.471398,11.039185,285.1,2024-11-06 19:10:13+00:00,0.0,0.0,0.0
43.471296,11.038768,283.2,2024-11-06 19:10:17+00:00,0.03559372585289416,0.03559372585289416,0.0
43.471209,11.038276,280.9,2024-11-06 19:10:23+00:00,0.04096682793892775,0.07656055379182192,0.0
43.471165,11.037833,279.4,2024-11-06 19:10:28+00:00,0.036177203961517614,0.11273775775333952,0.0
43.471181,11.036599,275.0,2024-11-06 19:10:43+00:00,0.09986511274195461,0.21260287049529414,0.0
43.471178,11.035574,273.1,2024-11-06 19:10:56+00:00,0.08293868559945229,0.2955415560947464,0.0
43.471178,11.035421,272.9,2024-11-06 19:10:58+00:00,0.012380016333546955,0.3079215724282934,0.0
43.471174,11.035229,272.6,2024-11-06 19:11:00+00:00,0.01554206225049777,0.32346363467879113,0.0
43.47117,11.034595,270.7,2024-11-06 19:11:09+00:00,0.05130212836604307,0.3747657630448342,0.0
43.471212,11.034041,268.4,2024-11-06 19:11:16+00:00,0.045069192360130024,0.41983495540496424,0.0
43.471279,11.033631,266.8,2024-11-06 19:11:21+00:00,0.034000036894058554,0.4538349922990228,0.0
43.471351,11.03339,265.8,2024-11-06 19:11:24+00:00,0.021077454667746746,0.47491244696676954,0.0
43.471522,11.033036,264.0,2024-11-06 19:11:30+00:00,0.034371641462433135,0.5092840884292027,0.0
43.471849,11.032661,261.5,2024-11-06 19:11:37+00:00,0.04733482859071055,0.5566189170199133,0.0
43.472078,11.032477,260.2,2024-11-06 19:11:41+00:00,0.029478316322220043,0.5860972333421334,0.0
43.472262,11.03237,260.2,2024-11-06 19:11:45+00:00,0.022200528049159174,0.6082977613912925,0.0
43.4733,11.031741,260.2,2024-11-06 19:12:07+00:00,0.12605480003684907,0.7343525614281416,0.0
43.474401,11.031044,264.7,2024-11-06 19:12:48+00:00,0.13469751520852383,0.8690500766366654,4.5
