Latitude,Longitude,Elevation (m),Time,Strecke Delta (km),Distanz (km),Aufstieg (m)
43.391952,10.748119,396.5,2024-11-06 23:32:02+00:00,0.0,0.0,0.0
43.391652,10.747806,398.4,2024-11-06 23:32:12+00:00,0.04188082615108971,0.04188082615108971,1.8999999999999773
43.391548,10.74756,399.1,2024-11-06 23:32:19+00:00,0.023038199212574356,0.06491902536366406,0.7000000000000455
43.39153,10.747497,399.1,2024-11-06 23:32:20+00:00,0.00548211056187728,0.07040113592554134,0.0
43.391502,10.747311,399.1,2024-11-06 23:32:24+00:00,0.015387692839357387,0.08578882876489873,0.0
43.391505,10.747147,399.2,2024-11-06 23:32:27+00:00,0.013291681398553358,0.09908051016345208,0.0999999999999659
43.391572,10.746687,399.2,2024-11-06 23:32:36+00:00,0.038005882241926206,0.1370863924053783,0.0
43.391657,10.746483,399.1,2024-11-06 23:32:42+00:00,0.019035909192725093,0.1561223015981034,0.0
43.392096,10.745786,399.9,2024-11-06 23:33:16+00:00,0.0746180022687382,0.23074030386684158,0.7999999999999545
43.392149,10.74566,400.1,2024-11-06 23:33:22+00:00,0.011785056340811851,0.24252536020765342,0.20000000000004547
43.392197,10.745454,401.0,2024-11-06 23:33:30+00:00,0.017521478952765075,0.2600468391604185,0.8999999999999773
43.392183,10.745299,401.7,2024-11-06 23:33:36+00:00,0.012654124503287241,0.2727009636637057,0.6999999999999886
43.392062,10.74509,403.0,2024-11-06 23:33:46+00:00,0.02162069600326089,0.2943216596669666,1.3000000000000114
43.391669,10.744419,409.0,2024-11-06 23:34:14+00:00,0.06972777758686073,0.3640494372538273,6.0
43.391649,10.744381,409.1,2024-11-06 23:34:15+00:00,0.0037968866352204368,0.36784632388904775,0.10000000000002274
43.391414,10.743849,408.6,2024-11-06 23:34:29+00:00,0.050394009451540656,0.4182403333405884,0.0
43.391319,10.743694,408.2,2024-11-06 23:34:32+00:00,0.016404574185221423,0.4346449075258098,0.0
43.391179,10.743536,407.6,2024-11-06 23:34:35+00:00,0.0201446031581638,0.4547895106839736,0.0
43.3911,10.743483,407.3,2024-11-06 23:34:37+00:00,0.00977109315328124,0.46456060383725484,0.0
43.390791,10.743407,405.6,2024-11-06 23:34:42+00:00,0.034877881531096125,0.49943848536835095,0.0
43.390525,10.743263,403.3,2024-11-06 23:34:47+00:00,0.03177241111206711,0.5312108964804181,0.0
43.389542,10.742588,398.6,2024-11-06 23:35:06+00:00,0.12214031818192755,0.6533512146623457,0.0
43.389394,10.742459,398.3,2024-11-06 23:35:10+00:00,0.01948367912019886,0.6728348937825446,0.0
43.389324,10.742253,398.2,2024-11-06 23:35:15+00:00,0.018413884280862457,0.691248778063407,0.0
43.389194,10.7416,398.6,2024-11-06 23:35:31+00:00,0.054844805590281036,0.746093583653688,0.4000000000000341
43.389063,10.741195,399.1,2024-11-06 23:35:43+00:00,0.035897668776092774,0.7819912524297808,0.5
43.388967,10.741022,399.4,2024-11-06 23:35:50+00:00,0.017613615881813673,0.7996048683115945,0.2999999999999545
43.388892,10.740936,399.6,2024-11-06 23:35:55+00:00,0.01086212711918565,0.8104669954307802,0.20000000000004547
43.388717,10.740875,400.4,2024-11-06 23:36:03+00:00,0.020060943961772312,0.8305279393925524,0.7999999999999545
43.388674,10.740873,400.3,2024-11-06 23:36:05+00:00,0.004780061103089875,0.8353080004956424,0.0
43.388615,10.740879,400.1,2024-11-06 23:36:07+00:00,0.006572921580855729,0.8418809220764981,0.0
43.38858,10.740707,401.2,2024-11-06 23:36:13+00:00,0.01446865738256812,0.8563495794590662,1.099999999999966
43.388395,10.740409,403.6,2024-11-06 23:36:26+00:00,0.031708938701498025,0.8880585181605642,2.400000000000034
43.387697,10.739583,411.2,2024-11-06 23:37:11+00:00,0.10243522938665174,0.990493747547216,7.599999999999966
43.387496,10.739385,412.6,2024-11-06 23:37:25+00:00,0.027496668537742634,1.0179904160849587,1.400000000000034
43.386938,10.739069,415.6,2024-11-06 23:38:04+00:00,0.06707342221926262,1.0850638383042213,3.0
43.386569,10.739093,416.3,2024-11-06 23:38:29+00:00,0.04104209863560931,1.1261059369398305,0.6999999999999886
43.386023,10.739181,421.8,2024-11-06 23:39:06+00:00,0.06107839148810019,1.1871843284279306,5.5
43.385861,10.739163,424.0,2024-11-06 23:39:16+00:00,0.018057242017705453,1.205241570445636,2.1999999999999886
43.385223,10.738943,432.9,2024-11-06 23:39:49+00:00,0.07308922249528246,1.2783307929409184,8.899999999999977
43.385098,10.73883,434.6,2024-11-06 23:39:54+00:00,0.016634379187598004,1.2949651721285165,1.7000000000000455
43.385055,10.738755,435.2,2024-11-06 23:39:56+00:00,0.007730173581873444,1.3026953457103898,0.5999999999999659
43.384873,10.738114,435.8,2024-11-06 23:40:06+00:00,0.05573733009324713,1.358432675803637,0.6000000000000227
43.384825,10.737906,435.9,2024-11-06 23:40:08+00:00,0.0176778336243554,1.3761105094279924,0.0999999999999659
43.384788,10.737462,434.7,2024-11-06 23:40:14+00:00,0.03621152035515474,1.4123220297831471,0.0
43.384807,10.73683,431.6,2024-11-06 23:40:21+00:00,0.05125462707663968,1.4635766568597868,0.0
