item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,10.626,329.734,,,,,,
Peak,2,21.115,274.724,,,,,,
Valid Segment,1,,,forward,13.306,14.856,1549.598,49.754,
Valid Segment,1,,,forward,18.449,20.195,1745.856,67.858,
Valid Segment,1,,,forward,26.688,31.466,4778.762,46.807,
Valid Segment,1,,,forward,39.392,41.587,2195.287,105.056,
Valid Segment,1,,,forward,45.455,46.199,744.523,46.335,Ends@TrackEnd
Valid Segment,1,,,backward,6.724,8.231,1506.856,52.458,
Valid Segment,2,,,forward,26.688,31.466,4778.762,46.807,
Valid Segment,2,,,forward,39.392,41.587,2195.287,105.056,
Valid Segment,2,,,forward,45.455,46.199,744.523,46.335,Ends@TrackEnd
Valid Segment,2,,,backward,14.971,15.781,809.462,68.345,
Valid Segment,2,,,backward,10.626,11.797,1171.325,58.732,
