item_type,peak_rank,peak_dist_km,peak_elev_m,segment_direction,segment_start_km,segment_end_km,segment_length_m,segment_gain_m,notes
Peak,1,14.276,603.829,,,,,,
Peak,2,5.073,443.953,,,,,,
Valid Segment,1,,,forward,33.684,34.334,650.291,42.695,
Valid Segment,1,,,forward,35.360,37.619,2259.124,85.485,
Valid Segment,1,,,forward,40.308,42.738,2429.848,125.537,
Valid Segment,1,,,forward,43.061,45.513,2452.503,145.756,Ends@TrackEnd
Valid Segment,1,,,backward,5.073,6.334,1260.885,76.149,
Valid Segment,2,,,forward,6.382,7.204,821.443,62.979,
Valid Segment,2,,,forward,10.895,11.545,650.087,46.151,
Valid Segment,2,,,forward,11.711,12.353,642.641,44.645,
Valid Segment,2,,,forward,12.597,14.276,1678.671,143.626,
Valid Segment,2,,,forward,35.360,37.619,2259.124,85.485,
Valid Segment,2,,,forward,40.308,42.738,2429.848,125.537,
Valid Segment,2,,,forward,43.061,45.513,2452.503,145.756,Ends@TrackEnd
