Latitude,Longitude,Street,City,PostalCode
42.84858,10.976287,Unbekannte Straße,Buriano,58040
42.849896,10.982152,Unbekannte Straße,Buriano,58040
42.851058,10.984875,Unbekannte Straße,Buriano,58040
42.85145,10.985457,Unbekannte Straße,Buriano,58040
42.85296,10.985976,Unbekannte Straße,Buriano,58040
42.854035,10.98772,Strada Comunale della Scala Santa,Buriano,58040
42.855167,10.987936,Strada Comunale della Scala Santa,Buriano,58040
42.856073,10.987633,Strada Comunale della Scala Santa,Buriano,58040
42.855932,10.990209,Strada Comunale della Scala Santa,Buriano,58040
42.856772,10.990896,Strada Comunale della Scala Santa,Buriano,58040
42.857818,10.99218,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.85861,10.992427,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.861264,10.9943,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.862142,10.995552,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.862141,10.995799,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.861505,10.996923,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.861544,10.99807,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.862077,11.00091,Strada Vicinale di Marruchetto Signore,Buriano,58040
42.861275,11.003958,Strada Vicinale di Val di Campo,Castiglione della Pescaia,58040
42.860492,11.005774,Strada Vicinale di Val di Campo,Castiglione della Pescaia,58040
42.861452,11.007127,Strada Vicinale di Val di Campo,Castiglione della Pescaia,58040
42.862427,11.008044,Strada Vicinale di Val di Campo,Castiglione della Pescaia,58040
42.862728,11.009159,Strada Vicinale di Val di Campo,Castiglione della Pescaia,58040
42.863891,11.011942,Strada Provinciale 43 Macchiascandona,Castiglione della Pescaia,58040
42.86431,11.03699,Strada Provinciale 72 del Bozzone,Castiglione della Pescaia,58035
42.864529,11.041284,Strada Provinciale 72 del Bozzone,Castiglione della Pescaia,58035
42.87601,11.037744,Unbekannte Straße,Gavorrano,58023
42.879944,11.036815,Unbekannte Straße,Gavorrano,58023
42.890077,11.036707,Unbekannte Straße,Castellaccia,58027
42.890616,11.036421,Unbekannte Straße,Castellaccia,58027
42.896076,11.031107,Strada Provinciale 152 Aurelia Vecchia,Giuncarico,Keine PLZ
42.896284,11.031694,Strada Provinciale 152 Aurelia Vecchia,Giuncarico,Keine PLZ
42.896609,11.031958,Strada Provinciale 152 Aurelia Vecchia,Giuncarico,Keine PLZ
42.898564,11.032293,Strada Provinciale 152 Aurelia Vecchia,Giuncarico,Keine PLZ
42.899272,11.032634,Strada Provinciale 152 Aurelia Vecchia,Giuncarico,Keine PLZ
42.901484,11.034703,Strada Provinciale 152 Aurelia Vecchia,Gavorrano,58035
42.901985,11.034726,Strada Provinciale 152 Aurelia Vecchia,Gavorrano,58035
42.903021,11.034224,Strada Provinciale 152 Aurelia Vecchia,Gavorrano,58035
