Latitude,Longitude,Street,City,PostalCode
43.391952,10.748119,Viale Roma,Montecatini Val di Cecina,56040
43.391652,10.747806,Viale Roma,Montecatini Val di Cecina,56040
43.391505,10.747147,Viale Roma,Montecatini Val di Cecina,56040
43.392183,10.745299,Viale Roma,Montecatini Val di Cecina,56040
43.391319,10.743694,Viale Roma,Montecatini Val di Cecina,56040
43.389394,10.742459,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.388967,10.741022,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.388615,10.740879,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.388395,10.740409,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.387496,10.739385,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.386938,10.739069,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.386023,10.739181,Strada Provinciale di Montecatini Val di Cecina,Montecatini Val di Cecina,Keine PLZ
43.385223,10.738943,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.384873,10.738114,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.384788,10.737462,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.384928,10.73628,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385249,10.735532,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385827,10.734865,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.386036,10.734102,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385923,10.732258,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385604,10.731361,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385382,10.729997,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385612,10.72929,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385312,10.728231,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385621,10.7267,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385889,10.726116,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385824,10.725944,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.385041,10.725411,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.384363,10.723415,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.382917,10.722739,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.382673,10.722521,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.382302,10.721639,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.381565,10.721417,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.380035,10.721765,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.378875,10.721234,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.378366,10.72152,Strada Comunale di Gallo e Mocajo,Montecatini Val di Cecina,Keine PLZ
43.377525,10.720253,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.377425,10.719082,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.378128,10.717788,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379126,10.716623,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379743,10.716402,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380517,10.715648,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380461,10.714905,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380698,10.714064,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380285,10.713148,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379722,10.712677,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.37957,10.711609,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379683,10.711526,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380142,10.711894,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380905,10.711599,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.38142,10.710381,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.381385,10.709741,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.381787,10.70947,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.38156,10.707613,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.380682,10.706929,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379907,10.706677,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379184,10.706119,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379043,10.705517,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379417,10.704907,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379444,10.704473,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.379125,10.703965,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.378617,10.701139,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.377814,10.700427,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.37789,10.699489,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.377688,10.699022,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.37731,10.698662,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.376814,10.698849,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.376256,10.697955,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.375282,10.697566,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.374867,10.697233,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.374485,10.695981,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.374239,10.695704,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.374081,10.696339,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.373236,10.696564,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.372631,10.697271,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.372294,10.697178,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.372107,10.696846,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.372174,10.695808,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.371637,10.695039,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.37199,10.694289,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.372168,10.692953,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.371924,10.693023,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.371287,10.694098,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.371185,10.693275,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.37066,10.692252,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.369321,10.690995,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.368559,10.689771,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.367155,10.688519,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.366177,10.688257,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.365789,10.687955,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.364654,10.686429,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.363172,10.68521,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.362523,10.684069,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.361311,10.683492,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.361027,10.683,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.359411,10.68303,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.359081,10.682859,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.356693,10.67931,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.355784,10.678867,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.354425,10.678632,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.353901,10.678375,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.353062,10.678556,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.353047,10.678209,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.353633,10.677195,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.353562,10.677017,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.35237,10.677849,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.350161,10.678942,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.349137,10.680255,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.346778,10.681316,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.34609,10.682305,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.343884,10.683044,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.341556,10.679721,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.335927,10.675377,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.33208,10.671473,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.33093,10.67134,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.32953,10.672306,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.329337,10.670355,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.32919,10.670189,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.328857,10.670509,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.328441,10.670624,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.324541,10.669881,Strada Provinciale 18 dei Quattro Comuni,Montecatini Val di Cecina,Keine PLZ
43.322894,10.669869,Strada Provinciale 18 dei Quattro Comuni,Montecatini Val di Cecina,Keine PLZ
43.322554,10.671733,Strada Provinciale 18 dei Quattro Comuni,Montecatini Val di Cecina,Keine PLZ
43.32158,10.672242,Strada Provinciale 18 dei Quattro Comuni,Montecatini Val di Cecina,Keine PLZ
43.321861,10.680586,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.319526,10.680867,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.319182,10.680729,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.314284,10.681061,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313972,10.683491,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314461,10.685579,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.31399,10.68771,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314497,10.689294,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314536,10.690152,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314024,10.692666,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313487,10.694072,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313937,10.695139,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313085,10.696942,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313185,10.697223,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313799,10.697021,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314021,10.697202,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.31404,10.698754,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313704,10.700841,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.314147,10.701883,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.313199,10.704499,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.312694,10.706592,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.310552,10.71243,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.310441,10.713185,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.309855,10.713876,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.309339,10.714164,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.308652,10.715308,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.30854,10.715819,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.307904,10.716578,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.307142,10.719441,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306974,10.719344,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306897,10.717962,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.307122,10.717692,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.307189,10.717233,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306768,10.716243,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306699,10.717175,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306263,10.717505,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.306007,10.718252,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.305398,10.718628,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.30549,10.719539,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.30524,10.720565,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.304468,10.720795,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.30381,10.722017,Strada Provinciale 19 Camminata,Montecatini Val di Cecina,Keine PLZ
43.303521,10.723639,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.302938,10.722459,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.302303,10.722248,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.301973,10.722469,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.301592,10.72338,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.300887,10.723693,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.300491,10.725786,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.300203,10.725722,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.299722,10.725077,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.299113,10.725076,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.298203,10.724509,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.296745,10.725025,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.296379,10.725564,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.296543,10.726182,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.296342,10.727157,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.295658,10.726659,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.295358,10.726893,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.295867,10.727869,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.295341,10.728894,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.294744,10.729448,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.294688,10.729788,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.294028,10.727227,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.294283,10.727487,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.294162,10.727236,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.293986,10.727279,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.29454,10.729563,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.293527,10.729965,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.293325,10.730253,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.292949,10.731406,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.293166,10.73201,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.293117,10.732843,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.292377,10.733018,Strada Comunale del Cimitero,Montecatini Val di Cecina,Keine PLZ
43.292208,10.734053,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.291726,10.734969,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.291338,10.734159,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290759,10.734003,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290559,10.733518,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290273,10.73332,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.289818,10.733352,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.289161,10.734215,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.28924,10.735554,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290179,10.735997,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290345,10.736358,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.290306,10.73686,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.28954,10.737923,Strada Comunale di Querceto,Montecatini Val di Cecina,Keine PLZ
43.288421,10.73878,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.288063,10.739659,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.287704,10.739344,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.287437,10.739456,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.286925,10.740402,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.285915,10.743253,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.285859,10.743957,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.285543,10.743406,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.284847,10.742973,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.284443,10.743074,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283498,10.742551,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.282927,10.742936,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.28301,10.743541,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283718,10.745089,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283366,10.746339,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283755,10.746911,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283651,10.747079,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.283271,10.747115,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.28307,10.747574,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.2825,10.748039,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.282322,10.748462,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.282367,10.748985,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.281829,10.749292,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.281576,10.750047,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.281793,10.750739,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.281595,10.751961,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.280652,10.752198,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.2799,10.752583,Unbekannte Straße,Montecatini Val di Cecina,Keine PLZ
43.279528,10.754368,Unbekannte Straße,Pomarance,Keine PLZ
43.279107,10.755028,Unbekannte Straße,Pomarance,Keine PLZ
43.279156,10.755769,Unbekannte Straße,Pomarance,Keine PLZ
43.278934,10.756459,Unbekannte Straße,Pomarance,Keine PLZ
43.278751,10.756478,Unbekannte Straße,Pomarance,Keine PLZ
43.278412,10.755786,Unbekannte Straße,Pomarance,Keine PLZ
43.278162,10.755607,Unbekannte Straße,Pomarance,Keine PLZ
43.277535,10.75664,Unbekannte Straße,Pomarance,Keine PLZ
43.276325,10.757081,Unbekannte Straße,Pomarance,Keine PLZ
43.276078,10.757651,Unbekannte Straße,Pomarance,Keine PLZ
43.275929,10.75876,Unbekannte Straße,Pomarance,Keine PLZ
43.275687,10.758831,Unbekannte Straße,Pomarance,Keine PLZ
43.275224,10.758579,Unbekannte Straße,Pomarance,Keine PLZ
43.274853,10.758976,Unbekannte Straße,Pomarance,Keine PLZ
43.274426,10.758913,Unbekannte Straße,Pomarance,Keine PLZ
43.273677,10.759215,Unbekannte Straße,Pomarance,Keine PLZ
43.27292,10.760064,Unbekannte Straße,Pomarance,Keine PLZ
43.27226,10.760039,Unbekannte Straße,Pomarance,Keine PLZ
43.271904,10.760219,Unbekannte Straße,Pomarance,Keine PLZ
43.27155,10.761223,Unbekannte Straße,Pomarance,Keine PLZ
43.270943,10.761269,Unbekannte Straße,Pomarance,Keine PLZ
43.270779,10.761024,Unbekannte Straße,Pomarance,Keine PLZ
43.270749,10.759356,Unbekannte Straße,Pomarance,Keine PLZ
43.27096,10.75832,Unbekannte Straße,Pomarance,Keine PLZ
43.270755,10.757207,Unbekannte Straße,Pomarance,Keine PLZ
43.270461,10.756895,Unbekannte Straße,Pomarance,Keine PLZ
43.269756,10.756803,Unbekannte Straße,Pomarance,Keine PLZ
43.269253,10.756465,Unbekannte Straße,Pomarance,Keine PLZ
43.268369,10.755506,Unbekannte Straße,Pomarance,Keine PLZ
43.268166,10.755064,Unbekannte Straße,Pomarance,Keine PLZ
43.267944,10.754984,Unbekannte Straße,Pomarance,Keine PLZ
43.26732,10.755471,Unbekannte Straße,Pomarance,Keine PLZ
43.266273,10.754855,Unbekannte Straße,Pomarance,Keine PLZ
43.265101,10.755088,Unbekannte Straße,Pomarance,Keine PLZ
43.264094,10.7548,Unbekannte Straße,Pomarance,Keine PLZ
43.26382,10.754426,Unbekannte Straße,Pomarance,Keine PLZ
43.263583,10.753578,Unbekannte Straße,Pomarance,Keine PLZ
43.262597,10.753173,Unbekannte Straße,Pomarance,Keine PLZ
43.262282,10.75329,Unbekannte Straße,Pomarance,Keine PLZ
43.262,10.752963,Unbekannte Straße,Pomarance,Keine PLZ
43.261835,10.752952,Unbekannte Straße,Pomarance,Keine PLZ
43.261022,10.75363,Unbekannte Straße,Pomarance,Keine PLZ
43.260671,10.754085,Unbekannte Straße,Pomarance,Keine PLZ
43.260128,10.754055,Unbekannte Straße,Pomarance,Keine PLZ
43.259511,10.753406,Unbekannte Straße,Pomarance,Keine PLZ
43.259683,10.752341,Unbekannte Straße,Pomarance,Keine PLZ
43.259501,10.752031,Unbekannte Straße,Pomarance,Keine PLZ
43.258911,10.751968,Unbekannte Straße,Pomarance,Keine PLZ
43.257785,10.752401,Unbekannte Straße,Pomarance,Keine PLZ
43.257434,10.752162,Unbekannte Straße,Pomarance,Keine PLZ
43.256889,10.75167,Unbekannte Straße,Pomarance,Keine PLZ
43.256227,10.750424,Unbekannte Straße,Pomarance,Keine PLZ
43.255933,10.750375,Unbekannte Straße,Pomarance,Keine PLZ
43.255613,10.749848,Unbekannte Straße,Pomarance,Keine PLZ
43.255114,10.749972,Unbekannte Straße,Pomarance,Keine PLZ
43.254338,10.749834,Unbekannte Straße,Pomarance,Keine PLZ
43.253803,10.749217,Unbekannte Straße,Pomarance,Keine PLZ
43.253698,10.748449,Unbekannte Straße,Pomarance,Keine PLZ
43.253202,10.748038,Unbekannte Straße,Pomarance,Keine PLZ
43.252937,10.747199,Unbekannte Straße,Pomarance,Keine PLZ
43.252203,10.747094,Unbekannte Straße,Pomarance,Keine PLZ
43.251778,10.746317,Unbekannte Straße,Pomarance,Keine PLZ
43.251603,10.746318,Unbekannte Straße,Pomarance,Keine PLZ
43.25066,10.748209,Unbekannte Straße,Pomarance,Keine PLZ
43.250129,10.748635,Unbekannte Straße,Pomarance,Keine PLZ
43.249438,10.748787,Unbekannte Straße,Pomarance,Keine PLZ
43.248427,10.748184,Unbekannte Straße,Pomarance,Keine PLZ
43.248665,10.750441,Unbekannte Straße,Pomarance,Keine PLZ
43.248493,10.751414,Unbekannte Straße,Pomarance,Keine PLZ
43.24851,10.752991,Unbekannte Straße,Pomarance,Keine PLZ
43.248197,10.754304,Unbekannte Straße,Pomarance,Keine PLZ
43.247762,10.755176,Unbekannte Straße,Pomarance,Keine PLZ
43.247084,10.755879,Unbekannte Straße,Pomarance,Keine PLZ
43.247221,10.756599,Unbekannte Straße,Pomarance,Keine PLZ
43.246296,10.756889,Unbekannte Straße,Pomarance,Keine PLZ
43.245883,10.757321,Unbekannte Straße,Pomarance,Keine PLZ
43.245598,10.758432,Unbekannte Straße,Pomarance,Keine PLZ
43.245037,10.759148,Unbekannte Straße,Pomarance,Keine PLZ
43.24478,10.760261,Unbekannte Straße,Pomarance,Keine PLZ
43.244178,10.760437,Unbekannte Straße,Pomarance,Keine PLZ
43.242643,10.759538,Unbekannte Straße,Pomarance,Keine PLZ
43.241697,10.760243,Unbekannte Straße,Pomarance,Keine PLZ
43.241291,10.759032,Unbekannte Straße,Pomarance,Keine PLZ
43.241129,10.758931,Unbekannte Straße,Pomarance,Keine PLZ
43.241182,10.760559,Unbekannte Straße,Pomarance,Keine PLZ
43.24152,10.761308,Unbekannte Straße,Pomarance,Keine PLZ
43.241157,10.761923,Unbekannte Straße,Pomarance,Keine PLZ
