Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Drinking_water,drinking_water,Adresse unbekannt,42.863783,11.012147,,12
Bar Trattoria Il Bozzone,cafe,"58043, Castiglione della Pescaia",42.863532,11.011887,,34
inCoop,supermarket,Adresse unbekannt,42.935016,11.269193,,145
Drinking_water,drinking_water,Adresse unbekannt,42.933333,11.269299,,11
Drinking_water,drinking_water,Adresse unbekannt,42.931609,11.271020,,39
Pizzeria Il Castelluccio,restaurant,Adresse unbekannt,42.930989,11.269704,,105
Supermarket,supermarket,Adresse unbekannt,42.956844,11.385260,,60
Restaurant,restaurant,Adresse unbekannt,42.958053,11.385311,,29
Caffè Sant'Angelo,restaurant,Adresse unbekannt,42.966037,11.426720,,11
Drinking_water,drinking_water,Adresse unbekannt,42.965496,11.426215,,14
Trattoria Il Leccio,restaurant,Adresse unbekannt,42.994126,11.460316,,168
Tratorria il Pozzo,restaurant,Adresse unbekannt,42.994181,11.460776,,170
Drinking_water,drinking_water,Adresse unbekannt,42.993970,11.460458,,176
Drinking_water,drinking_water,Adresse unbekannt,42.996333,11.460279,,4
Cafe,cafe,"53024, Castelnuovo dell'Abate",42.994860,11.516987,,176
Drinking_water,drinking_water,Adresse unbekannt,42.994537,11.517432,,173
Drinking_water,drinking_water,Adresse unbekannt,42.999439,11.515971,,239
Restaurant,restaurant,"53024, Castelnuovo dell'Abate",42.994720,11.519275,,27
Drinking_water,drinking_water,Adresse unbekannt,42.975703,11.548124,,3
Drinking_water,drinking_water,Adresse unbekannt,42.976654,11.546081,,49
Drinking_water,drinking_water,Adresse unbekannt,42.973476,11.590364,,389
Il Ritrovino,restaurant,Adresse unbekannt,43.006626,11.616621,,14
Drinking_water,drinking_water,Adresse unbekannt,43.003328,11.616581,,281
Bar Petra Primi Piatti,restaurant,Adresse unbekannt,43.003142,11.616044,,242
Bar L'appalto,cafe,Adresse unbekannt,43.006581,11.616238,,30
Bonucci Simona Alimentari,supermarket,"Borgo Vittorio Emanuele, 22, 53023, Castiglione d'Orcia",43.006440,11.616196,,46
Il Cassero,restaurant,Adresse unbekannt,43.005964,11.615853,,51
Drinking_water,drinking_water,Adresse unbekannt,43.005591,11.615998,,93
Drinking_water,drinking_water,Adresse unbekannt,43.006177,11.615936,,43
Drinking_water,drinking_water,Adresse unbekannt,43.005571,11.616369,,122
Drinking_water,drinking_water,Adresse unbekannt,43.006120,11.615302,,2
Drinking_water,drinking_water,Adresse unbekannt,43.003416,11.616212,,241
Drinking_water,drinking_water,Adresse unbekannt,43.010740,11.615619,,223
le rocche,restaurant,"Via Senese, 10, 53023, Castiglione d'Orcia",43.007126,11.617087,,22
Bakery,bakery,Adresse unbekannt,43.008118,11.614785,,182
Azienda Agricola Fontenuova,restaurant,Adresse unbekannt,43.011873,11.619271,,37
Drinking_water,drinking_water,Adresse unbekannt,43.077199,11.680262,,16
Drinking_water,drinking_water,Adresse unbekannt,43.076568,11.677464,,54
Case Nuove,cafe,Adresse unbekannt,43.076767,11.680813,,41
Il Casello,cafe,"53026, Pienza",43.076213,11.680120,,20
Drinking_water,drinking_water,Adresse unbekannt,43.076772,11.679154,,20
La Posta,cafe,"53026, Pienza",43.076678,11.678940,,6
Trattoria da Fiorella,restaurant,"Via Condotti, 11, 53026, Pienza",43.077140,11.678891,,57
Bistrot Fidelio,restaurant,"10/11/12, 53026, Pienza",43.077316,11.677437,,135
Latte di Luna,restaurant,"Via San Carlo, 2, 53026, Pienza",43.076265,11.680952,,27
La Terrazza Del Chiostro,restaurant,"Corso Rossellino, 26, 53026, Pienza",43.076407,11.678112,,48
La Buca di Enea,restaurant,"Via della Buca, 10, 53026, Pienza",43.077184,11.678531,,76
Sette Di Vino,restaurant,"53026, Pienza",43.076991,11.679272,,46
L'Osteria Baccus,restaurant,Adresse unbekannt,43.076315,11.680588,,38
Sperone Nudo,restaurant,"53026, Pienza",43.076873,11.679095,,30
Drinking_water,drinking_water,Adresse unbekannt,43.076351,11.681407,,26
Drinking_water,drinking_water,Adresse unbekannt,43.077438,11.678447,,105
Baccano,restaurant,"Corso Rossellino, 9, 53026, Pienza",43.077033,11.677873,,112
Drinking_water,drinking_water,Adresse unbekannt,43.077506,11.677761,,162
La Buca delle Fate,restaurant,Adresse unbekannt,43.076477,11.679841,,3
il rossellino,restaurant,"53026, Pienza",43.076855,11.679378,,32
Idyllium,restaurant,"Via Gozzante, 67, 53026",43.076130,11.678250,,20
Drinking_water,drinking_water,Adresse unbekannt,43.076072,11.677839,,6
Trattoria da Fiorella,restaurant,"Via Condotti, 11",43.077049,11.678712,,53
Le 5 Lune Pizza & Co.,restaurant,"Largo Roma, 1, 53026",43.077029,11.680429,,9
Drinking_water,drinking_water,Adresse unbekannt,43.077512,11.671447,,210
La Combriccola,restaurant,Adresse unbekannt,43.079146,11.674198,,241
Coop,supermarket,"Via San Gregorio, 50, 53026, Pienza",43.078989,11.677164,,303
Drinking_water,drinking_water,Adresse unbekannt,43.078159,11.678058,,196
Restaurant,restaurant,Adresse unbekannt,43.080570,11.672540,,412
Drinking_water,drinking_water,Adresse unbekannt,43.078876,11.677790,,280
,viewpoint,N/A,43.036334,11.609383,,1973
,viewpoint,N/A,42.858732,10.972711,,1194
,viewpoint,N/A,42.858241,10.971402,,1201
Poggio d'Arna,peak,N/A,42.999033,11.503291,523.000000,800
Poggio Castagnini,peak,N/A,43.007589,11.488178,528.000000,1386
Poggio Civitella,peak,N/A,43.035265,11.482622,662.000000,3620
Poggio alle Forche,peak,N/A,43.012516,11.484747,553.000000,1495
Poggio delle Macioche,peak,N/A,43.017953,11.508901,554.000000,2391
Poggio Cocco,peak,N/A,43.029085,11.497515,603.000000,3800
Il Poggio,peak,N/A,42.982000,11.644265,424.000000,3762
Poggio San Pietro,peak,N/A,43.104659,11.710742,525.000000,4452
Monte Cucco,peak,N/A,42.969247,11.540679,322.000000,1031
Poggio Fornello,peak,N/A,42.974274,11.549880,284.000000,202
Poggio della Castellaccia,peak,N/A,42.952268,11.621192,618.000000,3719
Poggetto della Fornace,peak,N/A,42.948330,11.292024,135.000000,722
