Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Drinking_water,drinking_water,Adresse unbekannt,43.077199,11.680262,,91
Drinking_water,drinking_water,Adresse unbekannt,43.076568,11.677464,,77
Case Nuove,cafe,Adresse unbekannt,43.076767,11.680813,,163
Il Casello,cafe,"53026, Pienza",43.076213,11.680120,,133
Drinking_water,drinking_water,Adresse unbekannt,43.076772,11.679154,,10
La Posta,cafe,"53026, Pienza",43.076678,11.678940,,2
Trattoria da Fiorella,restaurant,"Via Condotti, 11, 53026, Pienza",43.077140,11.678891,,25
Bistrot Fidelio,restaurant,"10/11/12, 53026, Pienza",43.077316,11.677437,,13
La Combriccola,restaurant,Adresse unbekannt,43.079146,11.674198,,130
Latte di Luna,restaurant,"Via San Carlo, 2, 53026, Pienza",43.076265,11.680952,,203
La Terrazza Del Chiostro,restaurant,"Corso Rossellino, 26, 53026, Pienza",43.076407,11.678112,,94
La Buca di Enea,restaurant,"Via della Buca, 10, 53026, Pienza",43.077184,11.678531,,19
Sette Di Vino,restaurant,"53026, Pienza",43.076991,11.679272,,6
L'Osteria Baccus,restaurant,Adresse unbekannt,43.076315,11.680588,,168
Sperone Nudo,restaurant,"53026, Pienza",43.076873,11.679095,,1
Drinking_water,drinking_water,Adresse unbekannt,43.076351,11.681407,,242
Drinking_water,drinking_water,Adresse unbekannt,43.077438,11.678447,,9
Baccano,restaurant,"Corso Rossellino, 9, 53026, Pienza",43.077033,11.677873,,39
Coop,supermarket,"Via San Gregorio, 50, 53026, Pienza",43.078989,11.677164,,165
Drinking_water,drinking_water,Adresse unbekannt,43.077506,11.677761,,8
La Buca delle Fate,restaurant,Adresse unbekannt,43.076477,11.679841,,90
il rossellino,restaurant,"53026, Pienza",43.076855,11.679378,,24
Drinking_water,drinking_water,Adresse unbekannt,43.078159,11.678058,,86
Idyllium,restaurant,"Via Gozzante, 67, 53026",43.076130,11.678250,,93
Drinking_water,drinking_water,Adresse unbekannt,43.076072,11.677839,,135
Trattoria da Fiorella,restaurant,"Via Condotti, 11",43.077049,11.678712,,35
Le 5 Lune Pizza & Co.,restaurant,"Largo Roma, 1, 53026",43.077029,11.680429,,113
Drinking_water,drinking_water,Adresse unbekannt,43.078876,11.677790,,155
Drinking_water,drinking_water,Adresse unbekannt,43.077512,11.671447,,171
Restaurant,restaurant,Adresse unbekannt,43.080570,11.672540,,183
Bar dell'Angolo,cafe,Adresse unbekannt,43.086020,11.549255,,11
Drinking_water,drinking_water,Adresse unbekannt,43.086040,11.549443,,11
Drinking_water,drinking_water,Adresse unbekannt,43.085409,11.550672,,19
La Compagnia,restaurant,Adresse unbekannt,43.085550,11.549780,,18
Pasticceria Ticci,cafe,Adresse unbekannt,43.085996,11.548877,,48
Osteria dei Briganti e dei Poeti,restaurant,Adresse unbekannt,43.085168,11.550224,,29
El Merendero Pizzeria Rosticceria,restaurant,Adresse unbekannt,43.086362,11.547454,,139
